,sentence,start,end
0,The choice on climate change couldn't be more stark: https://t.co/K745PdjVmW. https://t.co/us7OyJcdx4,0,101
1,It's not just a value—it's a real plan. https://t.co/OvGzoPTtwg https://t.co/hI6Ip27HHm,102,189
2,.@HillaryClinton hits the Trump Loophole - his backdoor tax break for billionaires like himself. Read about it here: https://t.co/35R3aVlCfV,190,330
3,Let’s go out and build the future. https://t.co/OvGzoPTtwg,331,389
4,"""One of the reasons I asked Tim Kaine to be my running mate is that he...has a record of working across the aisle."" https://t.co/CNwtLVWl8n",390,529
5,"Strengthening unions doesn’t just serve their members—it leads to better pay, benefits, and working conditions for all employees.",530,659
6,"Trump wants to give trillions in tax breaks to people like himself. Instead, let’s invest in our veterans, kids, schools and police.",660,792
7,The 400 richest taxpayers in America would get an average tax cut of more than $15 million a year from the Trump loophole.,793,915
8,Trump wants to eliminate the estate tax. What that would mean: his family gets a $4 billion tax cut. 99.8% of Americans get nothing.,916,1048
9,"Trump would give trillions in tax cuts to big corporations, millionaires, and Wall Street money managers. https://t.co/tymag0QkLx",1049,1178
10,Multi-millionaires should not be able to pay a lower tax rate than their secretaries: https://t.co/XFX93S1Vgh,1179,1288
11,"Every employee, from the CEO suite to the factory floor, contributes to a business’ success, so everybody should share in the rewards.",1289,1423
12,One positive thing Trump could do to make America great again? Actually make great things in America: https://t.co/lg8Xqwblam,1424,1549
13,"If @TeamUSA was as fearful as Trump, Michael Phelps and Simone Biles would be cowering in the locker room. America isn’t afraid to compete.",1550,1689
14,"Trump may talk a big game on trade, but his approach is based on fear, not strength—fear that we can’t compete with the rest of the world.",1690,1828
15,"""As president, I will stand up to China and anyone else who tries to take advantage of American workers and companies."" —Hillary",1829,1957
16,We’re going to invest in union training programs and apprenticeship programs so you can earn while you learn: https://t.co/sbbiIqIz0c,1958,2091
17,"A four-year degree shouldn’t be the only path to a good job. You should be able to learn a skill, practice a trade, and make a good living.",2092,2231
18,"It’s not right that Donald Trump can ignore his debts, but students and families can’t refinance theirs.",2232,2336
19,Let’s fight to make college tuition-free for the middle class and debt-free for everyone: https://t.co/BNZJ6ScplY,2337,2450
20,"The people taking care of our children and our parents deserve a good wage, good benefits, and a secure retirement.",2451,2566
21,Donald Trump has spent his whole career stiffing small businesses. https://t.co/i51CBQ9lKM,2567,2657
22,We’re going to invest $10 billion in “Make it in America” partnerships to support American manufacturing: https://t.co/21iaJ5hq7X,2658,2787
23,"""Some country is going to be the clean energy superpower of the 21st century and create millions of jobs...I want it to be us."" —Hillary",2788,2924
24,"Starting on day one, we will work with both parties to pass the biggest investment in new, good-paying jobs since World War II.",2925,3052
25,One of the many stark choices we face in this election. https://t.co/sCQJXB7mEV,3053,3132
26,"Every American willing to work hard should be able to find a job that provides dignity, pride, and decent pay that can support a family.",3133,3269
27,"We are resilient, determined, and hard-working. There’s nothing America can’t do if we do it together.",3270,3372
28,"When Trump visited Detroit on Monday he talked only of failure, poverty, and crime. He’s missing so much about what makes Michigan great.",3373,3510
29,Hillary is speaking live from Detroit on the economy. Don’t miss it. Tune in now: https://t.co/YgVauYf0Ol,3511,3616
30,"Anyone willing to sink so low, so often should never be allowed to serve as our Commander-in-Chief.",3617,3716
31,"No, Barack Obama is not the founder of ISIS.",3717,3761
32,"It can be difficult to muster outrage as frequently as Donald Trump should cause it, but his smear against President Obama requires it.",3762,3897
33,Donald Trump’s tax plan mostly helps...Donald Trump. And people like him at the top. https://t.co/5luTzXmZDP,3898,4006
34,1979. https://t.co/VYTglhPyfO,4007,4036
35,"Unlike Donald Trump's, our campaign is about issues—not insults. https://t.co/puVZP5iFRE https://t.co/pB0DcV1TeP",4037,4149
36,My heart breaks for the family of the officer killed in Arkansas today. Grateful for his service to his community. -H,4150,4267
37,Our kids see the president as a role model. How will they see Donald Trump? https://t.co/xOxe3LdL70,4268,4367
38,"Who benefits from Donald Trump's ""new"" economic plan? Rich people like Donald Trump. https://t.co/fDTcHhgCbz",4368,4476
39,"Young people face tough challenges, but they have the ability to do something about it: Vote. https://t.co/dm98k71nf1",4477,4594
40,We're also going to make sure future generations inherit a cleaner planet—and create millions of jobs along the way. https://t.co/HvrbycAnAy,4595,4735
41,Let's make it easier for young people to start businesses and fulfill their dreams. https://t.co/cJzNCnaahh https://t.co/vZHW9VZKDT,4736,4867
42,"And, unlike @realDonaldTrump, we're gonna make it easier for people who *aren't* celebrities to get apprenticeships. https://t.co/SdCUIITwuY",4868,5008
43,Young Americans have the most to gain from Hillary's economic plan—and the most to lose under Trump's policies. https://t.co/V1u6kLTjNy,5009,5144
44,"When you dig deeper, you see that young people of color have faced even greater challenges. That has to change. https://t.co/8mpMkHn2sH",5145,5280
45,Young people were among the hardest hit during the great recession—and the effects still linger. https://t.co/XFIZKrCHxF,5281,5401
46,Imagine how you'll feel the day after the election if we haven't joined together to chart a course of optimism. https://t.co/tTgeqxNqYm,5402,5537
47,"""I am humbled and moved by the Republicans who are willing to stand up and say that Donald Trump does not represent their values.” —Hillary",5538,5677
48,"Donald Trump has spent his career stiffing small businesses, refusing to pay them what they’re owed. https://t.co/un2YiRLEYF",5678,5802
49,"“When they have student debt, we’ll put a three year moratory on that so they can start their own businesses!”—@HillaryClinton",5803,5929
50,We can be the clean energy superpower of the 21st Century. https://t.co/Zb8w0tLYkS,5930,6012
51,We are living off of the infrastructure built by our parents and grandparents. It’s overdue for upgrades: https://t.co/KjhFN0QS2c,6013,6142
52,We’re going to make the biggest investment in good-paying jobs since World War II: https://t.co/NC6FHkl53y,6143,6249
53,Hillary's talking about the economy in Des Moines. Tune in now to watch: https://t.co/5VPr9qVgkv,6250,6346
54,"If you're a millionaire, you'll do great under Trump's economic plan. Everyone else? Well... Take a look: https://t.co/zavnOS2RdL",6347,6476
55,"""The time has come for Republicans...to repudiate Mr. Trump once and for all."" —@nytimes https://t.co/yMKCpKMC4l",6477,6589
56,David's letter to his daughter about why he can't support Donald Trump really hits home. https://t.co/uyDaDdcpab,6590,6702
57,"Our kids are watching, Donald. https://t.co/yRnhmfHIWh",6703,6757
58,".@realDonaldTrump might astound Americans on a routine basis, but we must draw a line between political speech &amp; suggestions of violence.",6758,6899
59,"Welcome back, Madame Secretary. Hillary heads back to Des Moines this Wednesday. RSVP: https://t.co/cwo0OodC6J. https://t.co/OINTxv21hB",6900,7035
60,"""A person seeking to be the President of the United States should not suggest violence in any way."" https://t.co/Uu55CBCqdK",7036,7159
