,sentence,start,end
0,"""She is the best qualified person for this moment in history."" —@BillClinton on Hillary https://t.co/WkYfkT9MqX",0,111
1,"""Safeguarding freedom and security is not like hosting a TV reality show. It...demands a cool head, but also a big heart."" —@Madeleine",112,246
2,"""This fall, we must do everything we can to make sure that Hillary becomes our next Commander-in- Chief."" —@Madeleine #DemsInPhilly",247,378
3,"""I trusted her when my life was on the line, and she came through.” —9/11 survivor, Lauren Manning https://t.co/pjsSri5VUs",379,501
4,"""Donald Trump and Mike Pence: We are not going back to the dark days when women died in back alleys."" —@BarbaraBoxer https://t.co/e6Gsjv8aan",502,642
5,"""Let’s declare: Love trumps hate!” —@AmericaFerrera and @LenaDunham https://t.co/F1SdYjsPmX",643,734
6,"""Make no mistake about it: Women's health and rights are on the line and on the ballot in this election.” —@CecileRichards #DemsInPhilly",735,871
7,No mother should have to feel this loss. https://t.co/VOjnf5woZy,872,936
8,"“I would not have signed up for this. None of us would have. I am here today for my son, Trayvon Martin, who is in heaven” —Sybrina Fulton",937,1075
9,"""Hillary Clinton isn't afraid to say black lives matter..."" - Lucy McBath, mother of Jordan Davis https://t.co/kXXjsuCdgn",1076,1197
10,"“Sandy, my fourth of five daughters, was gone… So many of our children gone but not forgotten” —Geneva Reed-Veal, Sandra Bland’s mother.",1198,1334
11,"""Let's build. Let's unite."" —Maria Hamilton, mother of Dontre Hamilton https://t.co/joZyEZu11Y",1335,1429
12,"Thank you, President Carter. https://t.co/zb94pXV95r",1430,1482
13,We made history. https://t.co/TBvItE7oSa,1483,1523
14,This moment is for every little girl who dreams big. #WeMadeHistory https://t.co/DRAJuUUhOr,1524,1615
15,Stronger together. https://t.co/9x1zuMqFfs,1616,1658
16,History. https://t.co/1ayWTx8SPH,1659,1691
17,Getting ready to make some history. #RollCallVote https://t.co/GGOrHW7Roa,1692,1765
18,The #RollCallVote is underway at the @DemConvention. You can join in from home! Text HILLARY to 47246 to voice your support right now.,1766,1900
19,"“This one’s for you, Hill.” #WeMadeHistory https://t.co/Iq24zuhybS",1901,1967
20,It took 240 years but 2016 will be the year of the first woman POTUS!!! Great day to be an American Woman! #ImWithHer #DemsInPhilly,1968,2099
21,"""I am pleased to second the nomination for Hillary Clinton as the party candidate for president!” —@RepJohnLewis https://t.co/OyQiGe0Snw",2100,2236
22,The tears are very real. Now when I tell my daughter she can be what she wants (even president) I'm not completely full of it.#WeMadeHistory,2237,2377
23,Hillary's oldest delegate is 102. Read Jerry's story: https://t.co/kEFmrSaJvH https://t.co/PrH6nsn6eq,2378,2479
24,"“Tonight, we will shatter that glass ceiling again.” —@RepJohnLewis on nominating Hillary for president #DemsInPhilly",2480,2597
25,"“We have made too much progress, and we are not going back, we are going forward."" —@RepJohnLewis #DemsInPhilly",2598,2709
26,"“Some people want to rant, but Hillary wants to get results.” —@SenatorBarb #DemsInPhilly",2710,2799
27,Watch Hillary become the first woman presidential nominee of a major political party: https://t.co/mQ9oeap7qp #WeMadeHistory,2800,2924
28,You heard @FLOTUS. Here's how you can get involved in this campaign → https://t.co/WVUvFhb6bp https://t.co/mjEJZ01Lq0,2925,3042
29,"On most campaigns, there isn't much ambiguity as to whether the candidate does or doesn't back KKK leaders. https://t.co/3SD0GknJS2",3043,3174
