,sentence,start,end
0,"Except for African Americans, Muslims, Latinos, immigrants, women, veterans—and any so-called ""losers"" or ""dummies."" https://t.co/rbBg2rXZdm",0,140
1,"""I won't stop calling out bigotry and racist rhetoric in this campaign."" —Hillary https://t.co/C3Z7GybJ53",141,246
2,"Hillary on the faith that drives her: ""Do all the good you can for all the people you can in all the ways you can."" https://t.co/lJH7FVc1wa",247,386
3,Our next president needs to do everything possible to make life a little easier for working parents. https://t.co/uadk9gd9Xa,387,511
4,"""Women are seen through a different lens."" —Hillary to @HumansofNY https://t.co/M9k19V7gd9",512,602
5,"Thank you for being so brave, Astrid. I’m going to do everything I can to keep families like yours together. -H https://t.co/ZmFdi427vX",603,738
6,We can’t let Trump’s “manifest unfitness for office” become normal. We need to hold him accountable. https://t.co/ycp0KW7LZL,739,863
7,"When Hillary talks about needing more love and kindness in our lives, this is what she means. https://t.co/F9jMEDy00A",864,981
8,Join @SarahEMcBride and activists across the country in supporting LGBT rights this November: https://t.co/tTgeqxNqYm,982,1099
9,"At the 2016 DNC, @HRC Press Secretary @SarahEMcBride became the first openly trans person to speak at a convention. https://t.co/pdYSvHDVfJ",1100,1239
10,Appalling behavior from Wells Fargo. This is exactly why we need a strong @CFPB—and can't let Trump dismantle it. https://t.co/tTA2jz7unf,1240,1377
11,Let's send Donald Trump a powerful message on Election Day. https://t.co/tTgeqxNqYm #LoveTrumpsHate https://t.co/lVvhZhDdP9,1378,1501
12,Women like Elaine served our country and blazed a trail for others to follow. They've earned our highest honors. https://t.co/ysKrzLrdYc,1502,1638
13,North Korea’s decision to conduct another nuclear test is outrageous and unacceptable. https://t.co/i8h9j2oiIC,1639,1749
14,Watch live as @ElizabethForMA campaigns for Hillary in Philadelphia → https://t.co/n9m2rk9iCQ https://t.co/tTgeqxNqYm,1750,1867
15,"If you want to see what corruption actually looks like, this is it. https://t.co/tBfL0J82Tz https://t.co/Fc9U2cmlU8",1868,1983
16,"This is what a comprehensive (not ""secret"") counterterrorism plan looks like. https://t.co/QgVruA4rQA",1984,2085
17,We can only confront a challenge like Zika when we come together. It's time for Republicans to fund this fight: https://t.co/9jNGrpj5Nt -H,2086,2224
18,"If you've ever wondered what Hillary's like as a friend, you could ask Janelle. https://t.co/t6egqFasOK",2225,2328
19,Making the wrong choice on climate change would be a disaster for our kids and grandkids. https://t.co/dhc0OABqml,2329,2442
20,"The next time Trump throws a tantrum, picture him in the Situation Room making life-or-death decisions for us. https://t.co/YjyAe2IMzr",2443,2577
21,"The most important quality in a president and Commander-in-Chief is steadiness—an absolute, rock solid steadiness. https://t.co/QwQBzZc0xb",2578,2716
22,"Unlike Trump's, this plan to defeat ISIS isn’t a “secret.” https://t.co/vJq6LUMuPW",2717,2799
23,"We need a president who will do justice, love kindness, and walk humbly. https://t.co/m1814vekWO",2800,2896
24,We need a president who understands that none of us has all the answers and no one person can fix our problems alone.,2897,3014
25,"""Everyone here...has stumbled on their own stony roads. It’s grace that lifts us up, grace that leads us home.” —Hillary to the @nbcusa_inc",3015,3154
26,"""Humility is not something you hear much about in politics, is it? But we should. None of us is perfect."" —Hillary",3155,3269
27,"Do all the good you can, for all the people you can, in all the ways you can, for as long as you can. https://t.co/d0KRFBYW98",3270,3395
28,This election is too important for anyone to sit on the sidelines. Make sure your friends are registered to vote. https://t.co/tTgeqy51PU,3396,3533
29,Let's beat back the assault on voting rights—a blast from the Jim Crow past that must be stopped. We should expand voting rights instead.,3534,3671
30,"Every child should be able to live up to their God-given potential, no matter where they come from, what they look like, or who they love.",3672,3810
31,"Together, we’ll face head-on the reality of systemic racism and work to reform our criminal justice system. https://t.co/ZdPJoscLBX",3811,3942
