,sentence,start,end
0,I have built so many great &amp; complicated projects– creating tens of thousands of jobs-video: https://t.co/9cqt78cGiT https://t.co/4Q7oJHKoqV,0,144
1,#MakeAmericaGreatAgain #Trump2016 https://t.co/6hP6PzPkY5,145,202
2,#MakeAmericaGreatAgain #Trump2016 https://t.co/zIn9Zl4Ukx,203,260
3,"Remember, Cruz and Bush gave us Roberts who upheld #ObamaCare twice! I am the only one who will #MAKEAMERICAGREATAGAIN!",261,380
4,I’m self-funding and I am going to take care of the people – not the special interests and insurance companies like the other candidates.,381,518
5,"I will replace it with private plans, health savings accounts, &amp; allow purchasing across state lines. Maximum choice &amp; freedom for consumer.",519,667
6,"I was referring to a backstop for pre-existing conditions. I will eliminate the law, in its entirety, &amp; replace it w/ something much better.",668,812
7,"I was asked about healthcare by Anderson Cooper &amp; have been consistent- I will repeal all of #ObamaCare, including the mandate, period.",813,952
8,A message from @IvankaTrump! #SCPrimary #VoteTrumpSC #MakeAmericaGreatAgain Video: https://t.co/5NZw5Bs6NR https://t.co/KEx85mQxEv,953,1083
9,Thank you South Carolina! Everyone get out and vote tomorrow! We will #MakeAmericaGreatAgain! https://t.co/Q2qxHINAHo,1084,1201
10,"""@KathyTravels777: ĺ @andersoncooper Tonight on CNN @realDonaldTrump was GREAT. Loved the intimacy of conversation w the people""",1202,1330
11,Tonight I will be on @FoxNews with @SeanHannity at 10pm and @CNN w/ @AndersonCooper at 10:10pm. Enjoy! #VoteTrumpSC #Trump2016,1331,1457
12,We will MAKE AMERICA SAFE &amp; GREAT AGAIN! #Trump2016 #VoteTrumpSC https://t.co/wG4RgO0pNm https://t.co/3XpJvBZuk5,1458,1574
13,"""Pope Francis, tear down that wall!"" #vaticanwalls https://t.co/mDGANFtApb",1575,1649
14,Join us Saturday night- for the South Carolina Primary Watch Party! #SCPrimary #Trump2016 https://t.co/AqRhLydI0u,1650,1763
15,"Join us tomorrow night in Charleston, South Carolina! #SCPrimary #Trump2016 https://t.co/VauoRmgcVz",1764,1863
16,"Pope on Trump: ""A person who thinks only about building walls...is not Christian."" This is Vatican City. https://t.co/ehmsLoljTl",1864,1992
17,.@FoxNews - Pope who lives in a Vatican city fortified with huge walls thinks it's wrong to build walls? Really? https://t.co/DkxP2TMSiK,1993,2129
18,Response to the Pope: https://t.co/iWDjTIQyhE,2130,2175
19,I agree with Marco Rubio that Ted Cruz is a liar!,2176,2225
20,".@FoxNews is changing their theme from ""fair and balanced"" to ""unfair and unbalanced."" But dying @WSJ is worse.Their phony poll is a joke!",2226,2364
21,"Thank you South Carolina! Together, WE WILL MAKE AMERICA GREAT AGAIN! #VoteTrumpSC https://t.co/ZkXPm9lPL1",2365,2471
22,#MakeAmericaGreatAgain #Trump2016 https://t.co/nrcrU08sQ6,2472,2529
23,Thank you America! #Trump2016 https://t.co/U9L0ja3frk https://t.co/oqv2dSa1ET,2530,2607
24,New CBS National Poll just out - massive lead for Trump. The Wall Street Journal/NBC Poll is a total joke. No wonder WSJ is doing so badly!,2608,2747
25,I love being in South Carolina. We are leading big in all of the State polls - Saturday is a BIG day. MAKE AMERICA GREAT AGAIN!,2748,2875
26,"The just out USA Today National Poll, where I lead by big numbers, shows that in a head to head matchup, I beat both Hillary and Bernie.",2876,3012
27,"Amazing that while I lead by big numbers in the new Q and and USA Today polls, the the press only wants to report on the phony WSJ/NBC poll.",3013,3153
28,"Join us tomorrow in Kiawah, South Carolina! #SCPrimary #VoteTrumpSC #Trump2016 https://t.co/pG868uImBb",3154,3256
29,THANK YOU AMERICA! #MakeAmericaGreatAgain #Trump2016 https://t.co/TRrdR0nlpM,3257,3333
30,Thank you Nevada! #MakeAmericaGreatAgain #Trump2016 https://t.co/n6hGfdCWuv,3334,3409
31,#MakeAmericaGreatAgain #Trump2016 https://t.co/uMLm0Gd3lX,3410,3467
32,"Jeb Bush just got contact lenses and got rid of the glasses. He wants to look cool, but it's far too late. 1% in Nevada!",3468,3588
33,"Just out Nevada poll shows Jeb Bush at 1%, he should take his dumb mouthpiece, @LindseyGrahamSC, and just go home.",3589,3703
34,.@FoxNews is so biased it is disgusting. They do not want Trump to win. All negative!,3704,3789
35,"I will beat Hillary easily, but Lindsey Graham says I won't, and yet he got zero against me- no cred! Why does FOX put him on?",3790,3916
36,".@lindseygraham, who had zero in his presidential run before dropping out in disgrace- saying the most horrible things about me on @FoxNews.",3917,4057
37,"Interesting how President Obama so haltingly said I ""would never be president"" - This from perhaps the worst president in U.S. history!",4058,4193
38,"""@ChJLuc91: @YomasterJon @RichardTBurnett Scary how smoothly Cruz looks into the camera and lies about Trump, CANT be #POTUS! #Trump2016""",4194,4331
39,"""@babo_sirin: BUSTED AGAIN: @TedCruz in Hot Water Over Possibly Illegal Fundraising #SCPrimary https://t.co/aaTtAbfOXx"" The guy is bad news",4332,4471
40,"Why does @megynkelly devote so much time on her shows to me, almost always negative? Without me her ratings would tank. Get a life Megyn!",4472,4609
41,"""@debdew2: @brithume @megynkelly @DiamondandSilk FOX: TRUMP HATERS R SCARED BECAUSE THEY LOSE - TRUMP IS WINNING https://t.co/6umGLYjWhT""",4610,4747
