,sentence,start,end
0,#Imwithyou https://t.co/tan8BmAuR8 https://t.co/5EZ7X1ZZKh,0,58
1,#Imwithyou https://t.co/iY4K7Wcw3C,59,93
2,Hillary says things can't change. I say they have to change. It's a choice between Americanism and her corrupt globalism. #Imwithyou,94,226
3,"""@chrisboydbrew: @LouDobbs @realDonaldTrump @FoxBusiness.. Saw your interview.You are the best! Great questions, great answers"" Lou is great",227,367
4,Crooked Hillary refuses to say that she will be raising taxes beyond belief! She will be a disaster for jobs and the economy!,368,493
5,I will be interviewed by @LouDobbs tonight on @FoxBusiness 7pm ET,494,559
6,"Hillary defrauded America as Secy of State. She used it as a personal hedge fund to get herself rich! Corrupt, dangerous, dishonest.",560,692
7,"If you want to know about Hillary Clinton's honesty &amp; judgment, ask the family of Ambassador Stevens.",693,798
8,Hillary took money and did favors for regimes that enslave women and murder gays.,799,880
9,"I am ""the king of debt.""That has been great for me as a businessman, but is bad for the country. I made a fortune off of debt, will fix U.S.",881,1021
10,Obama-Clinton inherited $10T in debt and turned it into nearly $20T. They have bankrupted… https://t.co/1COtt0RPY7,1022,1136
11,Hillary Clinton's open borders immigration policies will drive down wages for all Americans - and make everyone less safe.,1137,1259
12,How can Hillary run the economy when she can't even send emails without putting entire nation at risk?,1260,1362
13,"Hillary Clinton surged the trade deficit with China 40% as Secretary of State, costing Americans millions of jobs.",1363,1477
14,"Hillary says this election is about judgment. She's right. Her judgement has killed thousands, unleashed ISIS and wrecked the economy.",1478,1612
15,I will be making a big speech tomorrow to discuss the failed policies and bad judgment of Crooked Hillary Clinton.,1613,1727
16,"Crooked Hillary Clinton is totally unfit to be our president-really bad judgement and a temperament, according to new book, which is a mess!",1728,1868
17,"When I said that if, within the Orlando club, you had some people with guns, I was obviously talking about additional guards or employees",1869,2006
18,.@DJohnsonPGA We are so proud of you Dustin. Your reaction under pressure was amazing. First of many Majors. You are a true CHAMPION!,2007,2140
19,"""@bfraser747: Watch out HillaryClinton 👿 Support @realDonaldTrump 🇺🇸 🇺🇸 #MakeAmericaGreatAgain 🇺🇸 https://t.co/UTYOLo7wGF""",2141,2263
20,"Yesterday's failing @NYTimes fraudulently shows an empty room prior to my speech, when in fact, it was packed! https://t.co/iFuf8MdTEH",2264,2398
21,How can the NY Times show an empty room hours before my speech even started when they knew it was going to be packed? So totally dishonest!,2399,2538
22,Donald Trump's Speech Is a Game Changer. #Trump2016 https://t.co/VXjtSivvuU https://t.co/dIK3IyrYGC,2539,2638
23,See you soon Arizona! #Trump2016 https://t.co/W4z2eW5ay4,2639,2695
24,I love you Arizona! Thank you! #Trump2016 #AmericaFirst https://t.co/QuTsSmeVdO,2696,2775
25,MAKE AMERICA GREAT AGAIN! MAKE AMERICA SAFE AGAIN! #Trump2016 #AmericaFirst https://t.co/vN4K8FvQNT,2776,2875
