,sentence,start,end
0,National Review is a failing publication that has lost it's way. It's circulation is way down w its influence being at an all time low. Sad!,0,140
1,"Thank you, Iowa! #FITN #IACaucus #MakeAmericaGreatAgain #Trump2016 https://t.co/wVJldvTSag",141,231
2,"Why does @Greta have a fired Bushy like dummy, John Sununu on- spewing false info? I will beat Hillary by a lot, she wants no part of Trump.",232,372
3,#Trump2016 #MakeAmericaGreatAgain https://t.co/vfUwGIGjN4,373,430
4,"Thank you, New Hampshire! #Trump2016 https://t.co/TG9oZKly4l",431,491
5,Thank you! #Trump2016 https://t.co/pcdmyIO1Zt,492,537
6,"Thank you, Iowa! #Trump2016 https://t.co/ryhEheTLqN",538,589
7,"Happy birthday to my friend, the great @jacknicklaus - a totally special guy!",590,667
8,New Day on CNN treats me very badly. @AlisynCamerota is a disaster. Not going to watch anymore.,668,763
9,Low energy candidate @JebBush has wasted $80 million on his failed presidential campaign. Millions spent on me. He should go home and relax!,764,904
10,"Sad sack @JebBush has just done another ad on me, with special interest money, saying I won't beat Hillary - I WILL. But he can't beat me.",905,1043
11,So sad that @CNN and many others refused to show the massive crowd at the arena yesterday in Oklahoma. Dishonest reporting!,1044,1167
12,"""@AmericanAsPie: @glennbeck @SarahPalinUSA Remember when Glenn gave out gifts to ILLEGAL ALIENS at crossing the border? Me too!""",1168,1296
13,"""@bigop1: @realDonaldTrump @SarahPalinUSA https://t.co/3kYQGqeVyD""",1297,1363
14,#MakeAmericaGreatAgain #Trump2016 UNIFYING THE NATION Video: https://t.co/1ZWE5R183k https://t.co/Md10pL1wn8,1364,1472
15,"""@NeilTurner_: https://t.co/uvn95NB6M0 You're the only candidate we can trust, other candidates are controlled by their donors! #VoteTrump""",1473,1612
16,"Wacko @glennbeck is a sad answer to the @SarahPalinUSA endorsement that Cruz so desperately wanted. Glenn is a failing, crying, lost soul!",1613,1751
17,"""@AnnCoulter: Trump destroyed Hillary &amp; Sanders moved in. But he didn't destroy her, Trump did. https://t.co/WAuaujsP1o"" So true!",1752,1885
18,New CNN/WMUR New Hampshire poll just released. Thank you! #FITN #Trump2016 https://t.co/sZr9taU20G,1886,1984
19,"Bob Dole Warns of ‘Cataclysmic’ Losses With Ted Cruz, and Says Donald Trump Would Do Better via New York Times: https://t.co/txEaLrZ4uY",1985,2120
