When asked   this morning what tax rate he pays Donald Trump responded "its none of your business." If his tax rate is none of our business what else in his tax returns does Trump think is none of the voters business? Donald Trump has repeatedly refused to release his tax returns because he claims hes under audit, 0, 57
Unfortunately for Trump the  " that excuse is bogus, 57, 66
Its time for Donald Trump to release his full tax returns and stop hiding the truth from voters." "Our country has a long history of presidential candidates releasing their full tax returns and for good reason, 66, 102
Voters deserve to know whats in Donald Trumps returns - how exactly he makes his money and what he does with it, 102, 124
Enough is enough, 124, 127
We know hes done his best to avoid paying his fair share of taxes, 127, 141
What else is he hiding in those tax returns?" said Hillary for America Deputy Communications Director Christina Reynolds, 141, 159
Atlantic:  , 159, 160


