Last night our nation was attacked by a radical Islamic terrorist, 0, 11
It was the worst terrorist attack on our soil since 9/11 and the second of its kind in 6 months, 11, 31
My deepest sympathy and support goes out to the victims the wounded and their families, 31, 46
"In his remarks today President Obama disgracefully refused to even say the words Radical Islam, 46, 61
For that reason alone he should step down, 61, 69
If Hillary Clinton after this attack still cannot say the two words Radical Islam she should get out of this race for the Presidency." "If we do not get tough and smart real fast we are not going to have a country anymore, 69, 112
Because our leaders are weak I said this was going to happen – and it is only going to get worse, 112, 133
I am trying to save lives and prevent the next terrorist attack, 133, 145
We cant afford to be politically correct anymore." The terrorist Omar Mir Saddique Mateen is the son of an immigrant from Afghanistan who openly published his support for the Afghanistani Taliban and even tried to run for  , 145, 182
  of people in Afghanistan support oppressive Sharia Law, 182, 190
We admit more than 100000 lifetime migrants from the Middle East each year, 190, 203
Since 9/11 hundreds of migrants and their children have been implicated in terrorism in the United States, 203, 220
Hillary Clinton wants to dramatically increase admissions from the Middle East bringing in many hundreds of thousands during a first term – and we will have no way to screen them pay for them or prevent the second generation from radicalizing, 220, 261
We need to protect all Americans of all backgrounds and all beliefs from Radical Islamic Terrorism - which has no place in an open and tolerant society, 261, 288
Radical Islam advocates hate for women gays Jews Christians and all Americans, 288, 300
I am going to be a President for all Americans and I am going to protect and defend all Americans, 300, 320
We are going to make America safe again and great again for everyone, 320, 333
- Donald J, 333, 336
Trump   , 336, 337


