,sentence,start,end
0,"""Im heartened by Secretary Clintons commitment to expand service opportunities in America including her pledge to fulfill the promise of the bipartisan Edward M",0,160
1,Kennedy Serve America Act and expand AmeriCorps to 250000 positions,619,686
2,My husband believed deeply in the importance of service and its positive impact on our communities and our country,1098,1212
3,Every American who wants to serve should have the chance to do so,1556,1621
4,"I know that Secretary Clinton who has made this cause a priority throughout her life will work to achieve that goal as president and I am proud to stand with her.""xa0 ""Service to our nation and to our fellow citizens has long been a sacred American tradition – an experience that allows the concept of citizenship to grow full inside each of us.xa0Imxa0very gladxa0to see this concept in the form of a Service Year spent in anything from education to conservation brought prominently onto the stage of national debate",1751,2268
5,"It is not a Republican Democratic or even an Independent initiative – the opportunity belongs to and responsibility rests with every American.""xa0 ""At a time of division national service by young Americans would help heal our nation",2344,2576
6,"I applaud Secretary Clintons announcement today to create a National Service Reserve to engage millions of young Americans in serving their communities and country building on her plan to provide 250000 full-time service year opportunities annually."" ""This plan proves Hillary Clinton knows as I do that picking up a soup spoon to feed the less fortunate or a hammer to rebuild homes for those devastated by natural disasters is another important way to serve our nation just as so many do in uniform",2674,3174
7,We must honor and support all kinds of American service whether it is in the military or civilian capacity,3312,3418
8,"I look forward to working with our next President to enact policies like my 21st Century American Service Act that expand service opportunities to all those willing to serve promote a culture of service and help make higher education more affordable for countless young people.""xa0 ""Every day volunteers in programs like AmeriCorps are making a difference by serving in communities across America",3624,4020
9,Secretary Clintons plan builds on national service success meeting an unmet demand for service opportunities expanding AmeriCorps and creating a National Service Reserve,4249,4418
10,Her proposals call on 5 million Americans to give back to their country and be a part of something bigger than themselves,4766,4887
11,These volunteers will tutor teens start neighborhood crime watches and help towns rebuild after disasters,5238,5343
12,Hillary knows that service is the very spirit of our country,5718,5778
13,"She is committed to giving a new generation of Americans the opportunity to the answer the call to transform communities and transform lives.""xa0 ""I applaud Secretary Clintons bold proposal to expand national service opportunities for young Americans through the creation of a National Service Reserve and the expansion of the AmeriCorps program",6049,6394
14,As someone who has launched and run both a national and a local AmeriCorps program Ive seen firsthand the transformative power that national service can play in communities and the lives of young people,6588,6790
15,"This is the kind of plan that harnesses the passion and innovative thinking of young people through public service to address many of the challenges we face across our country."" ""A republic cannot long survive if it defers to the few what is the responsibility of us all",6985,7255
16,It is a sad fact that less than 1% of the nation currently serves in the military AmeriCorps and other service organizations combined--though not for lack of interest,7437,7603
17,AmeriCorps alone regularly turns aside the vast majority of its applicants,7956,8030
18,I applaud Secretary Clintons bold initiative to expand opportunities for these eager young Americans to give back to their country,8425,8555
19,In the wake of natural disasters like Hurricane Sandy the flooding in Louisiana or crises like that in Flint Michigan our volunteers are often the first boots on the ground,8861,9033
20,"They are a vital part of our communities efforts to rebuild and recover and Secretary Clintons plan is a clear win for both our country and our citizens.""xa0 ""Hillary Clintons plan for a National Service Reserve demonstrates her commitment to our next generation of leaders",9236,9509
21,Since the creation of AmeriCorps 20 years ago...I have seen how it has positively shaped communities,9778,9878
22,"Hillarys plan to significantly expand AmeriCorps will give more young people the opportunity to serve and carry on the spirit of service.""xa0 ""It is no exaggeration to say that my life and career have been shaped by public service",10168,10398
23,While I have been recognized for this commitment these experiences have given as much to me as I have to them,10646,10755
24,I attended college as a single mother and depended on welfare and TRIO to complete my education,11057,11152
25,After I graduated college I wanted to do my part for the country that had given me so much,11441,11531
26,I became an AmeriCorps VISTA volunteer working to start a community credit union,11859,11939
27,The confidence and community I gained from VISTA led me to run for Wisconsin State Assembly which led me to the State Senate and eventually the United States House of Representatives,12246,12428
28,Service begets service and I am proud to see Hillary Clintons efforts to not only expand the opportunity for all Americans to serve but work so that service is economically viable for all -- through living allowances and college scholarships,12661,12902
29,"This proposal will not only benefit our country for generations but underscores Hillarys belief that we are stronger together.""xa0 ""The National Service Reserve will not only enable young men and women to give back to their country but also equip them with invaluable experiences and training that will enrich their lives",13096,13417
30,Whether in the military or in the communities an entire generation can share the sacrifice needed to secure Americas future,13645,13768
31,"Indeed I wholeheartedly endorse Hillary Clintons plan to make us stronger--together."" ""The Millennial Generation wants to serve",14150,14277
32,They are on the front lines fighting poverty educating children reclaiming our environment and restoring neighborhoods after natural disasters while developing an ethic of common purpose,14653,14839
33,We need more and bolder ways to tap their energy and idealism,15206,15267
34,"Secretary Clintons plan to create a National Service Reserve to enlist millions in service combined with her commitment to grow AmeriCorps to 250000 participants and make a service year possible for anyone willing to serve is a powerful way to channel young peoples desire to make a difference and solve pressing problems in communities across our country.""xa0 ""Its time to say to Americas young people -- invest in your communities and we will invest in you",15457,15915
35,"Thats what service years do and why we need to expand programs like AmeriCorps to develop the public-spirited leaders our country needs for the future.""xa0 ""It is time to expand national service to mobilize a new generation of young Americans to focus their talent and energy on the most pressing challenges facing our communities",15965,16295
36,From helping students succeed in school to protecting our environment to helping communities recover from disasters there is so much to be done to strengthen our nation,16519,16687
37,Through their service in AmeriCorps young people develop as citizen leaders and earn scholarships to help them pay back student loans,17013,17146
38,Every dollar invested has a fourfold return,17517,17560
39,"National service is a winning idea and a smart investment of taxpayer dollars."" ""After the attacks of September 11th having just graduated from college I enlisted in the US Army",17903,18080
40,Through my military service I worked with every race every class every ideological and socioeconomic background,18405,18516
41,Through different we moved beyond personal differences to achieve a higher common goal,18898,18984
