,sentence,start,end
0,"""Thank you",0,10
1,"Its wonderful to be here in Virginia a state where I have so many great friends and wonderful employees."" Tremendous polls keep coming in",390,527
2,A brand new Rasmussen poll has us up 5 points nationwide,907,963
3,On November 8th we are going to win this state and we are going to win the White House,1295,1381
4,"""We are going to take on the big donors and big business and big media – we are going to take on the rigged system that has shipped Americas wealth to other countries."" We are going to replace our failed and corrupt establishment with a new government that serves you your family and your country",1560,1856
5,My economic agenda can be summed up in three very beautiful words: jobs jobs jobs,2089,2170
6,We will cut taxes for all working and middle-class households in America,2527,2599
7,We will reduce regulations which will put more money into the hands of our poorest workers and bring thousands of new companies to our shores,2926,3067
8,We will unleash American energy creating millions of new jobs and lowering energy costs,3411,3498
9,The Obama-Clinton energy restrictions are nothing more than a massive tax on the poor – we will remove those restrictions day one,3846,3975
10,We will repeal and replace disastrous Obamacare,4363,4410
11,President Obama promised his plan would reduce premiums by $2500 dollars,4834,4906
12,Instead they surged $5000,5328,5353
13,Our replacement plan includes expanded access to Healthcare Savings Accounts with support for those who need it,5765,5876
14,It includes allowing Americans to buy health insurance across state lines in all 50 states creating a dynamic and competitive new market – they will be competing for your business,6194,6373
15,"""Were also going to block grant Medicaid so states can develop innovative solutions to make sure no citizen in poverty ever falls through the cracks",6650,6798
16,"High-risk pools will also help to ensure that those with pre-existing conditions will always get the quality coverage they need."" On trade we are going to end the international abuse the foreign cheating and the one-sided rules that govern NAFTA and the World Trade Organization",7045,7323
17,Right now America eliminates its tariffs but then other countries tax our goods with backdoor tariffs and close their markets,7579,7704
18,"""Our massive chronic trade deficits are destroying the middle class – and shifting money away from workers to large corporations who have no borders",8029,8177
19,"Theres a reason hedge funds and Wall Street are giving tens of millions to my opponent."" Hillary Clinton is the voice for the global special interests",8468,8618
20,I am running to be the voice of the forgotten men and women,8918,8977
21,"My opponent likes to say that for decades she has been ""fighting for women."" That she has been ""fighting for children."" Why then are 70 million American women and children living in poverty or on the brink of poverty? Why has she provided no relief for the millions of Americans in search of affordable reliable quality childcare? You know the old saying ""Watch what I do not what I say."" At the Trump Organization and in my campaign for President women occupy some of the highest positions",9127,9617
22,I have employed thousands of women in my company,9769,9817
23,Women of different backgrounds,10202,10232
24,Women of many talents,10651,10672
25,And just last week joined by my daughter Ivanka I laid out my plan for childcare and eldercare,11060,11154
26,That plan has many great features including tax-free childcare savings accounts,11514,11593
27,Low-income parents are given tax credits they can put straight into those accounts and then get a $500 dollar per child match for those savings accounts deposits,11934,12095
28,Families can also deduct the cost of childcare from their taxes a huge tax cut for the middle class,12393,12492
29,We have also talked about improving education,12843,12888
30,My plan includes school choice for every disadvantaged child in America,13282,13353
31,We are also going to bring down the cost of college,13718,13769
32,"""Universities get massive federal funds and huge tax breaks for their endowments – but then they dont spend those funds or those endowments on their students",14101,14258
33,I will work with Congress to make sure these special federal benefits are not available unless universities begin to reduce tuition and student debt,14552,14700
34,This will get to the problem at the source and reduce both the cost for students and the cost for taxpayers,15002,15109
35,"Our students are drowning and were going to fix it."" Women also value security",15449,15527
36,They want a Commander-in-Chief that will defeat radical Islamic terrorism stop the massive inflow of refugees protect our borders and who will reduce the rising crime and violence in our cities,15839,16032
37,As I campaign across this country I hear so many stories and pleas from women especially about drug addiction and opioid use,16316,16440
38,They are doing their best in their communities and for their families to provide a safe and nurturing environment,16756,16869
39,But even the best-laid plans cannot always protect our youth and increasingly many adults from the scourge of drugs,17211,17326
40,We lose thousands of our fellow Americans every year to opioid use,17671,17737
41,I will stop the drug inflow from our borders,18108,18152
42,These drugs come over the border and make their way into our urban and rural communities and into our suburbs,18487,18596
43,This must change,18960,18976
44,Every change starts with a conversation,19368,19407
45,Together we will have this conversation,19797,19836
46,And we will make this change,20219,20247
47,The changes will start immediately,20634,20668
48,Here in Virginia we are going to end the war on American energy,21039,21102
49,Hillary Clinton says she wants to put the miners out of work,21453,21513
50,Clinton and Kaine also want to shut down shale and shut down natural gas,21854,21926
51,The Clinton regulatory agenda will drive up electricity prices for Virginia families and will cost the U.S,22253,22359
52,economy over $5 trillion,22720,22744
53,By the way less than a week after taking office Tim Kaine proposed a $4 billion dollar tax hike in Virginia including on people earning as little as $17000 dollars a year,23061,23231
54,We are going to open up all sources of American energy and bring jobs wealth and cheaper electricity to Virginia,23503,23615
55,Another major part of our agenda is safety,23950,23992
56,I believe every family in America is entitled to live in safety and peace,24363,24436
57,Today the nation just opened the Smithsonian National Museum of African-American History and Culture,24819,24919
58,We congratulate and honor those involved with the project and recognize today the incredible contributions of the African-American community to this nation,25293,25448
59,African-Americans have given so much to this nation and sacrificed so much for this nation,25834,25924
60,Many African-Americans are succeeding so greatly in our country and I will make sure their success is protected and supported,26295,26420
61,At the same time too many African-Americans have been left behind and trapped in poverty,26760,26848
62,I will fight to make sure every single African-American child in this country is fully included in the American Dream,27180,27297
63,That includes the new civil rights issue of our time: School Choice,27637,27704
64,Democrats have run the inner cities for half a century or more and produced only more joblessness and poverty,28050,28159
65,The jobs are leaving the schools are failing and crime is rising,28479,28543
66,To those suffering I say: Vote for Donald Trump,28885,28932
67,What do you have to lose? I will fix it,29282,29321
68,I will fight harder for you than anyone has before,29672,29722
69,The policies of Hillary Clinton have brought only suffering in our inner cities – just like her bad judgment overseas unleashed suffering everywhere she went,30033,30190
70,Of course she got rich through it all – the Clintons made another $60 million in gross income while she was Secretary of State,30482,30608
71,Worst of all she put her public office up for sale – and then bleached her emails and destroyed her phones to try to cover her tracks following a congressional subpoena,30849,31017
72,"""Theres a reason the hedge fund managers are donating to Hillary Clintons campaign – and not mine",31307,31404
73,"Everybody getting rich off the rigged system and who wants nothing to change are throwing their money at Hillary Clinton."" My campaign is powered by my own money and by small dollar donations from everyday patriotic citizens",31692,31916
74,95% of our donors are small dollar donations,32220,32264
75,Every dollar helps us deliver your country back to you,32660,32714
76,"""Our campaign is about breaking up the special interest monopoly in Washington D.C",33100,33182
77,Were trying to disrupt the collusion between the wealthy donors the large corporations and the media executives,33557,33668
78,"Theyre all part of the same political establishment."" They go to the same restaurants they attend the same conferences they have the same friends and connections",34008,34169
79,They all support the same ideology of globalism that makes them rich while shipping your jobs your factories and your wealth to other countries,34469,34612
80,I am not running to be President of the World,34927,34972
81,I am running to be President of the United States,35336,35385
82,I Am For America – and America First,35740,35776
83,Together we will rebuild this country beyond our greatest dreams,36124,36188
84,Government will start working again,36562,36597
85,Fixing things is what I do,36979,37005
86,Just look at my projects in New York where I turned rundown spaces into new centers of business activity and opportunity – where others saw only problems I saw only potential,37331,37505
87,We turned empty lots into homes offices and living memories for thousands of workers and families,37794,37891
88,"""Thats what I want to do for our country – I want to go into the neglected neighborhoods the failing schools the forgotten stretches of this nation and unlock their potential for all of our people."" ""Ive made a living for years looking at unused spaces and imagining what they could be",38123,38408
89,"Politicians look at blighted neighborhoods and offer only excuses – I look at those same neighborhoods and offer solutions."" ""We spend so much time thinking about how things used to be weve stopped thinking about how great things could be – all we have to do is tune out the doubters the cynics and the naysayers."" ""We are a nation of strivers dreamers and believers – and thats the spirit that will carry us to victory in November and to great victories as a nation."" ""Its that same spirit of resilience I have seen visiting the flood-ravaged towns in Louisiana or meeting with the incredible but hard-hit people in cities and towns like Flint Michigan."" ""It used to be the cars were made in Flint and you couldnt drink the water in Mexico",38300,39040
90,Today cars are made in Mexico and you cant drink the water in Flint,39045,39112
91,"Well turn it all around."" But that means you need to show up and vote on November 8th",39389,39474
92,You have to knock on doors,39772,39798
93,You have to pick up that phone,40118,40148
94,Go to our website to learn more,40470,40501
95,You have to campaign on the streets,40825,40860
96,Spread the love that we have in this room to the people of our country,41165,41235
97,To beat the system you have to lift your voice pound the pavement and get out the vote,41512,41598
98,You have 44 days until the big vote,41901,41936
99,You have 44 days to make possible every dream you ever dreamed of for your country,42257,42339
100,You have one magnificent chance to deliver justice for every forgotten man woman and child in this nation,42642,42747
101,The arrogance of Washington D.C,43094,43125
102,will soon come face to face with the righteous verdict of the American voter,43487,43563
103,This November 8th we are going to show the whole world that America is Back – Bigger and Better and Stronger than Ever Before,43856,43981
104,Here is just some of what will happen starting in January of 2017: I am going to lower your taxes; eliminate every unnecessary regulation; unleash American energy; end illegal immigration – and yes we will build the wall Mexico will pay; save the 2nd amendment and appoint Justices to the Supreme Court who will uphold and defend the Constitution of the United States,44166,44533
105,We will rebuild our roads bridges tunnels highways airports schools and hospitals,44742,44823
106,American cars will travel the roads American planes will soar in the skies and American ships will patrol the seas,45171,45285
107,American steel will send new skyscrapers into the clouds,45650,45706
108,And we will put our great miners and steelworkers back to work,46095,46157
109,American hands will rebuild this nation – and American energy harvested from American sources will power this nation,46496,46612
110,American workers will be hired to do the job,46954,46998
111,We will put new American steel into the spine of this country,47349,47410
112,I will fight for every neglected part of this nation – and I will fight to bring us all together as One American People,47706,47825
