,sentence,start,end
0,This is amazing,0,15
1,What a great place,390,408
2,Thank you very much,783,802
3,We have thousands of people outside trying to get in,1177,1229
4,But we should start,1604,1623
5,"Do we agree?  n ""We should start",1998,2029
6,So theyll come in,2404,2421
7,"Theyll come in.n"" ""First of all I want to thank you",2775,2826
8,Special special place,3167,3188
9,Its a special place with incredible people,3530,3572
10,In one day do you believe this? One day we are going to win the great state of North Carolina..,3874,3969
11,""" n And we are going to win back the White House",4269,4317
12," n ""This election will decide whether we are ruled by a corrupt political class",4636,4714
13,Youre seeing whats happening,5047,5075
14,Everybodys watching,5461,5480
15,Or whether we are ruled by the people,5861,5898
16,Were going to be ruled by the people folks,6276,6318
17,""" n ""That is going to be the choice",6693,6728
18,A failed political establishment has delivered nothing but poverty nothing but problems nothing but losses,7079,7185
19,Nothing but losses,7539,7557
20,We dont win anymore as a country,7935,7967
21,Were going to start winning again,8336,8369
22,""" n ""They get rich by making America poorer in many cases",8729,8786
23,Its time to reject the media and political elite that has bled our country dry,9101,9179
24,""" n ""And these are among the most dishonest people",9491,9541
25,They dont give you the truth folks,9870,9904
26,They dont give you the truth,10243,10271
27,""" n ""They rarely give you the truth",10602,10637
28,You know it,10977,10988
29,And they know it,11329,11345
30,Thats the scary part,11688,11708
31,"They know it.n"" ""Its time to fight for America",12035,12081
32,Im not a politician I can say proudly,12398,12435
33,My only special interest is you,12763,12794
34,Its you,13137,13144
35,""" n ""Were going to bring back the jobs that have been stolen from you",13473,13542
36,Were going to bring back the wealth that has been taken from our country,13848,13920
37,Were going to bring back the miners and the factory workers and the steel workers,14220,14301
38,Were going to put them back to work,14652,14687
39,""" n The economic policies of Bill and Hillary Clinton have destroyed manufacturing in your state and throughout the entire country.n ""The corrupt Clintons gave us NAFTA",15018,15186
40,Chinas too horrible entry into the World Trade Organization,15527,15586
41,One of the disasters,16007,16027
42,The job-killing deal with South Korea,16450,16487
43,That was a Hillary Clinton beauty,16891,16924
44,And the Trans-Pacific Partnership which will be a total disaster,17300,17364
45,""" n That Hillary Clinton said this is the gold standard",17711,17766
46,And you know what? It is the gold -- she lied,18100,18145
47,She lied during the debate,18488,18514
48,"She said -- hey by the way who won the debate? Did we win that debate?  n ""But she lied during the debate",18809,18913
49,She lied during the debate,19212,19238
50,She said its the gold standard,19587,19617
51,"And then she said she never said it.n"" ""Dont worry about coal",19945,20006
52,Were bringing back coal sir,20342,20369
53,"Hes holding up a couple of..."" n ""Clean coal",20721,20765
54,Clean coal,21120,21130
55,Right? Were going to do clean coal the miners,21487,21532
56,The miners are going to be back,21877,21908
57,Not if Hillary Clinton gets in,22264,22294
58,The miners I guess you got to start thinking about something else,22631,22696
59,But the miners are going to be back,23036,23071
60,Clean coal,23440,23450
61,"Clean coaln"" ""You know thinking about it though",23814,23861
62,Also people the press doesnt talk about it,24221,24263
63,"Donna Brazile gets the questions through a debate..."" ...but then it turns out to be a number of debates",24594,24698
64," n ""Who cares about Donna Brazile? Shes turned out to be not what people thought",25016,25095
65,She gets illegally -- illegally,25456,25487
66,She gets the questions to the debate,25868,25904
67,She then takes those questions and gives them to crooked Hillary Clinton,26264,26336
68,""" n ""Now does crooked Hillary report it? Does she say I shouldnt have these questions or these answers? I think they gave them the answers also right? No she doesnt",26635,26799
69,"They doesnt.n"" ""I wonder if she had -- I wonder if she had the questions in my debates",27059,27145
70,I dont think so because she didnt do that well,27437,27483
71,I dont think so,27803,27818
72,I dont think so,28148,28163
73,But the years of betrayal will end,28480,28514
74,And they will end,28830,28847
75,And theyre going to end quickly,29172,29203
76,Theyre going to end as of the day we take office which is going to be very very soon,29493,29577
77,""" n ""The theft of North Carolina jobs will end",29899,29945
78,"Youve taken in harder than most states.n"" Real change begins with immediately repealing and replacing Obamacare",30284,30395
79," n ""Sadly its just been announced that the residents of North Carolina are going to experience massive double-digit premium hikes",30753,30881
80,"Ninety-five..."" ...of the 100 North Carolina counties will only have one insurer in the Obamacare exchange next year",31247,31363
81,"Lots of luck negotiating.n ""Honestly its not going to matter because were going to win and were going to terminate it",31705,31822
82,"Youre going to have such great health care..."" ""...for much less money",32163,32233
83,It wont matter,32624,32638
84,""" n Premiums are searching",33049,33075
85,Companies are leaving,33473,33494
86,Insurers are fleeing,33904,33924
87,"Doctors are quitting.n ""By the way doctors theyre leaving",34324,34381
88,Theyre quitting,34786,34801
89,I have a friend whos a doctor,35213,35242
90,"He said that I have more accountants than I have nurses its so complicated.n"" And deductibles are going through the roof",35608,35728
91,Yet Hillary Clinton wants to double down and expand Obamacare and make it even more expensive,36031,36124
92," n ""Im asking for your vote so we can repeal and replace Obamacare and save health care for every family in North Carolina",36432,36553
93,""" n Thank you",36877,36890
94,Thank you.n Thank you,37248,37269
95," n ""People are pouring in folks",37622,37652
96,"Theyre pouring in.n"" Did you see last night in Michigan the crowd we had? And the crowd we had -- by the way how about 24000 maybe 25000 right next to Fort Brag",37925,38085
97,You saw that the other night,38361,38389
98," n ""And we went to Minnesota",38753,38780
99,Minnesotas been treated very very badly,39151,39190
100,We went to Minnesota where were doing very well,39564,39611
101,Everyone said why Minnesota? That doesnt go Republican,39988,40042
102,Its going Republican this year Ill tell you,40433,40476
103,Minnesota,40891,40900
104,"Great place.n"" ""And you know youve been watching and youve been seeing and these people are being driven crazy the dishonest media",41275,41405
105,Were winning Ohio,41775,41792
106,Were winning Iowa,42214,42231
107,Were winning we think New Hampshire,42639,42674
108,Were going to do great in New Hampshire,43061,43100
109,I hear were winning North Carolina big..,43477,43517
110,""" n I hear.n ""Were winning Florida",43895,43929
111,Were winning Florida doing really well,44307,44345
112,Headlines today are on drudge,44721,44750
113,how well were doing in Florida,45118,45148
114,"And I think were going to win the great state of Pennsylvania I do.n"" ""Then were winning plenty of other places",45465,45576
115,So we have to go,45882,45898
116,The big key you have to go,46231,46257
117,You dont win a rigged system folks,46598,46632
118,Were in a rigged system,46981,47004
119,You got to go,47363,47376
120,You got to vote,47728,47743
121,"Got to make sure that vote gets registered.n"" Real change also means restoring honesty to our governmentn Thank you",48053,48168
122,Thank you,48508,48517
123,Wow,48905,48908
124,"Great great spirit.n ""I have a job right next to -- we have a beautiful beautiful property right next to -- right near Charlotte",49245,49373
125,You know about it folks? Its great right? Some of the people,49665,49725
126,But its an amazing place,50064,50088
127,"Its an amazing place to work and to live and we love it.n"" Hillary Clinton is the most corrupt person ever to seek the office of the presidency of the United States",50381,50545
128, n She threatened national security she sold her office to the highest bidder,50830,50906
129,And then to cover her tracks..,51294,51324
130,...she deleted 33000 emails after receiving a congressional subpoena nothing happens to her,51717,51808
131,"Nothing happens  n ""Shes being protected by a totally rigged system -- General James Cartwright",52180,52274
132,A four-star general,52670,52689
133,Two weeks ago probably going to jail for up to five years for doing nothing by comparison,53065,53154
134,But he said he did it for national security reasons and I can understand that,53480,53557
135,Go to jail for up to five years,53888,53919
136,General betrayes his life was destroyed and here she is she is running for president 25 times worse than anybody has ever dreamt,54230,54358
137,Its a rigged system,54673,54692
138,It is a rigged rigged system,55042,55070
139,""" n ""Dont worry folks",55431,55452
140,The cameras will never spin around and show this crowd,55787,55841
141,They never do,56189,56202
142,They show my face and the two people behind me not the thousands behind me,56530,56604
143,They never do,56938,56951
144,They never do,57304,57317
145,"""   n So dishonest",57668,57684
146,There they are,58037,58051
147,There they are,58413,58427
148,My group,58786,58794
149,Women for Trump,59148,59163
150, n Women for Trump,59518,59535
151," n ""Theyve been following me these ladies for a long time",59873,59929
152,"How are we doing? Are we doing well?n"" Great people",60252,60303
153,"Women for Trump.n ""And now its up to the American people to deliver the justice that we deserve at the ballot box tomorrow",60602,60724
154,At the ballot box,61030,61047
155,"Were going to win.n"" ""I think its a great way of showing what we have to show in light of whats going on with justice in this country",61326,61459
156,I really do,61752,61763
157,I think its a great way,62115,62138
158,You show it tomorrow,62489,62509
159,"We show it tomorrow.n"" My contract with the American voter begins with a plan to end government corruption and to take our country back from the special interests",62809,62971
160," n ""And folks I was on the other side for a long time",63244,63296
161,Its a very good place to be,63628,63655
162,But I love the country,64002,64024
163,I love this country,64374,64393
164,Ive really gotten to love the people of this country because I have been everywhere,64715,64798
165,We have the greatest people on earth,65123,65159
166,"But I love this country.n"" ""And I couldnt watch it when they made the Iran deal",65490,65569
167,They gave them $150 billion a terrorist state,65888,65933
168,""" n ""A state that was ready to collapse until we made them rich and powerful",66255,66331
169,We gave them a path to nuclear weapons,66654,66692
170,They were ready to collapse,67040,67067
171,We gave them remember $400 billion right? We gave them $400 million,67401,67468
172,Then we found out that was -- it wasnt $400 million,67786,67837
173,It was $1.7 billion in cash,68172,68199
174,In cash,68554,68561
175,Do you know what $1.7 billion in cash is? You could take that whole side of the arena and you wouldnt have enough room,68861,68979
176,How stupid are we to allow this to happen? Our leaders are incompetent,69287,69357
177,President Obama is campaigning today with Hillary Clinton because she cant campaign,69689,69772
178,""" n ""She cant campaign",70130,70152
179,""" n ""So Obama is taking Air Force One which costs a fortune",70515,70574
180,You know hes very much into the environment,70928,70971
181,And hell take a massive old engine 747,71316,71354
182,Very much into the environment,71703,71733
183,Very much into the ozone layer,72087,72117
184,"And yet hell fly that 747 all over the place to campaign for crooked Hillary.n"" ""And I dont think its going to work",72431,72546
185,And shes not getting any crowds,72840,72871
186,So she gets Beyonce and Jay-Z,73188,73217
187,I like them,73540,73551
188,""" n I like them",73878,73893
189, n And you know what they do? I get bigger crowds than they do,74189,74250
190," n ""Its true",74544,74555
191,I get far bigger crowds,74879,74902
192,""" n Look at this place",75224,75246
193,"I mean look at the crowds we had in Michigan.n ""By the way Michigan is in play",75548,75626
194,It hasnt been in play for Republicans for 30 something years,75931,75991
195,Michigan is in play because theyre tired of watching their car factories be taken out,76320,76405
196,"Theyre tired of losing their jobs to Mexico.n"" ""Ford",76752,76804
197,Ford right now moved all of its small car production to Mexico,77170,77232
198,Theyre building the biggest plants in the world in Mexico,77576,77633
199,And Michigan has been complaining about it for five years to Mexico,77970,78037
200,""" n ""No were going to have some -- tomorrows going to be a very historic day",78342,78418
201,I really believe that,78724,78745
202,I think its going to show -- I think its going to be a Brexit plus plus plus,79029,79105
203,"Does that make sense? "" n Plus plus plus",79406,79446
204, n It will be amazing,79770,79790
205,It will be amazing.n I want the entire corrupt Washington establishment to hear the words were all about to say,80082,80193
206,This is a phrase I told you,80496,80523
207,I didnt like it,80872,80887
208,I thought it was hokie,81242,81264
209,But its not hokie,81623,81640
