,sentence,start,end
0,"""Thank you Iowa."" ""For the last 10 months Hillary Clinton has been traveling around the country talking to people about whats at stake in this election—and why we need to elect a Democrat who will build on the progress weve made and keep going."" So on the night of the Iowa caucus she thanked everyone who poured their dreams and determination into her campaign ..",0,364
1, ..,620,622
2,and stopped to recognize a unique moment,1002,1042
3,She made it clear that this is just the beginning,1398,1447
4," ""Weve still got work to do",1812,1838
5,""" ""Shell take on discrimination fight for equality ..",2225,2278
6,""" ..",2680,2684
7,and stand up to Republican attempts to take our country in the wrong direction,3086,3164
8," ""And shes not going to stop until she gets the job done",3566,3621
9,""" ",4023,4024
