,sentence,start,end
0,Today Donald J,0,14
1,Trump for President Inc,438,461
2,announced the campaign has officially filed to be on the ballot of the March 15 2016 Illinois Republican Presidential Primary,885,1010
3,Mr,1434,1436
4,"Trumps campaign also filed a full slate of delegates for the Republican National Convention which will take place in Cleveland July 18-21 2016."" Mr",1845,1992
5,"Trump stated ""It is my honor to be on the ballot in Illinois and to file a full slate of delegates",2292,2390
6,We have received tremendous support from so many people in Illinois we are leading in all the polls and have had the largest crowds,2660,2791
7,"With the support of the people of Illinois and around the country we will Make America Great Again."" Mr",3083,3186
8,Trump has a definitive lead in all national and state polls where most recently he was leading in Illinois by a wide double digit margin,3494,3630
9,Tonight Mr,4051,4061
10,Trump will campaign in Massachusetts before heading to New Hampshire Vermont South Carolina and Iowa later in the week,4482,4600
