,sentence,start,end
0,Donald J,0,8
1,"Trump released the following statement after receiving the formal endorsement of Americas Border Patrol Agents nationwide through their official union the National Border Patrol Council:"" ""I am deeply grateful for this extraordinary and historic endorsement from Americas Border Patrol Agents and especially honored that they would break with their past precedent of not endorsing in presidential primaries in order to endorse my candidacy",531,970
2,This endorsement represents a total rejection of the corrupt politicians who have allowed transnational gangs and cartels to terrorize American communities,1221,1376
3,"""The National Border Patrol Council is the official body representing Americas front-line Border Patrol Agents who sacrifice every day under intolerable political restraints to keep America safe",1749,1943
4,Americas 16500 border patrol agents represented by the NBPC are the first line of defense for our nation,2291,2395
5,The NBPC provides the vital outlet to learn the truth - not the political spin from bureaucrats - about what is really happening on our border,2694,2836
6,"And the NBPC has been the one outlet these agents have to prevent their voice from being drowned out by big money special interests."" As President I will work tirelessly with the NBPC and their rank-and-file agents to secure our border once and for all",3058,3310
7,I will ensure that every rank-and-file officer has the resources tools and support they need to protect this nation and stop the influx of drugs gangs and cartel violence,3543,3713
8,Together we will save thousands of American lives millions of American jobs and billions of American tax dollars,4023,4135
9,"""I am deeply privileged to have the official support of Americas border patrol agents and will never let them down."" This is our chance to make our country safe again and ultimately Make America Great Again."" ",4525,4733
