,sentence,start,end
0,"""Over the past four debates the subject of ISIS and Iran have come up a number of times",0,87
1,These are complex and challenging times and we need a Commander in Chief who knows how to protect America and our allies and advance our interests and values around the world,516,690
2,The stakes are high,1049,1068
3,And we are concerned that Senator Sanders has not thought through these crucial national security issues that can have profound consequences for our security,1420,1577
4,"""His lack of a strategy for defeating ISIS - one of the greatest challenges we face today - is troubling",1883,1987
5,And the limited things he has said on ISIS are also troubling,2319,2380
6,"""For example his call for more Iranian troops in Syria is dangerous and misguided and the opposite of what is needed",2711,2827
7,Supporting xa0Iranian soldiers on Israels doorstep is a grave mistake,3177,3246
8,And while we support de-escalation of Sunni-Shia tensions his argument that Iran and Saudi Arabia - two intense adversaries - should join together in a military coalition is just puzzling,3584,3771
9,Indeed the Iranian government recently failed to stop protesters from ransacking and burning the Saudi embassy in Tehran after which Saudi Arabia cut off diplomatic ties with Iran,4057,4236
10,"""We are all strong supporters of the nuclear diplomacy with Iran",4573,4637
11,Some of us were part of developing the policy that produced the diplomacy over the past several years,4994,5095
12,And we believe that there are areas for further cooperation under the right circumstances,5444,5533
13,"But Senator Sanders call to ""move aggressively"" to normalize relations with Iran - to develop a ""warm"" relationship - breaks with President Obama is out of step with the sober and responsible diplomatic approach that has been working for the United States and if pursued would fail while causing consternation among our allies and partners",5780,6119
14,"""Given these concerns it is important to ask what he would do on other issues - on Russia China our allies nuclear proliferation and so much else",6333,6478
15,We look forward to hearing him address these issues,6799,6850
16,"""We need a Commander in Chief who sees how all of these dynamics fit together - someone who sees the whole chessboard as Hillary Clinton does."" Jeremy B",7164,7316
17,Bash former Chief of Staff to the Director of the CIA; former Chief of Staff to the Secretary of Defense Rand Beers former senior U.S,7582,7715
18,government official Ambassadorxa0Danielxa0Benjamin former U.S,8123,8184
19,Ambassador-at-Large and Coordinator for Counterterrorism at the U.S,8663,8730
20,Department of State Ambassador Nicholas Burns former Under Secretary of State for Political Affairs Derek Chollet former Assistant Secretary of Defense for International Security Affairs Kathleen H,9168,9365
21,Hicks former Principal Deputy Under Secretary of Defense for Policy Lt,9757,9827
22,General Donald Kerrick (Ret.) former Deputy National Security Advisor to the President of the United States James N,10233,10348
23,Miller former Under Secretary of Defense for Policy Ambassador Wendy R,10811,10881
24,"Sherman former Under Secretary of State for Political Affairs Julianne (""Julie"") Smith former Deputy National Security Advisor to the Vice President of the United States ",11387,11556
