,sentence,start,end
0,Real change also means getting rid of the corruption in Washington,0,66
1,As you have heard it was just announced yesterday that the FBI is reopening their investigation into the criminal and illegal conduct of Hillary Clinton,531,683
2,"""This is the biggest political scandal since Watergate and it is everybodys deepest hope that justice at last can be delivered."" Hillary has nobody but herself to blame for her mounting legal troubles",1063,1263
3,Her criminal action was willful deliberate intentional and purposeful,1609,1678
4,Hillary set-up an illegal server for the obvious purpose of shielding her criminal conduct from public disclosure,2075,2188
5,She set-up this illegal server knowing full well that her actions put our national security at risk and put the safety and security of your children at risk,2513,2669
6,To further cover-up her crimes she bleached and deleted 33000 emails after a Congressional Subpoena made 13 phones disappear – some with a hammer lied to Congress under oath lied to the FBI and then two boxes of email evidence went mysteriously missing,2896,3148
7,"She even pretended not to know that the letter ""C"" meant confidential information that was classified",3413,3514
8,"""As the recent release of a memo from one of Bill Clintons closest associates demonstrates the Clintons have turned the government into a scheme for personal profit."" The Clintons even saw the deadly disaster in Haiti as an opportunity to cash-in",3805,4051
9,"""The WikiLeaks revelations have revealed a degree of corruption at the highest levels of our government like nothing weve ever seen before – including a candidate who boasts to donors about having a public position for the voters and a private position for Wall Street."" ""Hillary put the office of Secretary of State up for sale and if she ever got the chance shed put the Oval Office up for sale too."" Hillary should have been convicted long ago",4146,4592
10,That the legal process has been taking this long is incredible,4747,4809
11,"""And now its reported that the Department of Justice is fighting the FBI – thats because the Department of Justice is trying to protect her."" ""97% of Department of Justice employees presidential contributions went to Hillary Clinton."" There are those and I happen to be one of them who think Hillary offered Lorretta Lynch a reappointment as Attorney General",5053,5411
12,Perhaps that was what Bill Clinton was doing in the secret meeting on the tarmac in Arizona,5644,5735
13,He said it was to play golf but he never played and it was over 100 degrees,6039,6114
14,This is what we mean when we call it a rigged system,6407,6459
15,Now the Attorney General is fighting the FBI for doing what was right – but what should have been done many months ago,6754,6872
16,Perhaps through this other investigation they found what may be some of the 33000 missing and deleted emails Hillary tried desperately to destroy even going so far as to use digital bleach,7144,7332
17,The stakes on November 8th could not be higher,7633,7679
18,A vote for Hillary is vote a to surrender our government to public corruption graft and cronyism that threatens the very foundations of our Constitutional system,8014,8175
19,"""What makes us exceptional is that we are a nation of laws and that we are all equal under those laws – Hillarys corruption shreds that foundational principle."" Public Corruption is a grave and profound threat to a Democracy",8430,8654
20,Government corruption spreads outward like a cancer and infects the operations of government itself,8957,9056
21,If the corruption is not removed then the people are not able to have faith in their government,9423,9518
22,It deadens and saps the spirit of civic participation,9889,9942
23,Corruption decays our trust in institutions and our legal system,10327,10391
24,When the outcome is fixed when the system is rigged people lose hope,10761,10829
25,They detach,11224,11235
26,Our society becomes unplugged and unhinged,11654,11696
27,When the powerful can get away with anything because they have the money and the connections to rig the system then the laws lose their moral authority,12029,12180
28,Hillary believes money and power – not truth and justice – should rule the day,12485,12563
29,As FDR once said government by organized money is just as dangerous as government by organized mob,12884,12982
30,This is what we often see in Third World countries – where the governments are often run by a small handful of corrupt people for their personal enrichment,13279,13434
31,Corruption is corrosive to every institution of government and it must be stopped,13746,13827
32,Restoring honesty to our government and the rule of law to our society will be my highest priority as President,14157,14268
33,We must save the America,14630,14654
34,That is why My Contract With The American Voter begins with a plan to end government corruption and take our country back from the special interests,14990,15138
35,I want the entire corrupt Washington establishment to hear and to heed the words I am about to say,15469,15567
36,When we win on November 8th We Are Going To Washington D.C,15969,16027
37,And We Are Going To DRAIN THE SWAMP,16429,16464
