,sentence,start,end
0,"""It is so great to be back in Florida my second home",0,52
1,Let me also thank our good and dear friend Chairman Jeff Miller for joining us here today,460,549
2,"Weve worked closely together on developing much-needed reforms to take care of our Veterans."" Let me open by making this very important declaration: I love this state I love the people of this state and together we are going to have an amazing victory in November",892,1155
3,Decades of political failure and corruption will come swiftly to an end and a New American Future will begin,1389,1497
4,The citizens of this country will be in charge once more,1832,1888
5,The special interests have had their day,2266,2306
6,That chapter in our history is closing,2687,2725
7,The history book is closing on the failed politicians of yesterday,3087,3153
8,A new chapter is beginning and this chapter will be authored by you the American people,3484,3571
9,This will be your time,3918,3940
10,You will be running the show,4298,4326
11,Not the donors not the insiders not the media executives,4662,4718
12,Once more we will have a government of by and for the people,5036,5096
13,All we have to do is cut our ties to the bitter failures of the past and anything becomes possible,5395,5493
14,Change is coming,5831,5847
15,"""All the people whove rigged the system for their own personal benefit are trying to stop our change campaign because they know that their gravy train has reached its last stop."" ""Its your turn now",6155,6352
16,"This is your time."" The fact that so many encrusted old political insiders oppose our campaign is the best proof you will ever need that we are fighting for real change – not partisan change",6579,6769
17,"""We are fighting for all Americans – Democrats Republicans Independents Conservatives Liberals – whove been failed by this corrupt system",7062,7199
18,"Were fighting for everyone who doesnt have a voice."" ""Were also fighting for every region of this country",7535,7640
19,For every part of Florida and every part of America,8007,8058
20,"From Pensacola to Pittsburgh from Baltimore to Baton Rouge we are fighting for every last city and every last person in this country."" Hillary Clinton is the candidate of the past",8364,8543
21,Ours is the campaign of the future,8858,8892
22,In this future we are going to pursue new trade policies that put American workers first – and that keep jobs in our country,9205,9329
23,All the people who got NAFTA wrong and China wrong and who are trying to give us the Trans-Pacific Partnership – are the same failed voices pushing for Hillary Clinton,9580,9747
24,"""Our trade deficit with the world is now nearly $800 billion dollars",10054,10122
25,Weve lost one-third of our manufacturing jobs since Bill and Hillary Clinton gave us NAFTA,10483,10573
26,China is manipulating its currency and taking our jobs,10940,10994
27,We are going to stop companies from leaving our country and keep those jobs right here in America,11347,11444
28,"The era of economic surrender is over."" ""We will also have a very strong border that stops people and drugs from illegally pouring into our country -- and were going to build a border wall and Mexico will pay for it."" In this new future we are going to raise your wages",11662,11931
29,Household incomes are over $4000 less today than they were in the year 2000,12141,12216
30,"""My tax trade energy immigration and regulation reforms will get your salaries and wages up",12555,12646
31,Hillary Clinton will continue the failed economic agenda that has only made her friends rich at your personal expense,12987,13104
32,"Many people in this room tonight and across this country havent seen a real wage increase in 18 years."" The people getting rich off of our rigged system have sent tens of millions of dollars to Hillary Clinton – much of it to her personal bank account – to keep you from having the future you deserve",13310,13610
33,But on November 8th you get to vote for the future you want,13813,13872
34,In this future we are going to pursue new education policies,14185,14245
35,At the center of my plan is school choice,14577,14618
36,I want every disadvantaged child in America to be able to attend the public or private school that is right for them and their family,14917,15050
37,"""In this future we are also going to keep our country out of the endless wars that have defined Hillary Clintons career."" To keep our country out of war we will remember those three very famous words: Peace Through Strength",15272,15495
38,That means rebuilding our badly depleted military,15792,15841
