,sentence,start,end
0,"""Sunday Representatives Debbie Dingell D-MI and Tim Ryan D-OH released statements criticizing Senator Sanders for voting with Tea Party Republicans last year to kill the Export-Import bank which plays a vital role in supporting American manufacturing jobs in each of their home states",0,284
1,"Nationally the Export-Import Bank has supported over a million private-sector jobs in recent years without costing taxpayers a dime and nearly 90% of the banks transactions directly support American small businesses."" ""When given the chance to stand on the side of manufacturing jobs Senator Sanders has showed time and again that its not just a priority",566,920
2,Last year Senator Sanders was the only Democrat in the Senate to vote with ultra-conservative Republicans to kill the Export-Import Bank a program critical to Michigans manufacturing sector,1097,1286
3,Hillary Clinton has a clear record in support of American manufacturing and unlike Senator Sanders has outlined a plan for how she will strengthen manufacturing and make the U.S,1583,1760
4,"the location for the next generation of good paying jobs""  ""Im supporting Hillary Clinton for President because she has always shown leadership for the manufacturing industry that is so critical in the state of Ohio",2037,2251
5,Senator Sanders on the other hand stood with the most extreme right-wing members of Congress in their efforts to kill the Export-Import Bank which provides critical support to 350 businesses in Ohio and over a million jobs nationwide,2474,2707
6,General Electric even decided against moving its headquarters to Cincinnati last year citing opposition from some Republican officials to the Ex-Im Bank as the reason,2996,3162
7,Every Congressional Democrat in Ohio voted to reauthorize the Ex-Im Bank,3598,3670
8,Senator Sanders voted to kill it,4133,4165
9,"That is not the type of leadership we need to move Ohio forward""  ",4628,4692
