,sentence,start,end
0,Today the Donald J,0,18
1,Trump for President Campaign has announced additional members to its Tidewater Leadership Team consisting of current and former elected officials and party leaders,477,640
2,Mr,1099,1101
3,"Trump said ""It is such an honor to have the support of so many grassroots leaders across Virginia where we are leading in the polls by substantial margins",1535,1689
4,"The people of Virginia are ready to Make America Great Again!"" New members of the leadership team include Chesapeake County School Board Chairman Christie New Craig Accomack County Supervisor Wanda Thornton Former Northampton GOP Chair John Salm Newport News GOP Chair Cliff Dunn Former Hampton City Councilman Chris Stuart and Virginia GOP State Central Committee Members Cheryl Hargrove and Roger Miles",1880,2284
5,In addition to the newest additions to the Tidewater team the Trump campaign is proud to announce its Valley Leadership team comprising of local elected officials business leaders and party leaders,2470,2667
6,The addition to the leadership team builds momentum in Roanoke area and Shenandoah Valley,3013,3102
7,Former Republican Party of Virginia Finance Chairman Walter Curt of Harrisonburg will serve as Chairman,3512,3615
8,Amherst County Board of Supervisors Chairwoman Claudia Tucker will serve as co-chair,4035,4119
9,"""Other members of the leadership team include Augusta County businessman Charlie OBaugh Shenandoah Tea Party Chairman Ed Long Sixth Congressional District GOP Vice Chair Chris Green and Botetourt County Supervisor Billy Martin."" Also today Mr",4476,4718
10,Trump spoke to thousands of people at Liberty University in Lynchburg Virginia where he held a campaign rally for students and supporters,5209,5346
