,sentence,start,end
0,Today Donald J,0,14
1,Trump announced Senator Jeff Sessions who has advised the GOP frontrunner on issues such as trade and immigration and endorsed Mr,453,582
2,Trump on Sunday in Alabama will serve as Chairman of Mr,1021,1076
3,Trumps National Security Advisory Committee,1515,1558
4,"Senator Sessions has been on the Armed Services Committee for almost 20 years and is Chairman of the Strategic Forces Subcommittee."" Mr",1908,2043
5,"Trump stated ""It is an honor to have Jeff as a member of the team",2358,2423
6,"I have such great respect for him and I look forward to working with him on the issues most important to Americans."" Senator Sessions added ""I am grateful for the opportunity to recommend and facilitate discussions among exceptional and experienced American military and diplomatic leaders to share insight and advice with Donald Trump regardless of their political views",2621,2992
7,Mr,3302,3304
8,Trump and the American people know our country needs a clear-eyed foreign policy rooted in the national interest,3724,3836
9,We need to understand the limits of our ability to intervene successfully in other nations,4180,4270
10,It is time for a healthy dose of foreign policy realism,4651,4706
11,In the Middle East this means forming partnerships based on shared interests not merely overthrowing regimes in the dangerous attempt to plant democracies,5060,5214
12,We must also combat the refugee crisis by creating regional safe zones rather than depopulating the region by migration,5562,5681
13,The only path to long-term stability and resolution of this humanitarian crisis for the United States and our European allies is to work towards the safe return of migrants to their home countries as Mr,5978,6180
14,Trump has noted,6539,6554
15,"This strategy will also protect our own national security."" Sessions continued ""A national-interest foreign policy combined with a military second to none stands in contrast to interventionist ideas that could enmesh us further in the regions chaos",6898,7146
16,After over a decade of war and conflict this country has a host of smart experienced and proven leaders,7440,7543
17,That wisdom must be sought,7892,7918
18,These meetings will be the beginning of a process that Mr,8291,8348
19,"Trump has called for and which he believes must result in a clear and realistic bipartisan global strategy that will guide our nation for years to come."" Mr",8659,8815
20,Trump will continue to announce members of his National Security Advisory Committee and other advisors on key issues over the next few weeks,9246,9386
