,sentence,start,end
0, Madam Secretary thank you so much for this time,0,47
1, My pleasure to see you again,429,457
2,""" So were very close to voting in New Hampshire.""  We are",839,895
3,""" The polls show Senator Sanders still significantly ahead",1277,1335
4,"If you do not win in New Hampshire does that imply that theres going to be — or in your mind does that mean you need to change course at all? Will that mean your campaign going ahead will be different than leading into this?"" "" You know Rachel Ive always had a different view on this than I think maybe some others have",1566,1885
5,I always knew Iowa was going to be really really hard,2082,2135
6,"And we won narrow but a win is a win.""  One quarter of one percent",2438,2503
7,""" Yes Im always happy about that",2813,2845
8,I always knew that Senator Sanders been in public life next door for 25 years hes on the Congress for that long he had a tremendous amount of familiarity and a sense of really belonging in the area,3103,3300
9,So I always knew this was going to be hard,3547,3589
10,I feel good about the campaign we waged here,3911,3955
11,I think we have an uphill battle,4301,4333
12,"Were going to battle it until the last votes are counted and were going to turn around and head off for the next contest.""  Politico.com just this afternoon just published something that says that theres changes in the works",4616,4839
13,Theres always these sort of campaign gossip stories,5130,5181
14,But they are say — they say theyre citing a half dozen people with direct knowledge of the situation,5554,5654
15,"Their lead is ""Hillary and Bill Clinton are so dissatisfied with their campaigns messaging and digital operations theyre considering staffing and strategy changes after whats expected to be a loss in Tuesdays primary."" Are you planning some sort of shake up like that? "" Yes somebody showed that to me",5918,6219
16,I have no idea what they are talking about or who they are talking to,6435,6504
17,Were going to take stock,6832,6856
18,But its going to be the campaign Ive got,7186,7226
19,Im confident in the people I have,7563,7596
20,Im very committed to them,7950,7975
21,Theyre committed to doing the best we can,8332,8373
22,Were going to take stock,8735,8759
23,What works what doesnt work? Were moving into a different phase of the campaign,9108,9187
24,Were moving into different geographic areas,9522,9565
25,"So of course it would be malpractice not to say OK what worked? What can we do better? What can we do new and different that we have to pull out?"" "" President Clinton was here with you today as was your daughter",9834,10045
26,President Clinton did his own event yesterday which made some headlines when he had some very harsh criticism for Senator Sanders campaign essentially calling Senator Sanders and his campaign hypocritical dishonest calling out sexism from Senator Sanders supporters,10232,10497
27,Although Senator Sanders have called out his on supporters for sexism and said he will not tolerate it,10805,10907
28,"Is President Clinton going further than you would in those criticisms for the Sanders campaign or do you also share the view that hes been dishonest and hypocritical?"" "" Well heres my view and I think Bill was really defending my supporters because we know a lot of them are being harassed online theyre being harassed at our events",11116,11448
29,They are being really treated badly,11687,11722
30,Look Im all for people who are for my opponent,12074,12120
31,I think its great to bring in as many new young people as possible,12442,12508
32,I want people treated respectfully,12848,12882
33,I think thats part of what he was talking about,13235,13282
34,I have been concerned about tone of his campaign over the last weeks,13608,13676
35,We were running I thought a good campaign on issues,14014,14065
36,Were getting to the point we have to draw contrasts,14394,14445
37,Thats natural,14792,14805
38,You know I have a health care approach,15154,15192
39,He has a health care approach,15522,15551
40,We may have the same goal but we have a different view about how we get there,15868,15945
41,That is fair game as it should be,16244,16277
42,But there has been a constant undercurrent that I said in the debate last week was a kind of attack by innuendo insinuation kind of artful smears,16559,16704
43,And I just said enough is enough,16986,17018
