,sentence,start,end
0,"""Today the Trump Campaign is pleased to announce the expansion of the communications team",0,89
1,These additions look to further educate voters on Hillarys liberal track record of deception and effectively communicate the campaigns message – that Mr,562,714
2,"Trump is the only candidate who will Make America Great Again."" ""The campaign has enlisted the services of Bryan Lanza who will serve as the Deputy Communications Director for Surrogates",1091,1277
3,Mr,1643,1645
4,Lanzas focus will be on organizing and mobilizing Trump supporters in an effective way that allows Mr,2037,2138
5,Trumps America First message to resonate with voters,2506,2558
6,Mr,2990,2992
7,Lanza has served as a Chief of Staff for members of the California State Assembly and Senate,3393,3485
8,Most recently Mr,3885,3901
9,"Lanza served as Communications Director of the non-profit Citizens United."" ""Mr",4307,4386
10,Lanza will be the campaigns point of contact for campaign surrogates and the media should contact him directly with any requests,4746,4874
11,"His email is "" ",5252,5266
12,"""The campaign has also brought aboard Steven Cheung who will serve as the campaigns Director of Rapid Response",5633,5743
13,Mr,6128,6130
14,Cheungs focus will be on keeping the campaign up to date on breaking news and pushing back on false or unbalanced reporting,6499,6622
15,Cheung has worked in communications on several Senate and gubernatorial campaigns as well as the 2008 McCain-Palin presidential campaign,6962,7098
16,Mr,7526,7528
17,"Cheung most recently served as the Director of Communications and Public Affairs for the Ultimate Fighting Championship."" ""These additions to the campaign will be critical to spreading Mr",7942,8129
18,Trumps message and defeating Hillary Clinton in November,8624,8680
19,"The Trump Campaign will continue to build out the communications team as we head toward November 8th."" ",9190,9292
