,sentence,start,end
0,""" The breaking news this hour",0,29
1,Its now official,473,489
2,Hillary Clinton has been declared the winner of the Iowa caucuses,933,998
3,She beat Bernie Sanders by a razor-thin margin just 0.2 of a percentage point,1442,1519
4,Her campaign claimed victory overnight but the Iowa Democratic Party has just issued the final results,1938,2040
5,They say Hillary Clinton is the winner of the Iowa caucuses,2407,2466
6,And Secretary Clinton is joining us now from Nashua New Hampshire,2846,2911
7,Madam Secretary thanks very much for joining us,3282,3329
8,"Whats your reaction to the official results now declaring you the winner of the Iowa caucuses?""  I am so thrilled Wolf",3660,3777
9,I feel really good and very grateful to the team I had on the ground to the tens of thousands of Iowans who volunteered knocked on doors came out and caucused last night,4033,4202
10,And I could feel the energy building in the weeks leading up to the caucus,4460,4534
11,I was out there making my case about what I want to do and what I think our country must do to get real results with more jobs rising incomes build on the Affordable Care Act deal with climate change clean energy defend our rights all the things I feel passionate about,4735,5004
12,And I could just watch and in fact in that last week I had so many people come up to me and say that they had decided to support me and it could not have been better,5168,5333
13,It was a great great night,5580,5606
14, You said last night you breathed a big sigh of relief your words — a big sigh of relief,5890,5977
15,"What did you mean by that? "" Well as you recall my luck was not that good last time around",6235,6325
16,And it was wonderful to win the caucus and to have that experience of all the hard work the grassroots organizing pay off the way it did,6573,6709
17,Now were here in New Hampshire and we are going to have a contest of ideas,6981,7055
18,Im looking forward to the forum tomorrow night on CNN and then a debate Thursday night here in New Hampshire because I think that Democratic voters and other Americans want to know what are the principal differences between me and my friend and opponent Senator Sanders,7290,7559
19,And I want to get that information out there,7839,7883
20,I think its important people understand that good ideas are one thing but you got to know how to implement,8211,8317
21,Youve got to have a record of getting results,8631,8676
22,"And Im taking my ideas and my record to the people of New Hampshire this week."" "" The Sanders campaign says they wont have this debate Thursday night with you unless you agree to a subsequent debate before the New York primary in New York City",8924,9167
23,"Are you willing to agree to that?"" "" Well you know Wolf this is really hard to follow because when we said we would do the debate they came back with conditions",9348,9508
24,We met the conditions,9805,9826
25,Then they said they want different conditions,10185,10230
26,And weve tried to be very accommodating but you know we have agreed with everything that they have asked us to do,10553,10666
27,And I sure hope — were in Bernie Sanders backyard here in New Hampshire,10969,11040
28,"I sure hope he intends to show up in his neighboring state and let the people of New Hampshire see us both on the debate stage.""  Well just to press the point the debate in New York City that they want are you accepting that? "" No",11261,11490
29,Weve accepted all of their conditions,11732,11769
30,We did that last week,12131,12152
31,And they keep trying to add new conditions which you know raises questions about how ready or willing they are to debate here in New Hampshire,12467,12609
32,We met their conditions,12924,12947
33,We agreed to more debates something that I wanted to do because I think its great to debate and were ready,13275,13381
34,"Im going to be there Thursday night."" "" All right",13687,13736
35,Lets move on,14082,14094
36,The senators campaign — they want to do not necessarily a recount but they want to check the voting in Iowa,14387,14494
37,"Is that OK with you?"" "" You know look I — they — I can say that I believe the Democratic Party of Iowa ran a good caucus from everything that our people told me",14713,14873
38,There was an enormous turnout which everybody said would tremendously favor Senator Sanders,15153,15244
39,If there are legitimate issues both sides I dont think the Democratic Party has any problems with that,15586,15688
40,"But from everything we have learned and know I won and Im very proud of that.""  Back in 2008 as you well remember you lost Iowa but then you came back to win New Hampshire",15944,16114
41,This time you won Iowa,16385,16407
42,"Can you win New Hampshire one week from today? "" Well I think its certainly what Im aiming for",16724,16818
43,I care a lot about this state,17133,17162
44,I view it as being the first-in-the-nation primary for a reason,17511,17574
45,I know that they tend to favor their neighbors,17914,17960
46,Thats the pattern the history of the primary,18313,18357
47,And Senator Sanders is a neighbor,18724,18757
48,But I think we will have a good contest talking about what results we can produce what our records have been both in domestic policy foreign policy national security and I think the people of New Hampshire will get a chance to really evaluate both of us,19026,19279
49,"And I feel good about my prospects."" "" You described yourself in your speech last night as a progressive that gets things done",19502,19628
