,sentence,start,end
0,Today Donald J,0,14
1,Trump received Sheriff Joe Arpaios endorsement,441,487
2,The Sheriff is well known for his hard-line stance on illegal immigration,914,987
3,Sheriff Arpaio joined Mr,1414,1438
4,"Trump at his rally in Marshalltown Iowa to voice his support less than one week before the Iowa Caucus."" Mr",1865,1972
5,"Trump stated ""I have great respect for Sheriff Arpaio",2322,2375
6,We must restore law and order on the border and respect the men and women of our police forces,2708,2802
7,"I thank him for his support of my policies and candidacy for President."" Sheriff Arpaio added ""Donald Trump is a leader",3102,3221
8,He produces results and is ready to get tough in order to protect American jobs and families,3526,3618
9,I have fought on the front lines to prevent illegal immigration,3963,4026
10,I know Donald Trump will stand with me and countless Americans to secure our border,4363,4446
11,"I am proud to support him as the best candidate for President of the United States of America."" Mr",4777,4875
12,Trump has visited Arizona twice since announcing his campaign in June and Sheriff Arpaio has attended both rallies in Phoenix and Mesa where the Trump campaign hosted record crowds,5170,5350
13,Mr,5722,5724
14,Trump has a strong state operation in place and has been endorsed by several community leaders including Arizona State Treasurer Jeff DeWit,6107,6246
15,"""Mr",6621,6624
16,Trump continues to lead all national and state polls with a significant lead in Arizona where the most recent poll out last week shows him with 38% support,6976,7131
17,He maintains a substantial lead in Iowa with great momentum heading into Mondays Caucus,7481,7568
18,Mr,8023,8025
19,"Trump will be in South Carolina on Wednesday before returning to Iowa on Thursday for the seventh Republican Presidential debate in Des Moines Iowa."" ",8480,8629
