,sentence,start,end
0,Everyone running for president should be talking about this,0,59
1,Hillary Clinton has always fought to fix the problems that keep families up at night—and for millions of families autism is a major issue in their lives,484,636
2,"""Thats why Hillary just announced a broad plan to help people of all ages and their families who are impacted by autism",993,1112
3,""" ""Heres what it will do:"" ""nDiagnosis is the first step in helping people with autism",1412,1498
4,Yet studies show that in many children especially girls and African American and Latino children early signs of autism go overlooked for months or even years,1809,1966
5,"Hillarys plan will boost early screening rates so that kids can get diagnosed and receive the services that will make a difference in their lives."" ""nWhen autism services arent covered by insurance many families cant afford them",2226,2454
6,"The Affordable Care Act has gone a long way to help those with autism get the support they need—by making it illegal for insurance companies to deny coverage for people with pre-existing conditions ending lifetime dollar limits on benefits and allowing young adults to remain on their parents coverage until the age of 26."" nWe need to invest in more research to better understand autism create better diagnostic tools and improve treatments and services for people on the autism spectrum",2534,3022
7,Hillary will significantly increase funding for autism-related research and call for the first-ever study of the prevalence of adult autism,3173,3312
8,"""nPeople with autism are unemployed at a much higher rate: More than half of youth with autism are not getting a job or pursuing higher education in the two years after they graduate high school",3602,3796
9,"Hillarys plan will work to close the employment gap by launching a new Autism Works Initiative that will include a post-graduation transition plan for every student with autism along with a public-private partnership to connect people with autism to employment opportunities."" ",4098,4374
