,sentence,start,end
0,"""Millions of Americans with severe allergies rely on their EpiPens",0,66
1,When an allergic reaction leads to anaphylactic shock a shot of epinephrine can literally be the difference between life and death,519,649
2,But now just as parents are about to send kids with severe food and insect allergies back to school the EpiPens manufacturer is hiking its price to an all-time high,1043,1207
3,"""Over the last several years Mylan Pharmaceuticals has increased the price of EpiPens by more than 400%",1499,1602
4,Theyre now charging up to $600 for a two-EpiPen set that must be replaced every 12-18 months,1962,2054
5,This both increases out-of-pocket costs for families and first responders and contributes to higher premiums for all Americans and their employers,2392,2538
6,"""Thats outrageous – and its just the latest troubling example of a company taking advantage of its consumers",2897,3005
7,I believe that our pharmaceutical and biotech industries can be an incredible source of American innovation giving us revolutionary treatments for debilitating diseases,3362,3530
8,But its wrong when drug companies put profits ahead of patients raising prices without justifying the value behind them,3893,4012
9,"""Thats why Ive put forward axa0 ""xa0to address exorbitant drug price hikes like these",4397,4482
10,As part of my plan Ive made clear that pharmaceutical manufacturers should be required to explain significant price increases and prove that any additional costs are linked to additional patient benefits and better value,4805,5025
11,"Since there is no apparent justification in this case I am calling on Mylan to immediately reduce the price of EpiPens."" ""In addition when it comes to treatments like delivering epinephrine that have been available for decades my plan encourages the production of alternative products",5232,5516
12,"Thats how we can harness the power of competition to keep drug prices at a level that all Americans can afford."" ",5936,6048
