,sentence,start,end
0,"""As the High Holiday celebrations begin I send my best wishes for axa0 – a happy and healthy new year – to Jewish families and communities in the United States Israel and around the world",0,187
1,"""Rosh Hashanah and Yom Kippur are a time for prayer and contemplation",548,617
2,They are a time to recall our past year take a hard look at what weve done and what weve said and ask how we can do better in the year ahead,872,1012
3,They challenge us to do the difficult work of self-reflection—key to becoming a better family member friend and neighbor,1272,1392
4,"""Our country must do this work as a national community too",1730,1788
5,All Americans should question whether were doing all that we can to work onxa0 —repairing the world,2140,2239
6,That means asking ourselves if we could be doing more to help those who are hungry or in need of shelter,2533,2637
7,If we could be doing more to make sure everyone has access to health care,2921,2994
8,And if we could be doing more to build a brighter future where no one is left out or left behind,3274,3370
9,"""Its critical to ask these tough questions",3682,3724
10,And then at the conclusion of the High Holidays its even more important to get to work and answer them,4044,4146
11,"""Many of the complex challenges we face as a nation are daunting—but luckily we dont have to face them alone",4437,4545
12,We are stronger together and if we commit to work in good faith with one another surely we can build a better world for future generations,4821,4959
13,"""This years High Holidays are saddened by the passing of President Shimon Peres a man whose lifes work exemplifies the notion ofxa0 ",5238,5369
14,Let us honor his legacy by continuing to strengthen the bonds between the American and Israeli people and by never wavering in our quest for peace,5743,5889
15,"""May the coming year be filled with sweetness and joy."" ",6319,6374
