,sentence,start,end
0,Friends delegates and fellow Americans: I humbly and gratefully accept your nomination for the presidency of the United States,0,126
1,U.S.A.! U.S.A.! U.S.A.! Together we will lead our party back to the White House and we will lead our country back to safety prosperity and peace,544,688
2,We will be a country of generosity and warmth,1019,1064
3,But we will also be a country of law and order,1396,1442
4,Our Convention occurs at a moment of crisis for our nation,1772,1830
5,The attacks on our police and the terrorism in our cities threaten our very way of life,2140,2227
6,Any politician who does not grasp this danger is not fit to lead our country,2549,2625
7,Americans watching this address tonight have seen the recent images of violence in our streets and the chaos in our communities,2953,3080
8,Many have witnessed this violence personally some have even been its victims,3411,3487
9,I have a message for all of you: the crime and violence that today afflicts our nation will soon – and I mean very soon – come to an end,3769,3905
10,Beginning on January 20th of 2017 safety will be restored,4173,4230
11,The most basic duty of government is to defend the lives of its own citizens,4547,4623
12,Any government that fails to do so is a government unworthy to lead,4943,5010
13,It is finally time for a straightforward assessment of the state of our nation,5347,5425
14,I will present the facts plainly and honestly,5776,5821
15,We cannot afford to be so politically correct anymore,6196,6249
16,So if you want to hear the corporate spin the carefully-crafted lies and the media myths the Democrats are holding their convention next week,6593,6734
17,Go there,7082,7090
18,But here at our convention there will be no lies,7472,7520
19,We will honor the American people with the truth and nothing else,7895,7960
20,"These are the facts: ""Decades of progress made in bringing down crime are now being reversed by this Administrations rollback of criminal enforcement."" ""Homicides last year increased by 17 percent in Americas fifty largest cities",8267,8496
21,Thats the largest increase in 25 years,8829,8867
22,In our nations capital killings have risen by 50 percent,9272,9328
23,"They are up nearly 60 percent in nearby Baltimore."" ""In the Presidents hometown of Chicago more than 2000 people have been the victim of shootings this year alone",9650,9812
24,"And almost 4000 have been killed in the Chicago area since he took office."" The number of police officers killed in the line of duty has risen by almost 50 percent compared to this point last year",10049,10245
25,Nearly 180000 illegal immigrants with criminal records ordered deported from our country are tonight roaming free to threaten peaceful citizens,10525,10668
26,The number of new illegal immigrant families who have crossed the border so far this year already exceeds the entire total from 2015,11003,11135
27,They are being released by the tens of thousands into our communities with no regard for the impact on public safety or resources,11450,11579
28,One such border-crosser was released and made his way to Nebraska,11904,11969
29,There he ended the life of an innocent young girl named Sarah Root,12323,12389
30,She was 21 years-old and was killed the day after graduating from college with a 4.0 Grade Point Average,12717,12821
31,Number one in her class,13152,13175
32,Her killer was then released a second time and he is now a fugitive from the law,13529,13609
33,"""Ive met Sarahs beautiful family",13970,14002
34,But to this Administration their amazing daughter was just one more American life that wasnt worth protecting,14352,14461
35,No more,14816,14823
36,One more child to sacrifice on the order and on the altar of open borders,15187,15260
37,"What about our economy?"" Again I will tell you the plain facts that have been edited out of your nightly news and your morning newspaper: Nearly Four in 10 African-American children are living in poverty while 58% of African American youth are now not employed",15508,15768
38,2 million more Latinos are in poverty today than when President Obama took his oath of office less than eight years ago,16017,16136
39,Another 14 million people have left the workforce entirely,16475,16533
40,"""Household incomes are down more than $4000 since the year 2000",16906,16969
41,Our trade deficit in goods -- think of this -- our trade deficit reached nearly $800 billion last year alone,17303,17411
42,"Were going to fix that."" The budget is no better",17740,17788
43,President Obama has doubled our national debt to more than $19 trillion and growing,18115,18198
44,And yet what do we have to show for it? Our roads and bridges are falling apart our airports are Third World condition and forty-three million Americans are on food stamps,18486,18657
45,Now let us consider the state of affairs abroad,18971,19018
46,Not only have our citizens endured domestic disaster but they have lived through one international humiliation after another,19396,19520
47,One after another,19909,19926
48,We all remember the images of our sailors being forced to their knees by their Iranian captors at gunpoint,20298,20404
49,This was just prior to the signing of the Iran deal which gave back to Iran $150 billion and gave us absoltely nothing – it will go down in history as one of the worst deals ever negotiated,20646,20835
50,Another humiliation came when president Obama drew a red line in Syria – and the whole world knew it meant absolutely nothing,21066,21191
51,"""In Libya our consulate – the symbol of American prestige around the globe – was brought down in flames",21488,21591
52,"America is far less safe – and the world is far less stable – than when Obama made the decision to put Hillary Clinton in charge of Americas foreign policy."" ""Lets defeat her in November OK."" ""I am certain it is a decision President Obama truly regrets",21811,22063
53,Her bad instincts and her bad judgment – something pointed out by Bernie Sanders – are what caused so many of the disasters unfolding today,22295,22434
54,"Lets review the record."" In 2009 pre-Hillary ISIS was not even on the map.Libya was stable",22741,22831
55,Egypt was peaceful,23208,23226
56,Iraq was seeing a big big reduction in violence,23617,23664
57,Iran was being choked by sanctions,24042,24076
58,Syria was somewhat under control,24461,24493
59,After four years of Hillary Clinton what do we have? ISIS has spread across the region and the world,24838,24938
60,Libya is in ruins and our Ambassador and his staff were left helpless to die at the hands of savage killers,25238,25345
61,Egypt was turned over to the radical Muslim brotherhood forcing the military to retake control,25653,25747
62,Iraq is in chaos,26098,26114
63,Iran is on the path to nuclear weapons,26480,26518
64,Syria is engulfed in a civil war and a refugee crisis now threatens the West,26868,26944
65,After fifteen years of wars in the Middle East after trillions of dollars spent and thousands of lives lost the situation is worse than it has ever been before,27226,27385
66,This is the legacy of Hillary Clinton: death destruction terrorism and weakness,27700,27779
67,"""But Hillary Clintons legacy does not have to be Americas legacy",28141,28205
68,The problems we face now – poverty and violence at home war and destruction abroad – will last only as long as we continue relying on the same politicians who created them in the first place,28504,28694
69,A change in leadership is required to produce a change in outcomes,28961,29027
