,sentence,start,end
0,New York NY (February 29th 2016) — Today Kansas Secretary of State Kris Kobach announced that he is endorsing Donald J,0,118
1,Trump for the office of President of the United States,561,615
2,"""In addition to his duties as Secretary of State Kobach has been one of the nations most prominent advocates of stronger enforcement of immigration laws",1025,1177
3,He served at the U.S,1540,1560
4,Department of Justice as Attorney General John Ashcrofts chief adviser on immigration law and border security during 2001-03,1969,2093
5,In that capacity he designed and implemented the National Security Entry-Exit Registration System (NSEERS) which was used to monitor the activities of high-risk aliens in the United States after 9-11,2426,2625
6,Later he co-authored Arizonas illegal immigration laws of 2007 and 2010,2982,3053
7,He has helped numerous other states draft state-level laws to reduce illegal immigration,3467,3555
8,Most notable were Missouris omnibus immigration act of 2008 and Alabamas omnibus immigration act of 2011,3938,4042
9,"Since 2012 he has represented in court ICE agents who sued the Obama Administration in an effort to stop Obamas executive amnesty of 2012."" ""I am pleased to announce my support for Mr",4349,4532
10,"Trump."" said Secretary of State Kris Kobach",4857,4900
11,"""For me the most important issue in the Republican presidential contest is immigration and its effect on our national security",5266,5392
12,On that issue Mr,5758,5774
13,Trump stands head and shoulders above the other candidates,6173,6231
14,He has made it clear that ramping up the enforcement of our immigration laws will be his top priority,6595,6696
15,"And he has forcefully rejected the notion of giving amnesty to illegal aliens living in the United States."" ""Now more than ever America needs Mr",7012,7156
16,Trumps aggressive approach to the problem of illegal immigration,7513,7577
17,Our porous border represents a huge national security threat and our refugee system has been abused by terrorists in the past and is likely to be abused by ISIS terrorists today,7910,8087
18,"Moreover there are too many Americans who are out of work because of illegal immigration or who are working in jobs where the wages are depressed because of illegal immigration."" ""Finally on the subject of building the wall on our southern border Mr",8295,8544
19,Trump is correct when he says that the United States has the ability to compel Mexico to pay for it,8789,8888
20,As I have discussed with Mr,9222,9249
21,Trump the PATRIOT Act contains a provision that the United States can and should use as leverage with the Government of Mexico,9565,9691
22,We have the ability to shut down the flow of remittances to Mexico from illegal aliens working in the United States,9985,10100
23,"Mexico will have to make a choice: either make a single payment of $5-10 billion to the United States to pay for the wall or lose most of the $23 billion in remittances that Mexico receives every year from its nationals working in the United States."" ",10398,10648
