,sentence,start,end
0,"""Donald Trump recently discovered a new love for Americas veterans promising that a Trump administration will treat them really really well",0,139
1,Yet after a publicity stunt earlier this year when he ditched a GOP debate to hold an event on behalf of veterans his campaign  more than half of the $6 million dollars it allegedly raised,551,738
2,They  where that money has gone,1016,1046
3,And worse this is part of a long pattern of the real Donald J,1381,1442
4,Trump who for over a decade tried to get disabled veterans legally operating as street vendors thrown off of Fifth Avenue in New York City,1739,1877
5,"He  that these Americans who were simply trying to earn a living in the country they gave so much to defend were clogging and seriously downgrading the area."" ""And yet even as Donald Trump denigrates our nations current veterans hes putting our future veterans at risk with a risky and incoherent foreign policy",2072,2382
6,  and  national security professionals agree that a Trump administration would make America dangerously less safe while reducing its standing and influence in the world,2617,2782
7,His embrace of both military adventurism and isolationism and his support of the use of torture will not only recklessly place our troops in harms way but will dramatically increase the risk to our service members serving in operations overseas,3047,3291
8,Trumps policies are detrimental to the young men and women who volunteer to serve this country from the moment they join the armed services to the end of their career civilian or military,3527,3714
9,"He cant be trusted by our veterans or anyone else."" ""Its time for Donald Trump to stop using vets as political props donate the rest of the money he raised and build a real understanding of the needs and concerns of the men and women who have served America."" Former Senator Max Cleland Captain U.S",3883,4181
10,Army 1965-1968 Congressman Ruben Gallego Corporal U.S,4446,4499
11,Marine Corps Reserves 2000-2006 Congressman Seth Moulton Captain U.S,4958,5026
12,Marine Corps 2001-2008 State Senator Pat Spearman Lt,5480,5532
13,Colonel U.S,6019,6030
14,Army 1977-2007 State Assemblyman Elliot Anderson Sergeant U.S,6532,6593
15,Marine Corps 2001-2005 State Representative Hank Naughton U.S,7074,7135
16,Army Reserves Seamus P,7616,7638
17,Ahern Sergeant U.S,8136,8154
18,Marine Corps Reserves 2000-2006 Lee Beaulac Sergeant U.S,8634,8690
19,Army 1966-1970 Patrick Bellon Specialist U.S,9150,9194
20,Army 2002-2005 Charlie Brown Lt,9665,9696
21,Colonel U.S,10174,10185
22,Air Force 1972-1998 William Bunch Staff Sergeant U.S,10647,10699
23,Air Force 1982-1988 Tahlia Burton Staff Sergeant U.S,11134,11186
24,Air Force 2008-2013 Laura Cabrera Petty Officer 1st Class U.S,11615,11676
25,Navy 1998-2006 Robert Cain Staff Sergeant U.S,12099,12144
26,Air Force 2001-2007 Virgel xa0Cain Petty Officer 2nd Class U.S,12580,12642
27,Navy 1963-1968 Jason Cain Sergeant First Class U.S,13072,13122
28,Army 2000-2010 Jane Campbell Captain U.S,13571,13611
29,Navy 1990-2015 Kelsey Campbell Staff Sergeant U.S,14056,14105
30,Air Force 2002-2009 Matthew J,14564,14593
31,Cary Specialist U.S,15062,15081
32,Army Reserve 1969-1975 Asha Castleberry Captain U.S,15540,15591
33,Army 2005-2015 Margaret Cope Colonel U.S,16040,16080
34,Air Force 1981-2011 Carlos Del Toro Commander U.S,16535,16584
35,Navy 1979-2004 Greg Douquet Colonel U.S,17040,17079
36,Marine Corps 1985-2015 Sean M,17552,17581
37,Easter Sergeant U.S,18064,18083
38,Army 2002-2010 Thomas Fant Seaman U.S,18561,18598
39,Coast Guard 1996-1998 Sonia Fernandez Corporal U.S,19053,19103
40,Marine Corps 1993-1996 Jonathan Freeman Captain U.S,19561,19612
41,Army 2004-2008 Kristofer Goldsmith Sergeant U.S,20072,20119
42,Army 2004-2007 Kia Thomas Hamel Petty Officer 3rd Class U.S,20576,20635
43,Navy 1994-1998 Robert S,21111,21134
44,Hamer Lieutenant U.S,21639,21659
45,Navy 2011-2016 Gail Harris Captain U.S,22156,22194
46,Navy 1973-2001 Kate Hoit Specialist U.S,22675,22714
47,Army Reserve 2001-2009 Keith Howard-Streicher Specialist U.S,23190,23250
48,Army 2008-2011 Andrew Janiszewski Captain U.S,23719,23764
49,Air Force 2006-2014 Tony Johnson Lieutenant Junior Grade U.S,24233,24293
50,Navy 1994-1997 Brian Adam Jones Corporal U.S,24771,24815
51,Marine Corps 2009-2013 Peter James Kiernan Sergeant U.S,25295,25350
52,Marine Corps 2007-2013 Hansen Mak Captain U.S,25831,25876
53,Army 1996-2008 Alexander McCoy Sergeant U.S,26346,26389
54,Marine Corps 2008-2013 Justin McFarlin Captain U.S,26851,26901
55,Army 2005-2010 Jillian McNerney Captain U.S,27362,27405
56,Air Force 2004-2012 Michael McNerney Captain U.S,27863,27911
57,Air Force 2002-2006 Sua Peni Mene Sergeant Major U.S,28355,28407
58,Army 1988-2015 Rob Miller Major U.S,28848,28883
59,Marine Corps 1995-2008 Tom Mullens Petty Officer 3rd Class U.S,29308,29370
60,Navy 1971-1977 George A,29804,29827
61,Pivik Colonel U.S,30283,30300
62,Army 1993-2013 Lawrence Ramos Petty Officer 3rd Class U.S,30735,30792
63,Navy 1943-1952 Anne Jordan Rawley Captain U.S,31218,31263
64,Navy 1966-1994 Dmitriy Redka Sergeant U.S,31696,31737
65,Marine Corps 1997-2005 Scott Rutter Lt,32167,32205
66,Colonel U.S,32651,32662
67,Army 1983-2003 Terron Simms II Captain U.S,33112,33154
68,Army 2000-2005 Tommy Sowers Major U.S,33588,33625
69,Army 1998-2009 Bobby J,34067,34089
70,Thornburg Colonel U.S,34546,34567
71,Army 1968-2000 Adam Tiffen U.S,35019,35049
72,Army 2005-2008 Martin E,35497,35520
73,Torrey Commander U.S,35974,35994
74,Navy 1972-1992 Shawn VanDiver Petty Officer 1st Class U.S,36437,36494
75,Navy 2001-2013 Loren Voss Captain U.S,36935,36972
76,Air Force 2008-2013 Patricia Webb Colonel U.S,37409,37454
77,Air Force 1978-2011 Tony Woods Captain U.S,37914,37956
78,Army 2003-2008 *These individuals are signing this letter in their individual capacities; their views do not reflect the views of the U.S,38433,38570
79,Government Department of Defense or any other agency,39047,39099
