,sentence,start,end
0,"Thank you all very very much! Thank you for that amazing welcome! ""Thank you all for the great convention that weve had."" ""And Chelsea thank you",0,144
1,I am so proud to be your mother and so proud of the woman youve become,537,607
2,"Thank you for bringing Mark into our family and Charlotte and Aidan into the world."" And Bill that conversation we started in the law library 45 years ago ..",894,1051
3,it is still going strong,1369,1393
4,"""You know that conversation has lasted through good times that filled us with joy and hard times that tested us",1722,1833
5,"And Ive even gotten a few words in along the way."" On Tuesday night I was so happy to see that my ""explainer in chief"" is still on the job",2087,2225
6,"""Im also grateful to the rest of my family and to the friends of a lifetime."" ""To all of you whose hard work brought us here tonight and to those of you who joined this campaign this week thank you",2407,2604
7,"What a remarkable week its been!"" ""We heard the man from Hope Bill Clinton and the man of hope Barack Obama",2828,2935
8,America is stronger because of President Obamas leadership,3269,3327
9,"And Im better because of his friendship."" We heard from our terrific vice president the one and only Joe Biden",3674,3784
10,"""He spoke from his big heart about our partys commitment to working people as only he can do."" And first lady Michelle Obama reminded us that our children are watching",4060,4227
11,And the president we elect is going to be their president too,4508,4569
12,And for those of you out there who are just getting to know Tim Kaine you will soon understand why the people of Virginia keep promoting him from city council and mayor to governor and now senator,4838,5034
13,And he will make our whole country proud as our vice president,5305,5367
14,And I want to thank Bernie Sanders,5749,5783
15,Bernie your campaign inspired millions of Americans particularly the young people who threw their hearts and souls into our primary,6148,6279
16,"""Youve put economic and social justice issues front and center where they belong."" ""And to all of your supporters here and around the country I want you to know Ive heard you",6573,6747
17,"Your cause is our cause."" ""Our country needs your ideas energy and passion",7024,7098
18,That is the only way we can turn our progressive platform into real change for America,7420,7506
19,"We wrote it together now lets go out and make it happen together!"" ""My friends weve come to Philadelphia the birthplace of our nation because what happened in this city 240 years ago still has something to teach us today",7766,7986
20,"We all know the story but we usually focus on how it turned out and not enough on how close that story came to never being written at all."" When representatives from 13 unruly colonies met just down the road from here some wanted to stick with the king and some wanted to stick it to the king",8108,8400
21,"""The Revolution hung in the balance and somehow they began listening to each other compromising finding common purpose",8597,8715
22,And by the time they left Philadelphia they had begun to see themselves as one nation,9025,9110
23,Thats what made it possible to stand up to a king,9462,9511
24,That took courage they had courage,9892,9926
25,"Our Founders embraced the enduring truth that we are stronger together."" Now America is once again at a moment of reckoning",10272,10395
26,Powerful forces are threatening to pull us apart,10728,10776
27,Bonds of trust and respect are fraying,11146,11184
28,And just as with our Founders there are no guarantees,11540,11593
29,It truly is up to us,11935,11955
30,We have to decide whether we will all work together so we can all rise together,12266,12345
31,"""Our countrys motto is E Pluribus Unum out of many we are one",12642,12703
32,"Will we stay true to that motto?"" ""Well we heard Donald Trumps answer last week at his convention",12999,13096
33,He wants to divide us from the rest of the world and from each other,13386,13454
34,Hes betting that the perils of todays world will blind us to its unlimited promise,13773,13855
35,"Hes taken the Republican Party a long way from morning in America to midnight in America."" He wants us to fear the future and fear each other",14137,14278
36,"Well you know a great Democratic President Franklin Delano Roosevelt came up with the perfect rebuke to Trump more than 80 years ago during a much more perilous time: The only thing we have to fear is fear itself! ""Now we are clear-eyed about what our country is up against",14480,14753
37,But we are not afraid,14991,15012
38,We will rise to the challenge just as we always have,15345,15397
39,We will not build a wall; instead we will build an economy where everyone who wants a good job can get one,15688,15794
40,"And well build a path to citizenship for millions of immigrants who are already contributing to our economy."" We will not ban a religion",16062,16198
41,We will work with all Americans and our allies to fight and defeat terrorism,16479,16555
42,"""Yet we know there is a lot to do",16900,16933
43,Too many people havent had a pay raise since the crash,17278,17332
44,"Theres too much inequality too little social mobility too much paralysis in Washington."" Too many threats at home and abroad",17644,17768
45,But just look for a minute at the strengths we bring as Americans to meet these challenges,18082,18172
46,We have the most dynamic and diverse people in the world,18519,18575
47,"""We have the most tolerant and generous young people weve ever had."" We have the most powerful military the most innovative entrepreneurs the most enduring values freedom and equality justice and opportunity we should be so proud that those words are associated with us",18866,19135
48,I have to tell you as your secretary of state I went to 112 countries,19399,19468
49,"When people hear those words they hear America! ""So dont let anyone tell you that our country is weak",19767,19868
50,Were not,20177,20185
51,Dont let anyone tell you we dont have what it takes,20534,20585
52,We do,20937,20942
53,"And most of all dont believe anyone who says I alone can fix it."" ""Yes those were actually Donald Trumps words in Cleveland",21248,21371
54,And they should set off alarm bells for all of us,21663,21712
55,"Really? I alone can fix it? Isnt he forgetting troops on the front lines police officers and firefighters who run toward danger doctors and nurses who care for us teachers who change lives entrepreneurs who see possibilities in every problem mothers who lost children to violence and are building a movement to keep other kids safe? Hes forgetting every last one of us."" Americans dont say ""I alone can fix it."" We say ""well fix it together!"" And remember remember our Founders fought a Revolution and wrote a Constitution so America would never be a nation where one person had all the power",21823,22415
56,240 years later we still put our faith in each other,22527,22579
57,Look at what happened in Dallas after the assassinations of five brave police officers,22926,23012
58,Police Chief David Brown asked the community to support his force maybe even join them,23349,23435
59,And you know how the community responded? Nearly 500 people applied in just 12 days,23781,23864
60,"""Thats how Americans answer when the call for help goes out."" Twenty years ago I wrote a book called ""It Takes a Village."" And a lot of people looked at the title and asked what the heck do you mean by that? This is what I mean",24098,24325
61,None of us can raise a family build a business heal a community or lift a country totally alone,24520,24615
62,America needs every one of us to lend our energy our talents our ambition to making our nation better and stronger,24894,25008
63,I believe that with all my heart,25337,25369
64,"Thats why ""stronger together"" is not just a lesson from our history its not just a slogan for our campaign its a guiding principle for the country weve always been and the future were going to build a country where the economy works for everyone not just those at the top",25618,25889
65,Where you can get a good job and send your kids to a good school no matter what ZIP code you live in,26078,26178
66,A country where all our children can dream and those dreams are within reach where families are strong communities are safe and yes where love trumps hate,26434,26588
67,"""Thats the country were fighting for",26928,26964
68,Thats the future were working toward,27390,27426
69,"And so my friends it is with humility determination and boundless confidence in Americas promise that I accept your nomination for president of the United States!"" ""Now sometimes—sometimes—the people at this podium are new to the national stage",27755,27999
70,As you know Im not one of those people,28310,28348
71,"Ive been your first lady served eight years as a senator from the great state of New York then I represented all of you as secretary of state."" ""But my job titles only tell you what Ive done",28601,28791
72,They dont tell you why,29064,29086
73,"The truth is through all these years of public service the service part has always come easier to me than the public part."" ""I get it that some people just dont know what to make of me."" ""So let me tell you",29344,29550
74,The family Im from well no one had their name on big buildings,29777,29839
75,My family were builders of a different kind builders in the way most American families are,30153,30243
76,"They used whatever tools they had whatever God gave them and whatever life in America provided and built better lives and better futures for their kids."" My grandfather worked in the same Scranton lace mill for 50 years",30525,30744
77,Because he believed that if he gave everything he had his children would have a better life than he did,31001,31104
78,And he was right,31426,31442
79,My dad Hugh made it to college he played football at Penn State and enlisted in the Navy after Pearl Harbor,31761,31868
80,When the war was over he started his own small business printing fabric for draperies,32174,32259
81,I remember watching him stand for hours over silkscreens,32609,32665
82,He wanted to give my brothers and me opportunities he never had and he did,33002,33076
83,My mother Dorothy was abandoned by her parents as a young girl,33404,33466
84,She ended up on her own at 14 working as a housemaid,33785,33837
85,She was saved by the kindness of others,34163,34202
86,Her first-grade teacher saw she had nothing to eat at lunch and brought extra food to share the entire year,34496,34603
87,The lessons she passed on to me years later stuck with me,34895,34952
88,No one gets through life alone,35282,35312
89,We have to look out for each other and lift each other up,35624,35681
90,And she made sure I learned the words from our Methodist faith: Do all the good you can for all the people you can in all the ways you can as long as ever you can,35913,36075
91,"""So I went to work for the Childrens Defense Fund going door-to- door in New Bedford Massachusetts on behalf of children with disabilities who were denied the chance to go to school",36273,36454
92,I remember meeting a young girl in a wheelchair on the small back porch of her house,36727,36811
93,She told me how badly she wanted to go to school,37121,37169
94,It just didnt seem possible in those days,37491,37532
95,"And I couldnt stop thinking of my mother and what shed gone through as a child."" It became clear to me that simply caring is not enough",37816,37951
96,To drive real progress you have to change both hearts and laws,38244,38306
97,You need both understanding and action,38667,38705
98,"""So we gathered facts we built a coalition and our work helped convince Congress to ensure access to education for all students with disabilities",39031,39176
99,"Its a big idea isnt it? Every kid with a disability has the right to go to school."" But how? How do you make an idea like that real? You do it step by step year by year sometimes even door by door",39392,39588
100,My heart just swelled when I saw Anastasia Somoza representing millions of young people on this stage,39816,39917
101,"""Because we changed our law to make sure she got an education",40234,40295
102,So its true,40668,40679
103,"I sweat the details of policy whether were talking about the exact level of lead in the drinking water in Flint Michigan the number of mental health facilities in Iowa or the cost of your prescription drugs."" ""Because its not just a detail if its your kid if its your family",40935,41209
104,Its a big deal,41447,41461
105,"And it should be a big deal to you president too."" ""After the four days of this convention youve seen some of the people who have inspired me people who let me into their lives and became a part of mine people like Ryan Moore and Lauren Manning",41696,41940
106,"They told their stories Tuesday night."" ""I first met Ryan as a 7-year old",42165,42238
107,He was wearing a full-body brace that must have weighed 40 pounds because I leaned over to lift him up,42535,42637
108,"Children like Ryan kept me going when our plan for universal health care failed and kept me working with leaders of both parties to help create the Childrens Health Insurance Program that covers 8 million kids in our country."" Lauren Manning who stood here with such grace and power was gravely injured on 9/11",42833,43143
109,It was the thought of her and Debbie St,43384,43423
110,John who you saw in the movie and John Dolan and Joe Sweeney and all the victims and survivors that kept me working as hard as I could in the Senate on behalf of 9/11 families and our first responders who got sick from their time at ground zero,43647,43891
111,I was thinking of Lauren Debbie and all the others 10 years later in the White House Situation Room when President Obama made the courageous decision that finally brought Osama bin Laden to justice,44065,44262
112,"""And in this campaign Ive met many more people who motivate me to keep fighting for change",44541,44631
113,"And with your help I will carry all of your voices and stories with me to the White House."" ""And you heard from Republicans and independents who are supporting our campaign",44910,45082
114,Well I will be a president for Democrats Republicans independents for the struggling the striving the successful for all those who vote for me and for those who dont,45356,45521
115,"For all Americans together!"" ""Tonight weve reached a milestone in our nations march toward a more perfect union",45817,45928
116,"The first time that a major party has nominated a woman for president!"" ""Standing here as my mothers daughter and my daughters mother Im so happy this day has come",46215,46378
117,Im happy for grandmothers and little girls and everyone in between,46681,46747
118,Im happy for boys and men,47114,47139
119,"Because when any barrier falls in America it clears the way for everyone."" ""After all when there are no ceilings the skys the limit!"" ""So lets keep going",47446,47599
120,"Lets keep going until every one of the 161 million women and girls across America has the opportunity she deserves to have!"" But even more important than the history we make tonight is the history we will write together in the years ahead",47819,48057
121,"""Lets begin with what were going to do to help working people in our country get ahead and stay ahead."" ""Now I dont think President Obama and Vice President Biden get the credit they deserve for saving us from the worst economic crisis of our lifetimes."" Our economy is so much stronger than when they took office",48189,48502
122,Nearly 15 million new private sector jobs 20 million more Americans with health insurance and an auto industry that just had its best year ever,48699,48842
123,"""Now thats real progress but none of us can be satisfied with the status quo not by a long shot",49134,49229
124,"Were still facing deep-seated problems that developed long before the recession and have stayed with us through the recovery."" ""Ive gone around the country talking to working families and Ive heard from many who feel like the economy sure isnt working for them",49476,49736
125,Some of you are frustrated even furious,50015,50054
126,And you know what? Youre right,50421,50451
127,Its not yet working the way it should,50804,50841
128,"Americans are willing to work and work hard but right now an awful lot of people feel there is less and less respect for the work they do and less respect for them period."" Democrats we are the party of working people",51088,51305
129,"""But we havent done a good enough job showing we get what youre going through and were going to do something to help",51525,51641
130,"So tonight I want to tell you how we will empower Americans to live better lives."" My primary mission as president will be to create more opportunity and more good jobs with rising wages right here in the United States",51870,52088
131,From my first day in office to my last especially in places that for too long have been left out and left behind from our inner cities to our small towns from Indian country to coal country from communities ravaged by addiction to regions hollowed out by plant closures,52241,52510
132,"""And heres what I believe",52786,52811
133,I believe America thrives when the middle class thrives,53209,53264
134,"I believe our economy isnt working the way it should because our democracy isnt working the way it should."" ""Thats why we need to appoint Supreme Court justices who will get money out of politics and expand voting rights not restrict them."" And if necessary we will pass a constitutional amendment to overturn Citizens United! ""I believe American corporations that have gotten so much from our country should be just as patriotic in return",53449,53888
135,Many of them are but too many arent,54095,54130
136,"Its wrong to take tax breaks with one hand and give out pink slips with the other."" And I believe Wall Street can never ever be allowed to wreck Main Street again",54404,54566
137,And I believe in science! I believe climate change is real and that we can save our planet while creating millions of good-paying clean-energy jobs,54811,54958
138,I believe that when we have millions of hardworking immigrants contributing to our economy it would be self-defeating and inhumane to try to kick them out,55254,55408
139,"""Comprehensive immigration reform will grow our economy and keep families together",55762,55844
140,"And its the right thing to do."" So whatever party you belong to or if you belong to no party at all if you share these beliefs this is your campaign",56141,56289
