,sentence,start,end
0,"""Bernie Sanders has been seeking the presidency for nearly a year",0,65
1,It cant be a surprise to him that serving as Commander-in-Chief is a critical part of the job,516,609
2,Were therefore deeply troubled by his continued lack of interest in and knowledge of essential foreign policy and national security issues,1044,1182
3,His recent interview with the New York Daily News demonstrates this problem anew,1549,1629
4,"""Senator Sanders was asked specific – but not unexpected or unusual – questions about the Israeli-Palestinian conflict",2000,2118
5,He couldnt answer but said that if he had some paper in front of him he might be able to,2428,2516
6,He was asked his opinion on key parts of the Obama Administrations counter-terrorism strategy,2856,2949
7,Again he couldnt answer,3317,3340
8,Thats concerning especially just a few weeks after the attack in Brussels,3725,3798
9,The same goes for what he said about how hed go about interrogating captured terrorists if he were President,4157,4265
10,xa0Actually I havent thought about it a whole lot he said,4626,4683
11,Thats surprising to say the least – particularly given the dangerous proposals were hearing from Republicans on using torture and keeping the Guantanamo Bay detention facility open,5039,5219
12,"""These were not gotcha questions",5575,5607
13,As people who have advised presidents on critical issues like these we know how important it is to have a Commander-in-Chief who has a deep grasp of them – or who at the very least takes them seriously enough to reach beyond the basics,5891,6126
14,We respect Senator Sanderss passion for building a better America but we are troubled by his continued inability to articulate a vision of our nations role in the world,6327,6495
15,"""Many of us raised concerns earlier this year that Senator Sanders had not thought through crucial national security issues",6809,6932
16,His interview with the New York Daily News shows that hes made no effort to change that,7261,7348
17,"America needs a President who has given serious thought to how she or he would approach the serious challenges were facing and who will be ready to lead on day one."" Jeremy B",7626,7800
18,Bash former Chief of Staff to the Director of the CIA; former Chief of Staff to the Secretary of Defense Rand Beers former senior State Department Department of Homeland Security and White House official Ambassador Daniel Benjamin former U.S,8007,8248
19,Ambassador-at-Large and Coordinator for Counterterrorism at the U.S,8605,8672
20,Department of State Ambassador (ret.) Nicholas Burns former Under Secretary of State for Political Affairs Ellen Tauscher former Under Secretary of State for Arms Control and International Security Kurt Campbell former Assistant Secretary of State for East Asian and Pacific Affairs Derek Chollet former Assistant Secretary of Defense for International Security Affairs Mary DeRosa former Deputy Counsel to the President and Legal Adviser National Security Council Daniel F,8923,9396
21,"Feldman former Special Representative for Afghanistan and Pakistan Phil Gordon former White House Coordinator for the Middle East Julianne (""Julie"") Smith former Deputy National Security Advisor to the Vice President of the United States Morton H",9555,9801
22,Halperin former Director of Policy Planning at the Department of State; former Special Assistant to the President and Senior Director for Democracy at the National Security Council Kathleen H,10076,10267
23,Hicks former Principal Deputy Under Secretary of Defense for Policy Lt,10634,10704
24,General Donald Kerrick (Ret.) former Deputy National Security Advisor to the President of the United States James N,11103,11218
25,Miller former Under Secretary of Defense for Policy Julissa Reynoso former Ambassador to Uruguay; former Deputy Assistant Secretary of State for Central America Vikram J Singh former Deputy Assistant Secretary of Defense for South and Southeast Asia David Wade former Chief of Staff to the Secretary of State Tamara Wittes former Deputy Assistant Secretary of State for Near Eastern Affairs ,11502,11892
