,sentence,start,end
0,"""Last nights horrific execution-style shootings of 12 Dallas law enforcement officers – five of whom were killed and seven wounded - is an attack on our country",0,160
1,"It is a coordinated premeditated assault on the men and women who keep us safe."" We must restore law and order",575,685
2,We must restore the confidence of our people to be safe and secure in their homes and on the street,967,1066
3,The senseless tragic deaths of two people in Louisiana and Minnesota reminds us how much more needs to be done,1353,1463
4,"""This morning I offer my thoughts and prayers for all of the victims families and we pray for our brave police officers and first responders who risk their lives to protect us every single day."" ""Our nation has become too divided",1704,1933
5,Too many Americans feel like theyve lost hope,2220,2265
6,Crime is harming too many citizens,2642,2676
7,Racial tensions have gotten worse not better,3087,3131
8,"This isnt the American Dream we all want for our children."" This is a time perhaps more than ever for strong leadership love and compassion",3571,3710
9,We will pull through these tragedies,4150,4186
