,sentence,start,end
0,"""The Americans with Disabilities Act made our country more inclusive our economy stronger and our society fairer",0,112
1,This landmark law opened educational opportunities expanded transportation ensured equal access to public buildings and outlawed employment discrimination on the basis of disability,608,789
2,The ADA enables people with disabilities to participate more fully in their communities and live more inclusive lives,1204,1321
3,"""But we know we have more work to do",1696,1732
4,I am committed to realizing the full promise of the ADA expanding opportunity for the over 50 million Americans living with a disability—because were stronger together,2081,2248
5,"""As President I will continue to advance disability rights and work to fulfill the promise of the ADA",2555,2656
6,I will work to expand support for people to live in integrated community settings consistent with the Supreme Courtsxa0 xa0decision,3000,3131
7,As part of that effort I will push Congress to enact the Disability Integration Act so that Americans with disabilities who need long-term services and supports can receive that care in home- and community-based settings if they so choose,3422,3660
8,And I will work to improve access to competitive integrated employment,3980,4050
9,"We must honor the spirit and substance of the law and recommit ourselves to defending and strengthening it to help ensure that all Americans have the opportunity to achieve their God-given potential."" ",4532,4732
