,sentence,start,end
0,"Following the release ofxa0 xa0by the Internal Revenue Service this week showing that the wealthiest 400 American households still averaged only a 22.9-percent effective tax rate in 2013 Hillary Clintonxa0on Saturdayxa0said the figures provided fresh evidence that too many individuals are still ""gaming the system"" and she promised to unveil new tax proposals in January that would help ensure that the ultra-wealthy finally pay their fair share",0,446
1,The 2013 data actually reflected an improvement from the year prior when these same households paid just a 16.7-percent ratexa0 ,661,788
2,But Clinton saidxa0Saturdayxa0that even a 22.9-percent effective rate was still too low and proved that the tax burden in the U.S,1130,1259
3,is not adequately shared,1644,1668
4,"""Thanks to President Obamas leadership weve seen a notable uptick in the effective tax rate paid by the wealthiest Americans in 2013",2029,2161
5,"But its clear that those at the top are still gaming the system and leaving hard-working American families holding the bag"" Clinton said",2471,2607
6,"""A quarter of the very highest earning taxpayers those earning more than $250 millionxa0per yearxa0on average pay a federal income tax rate of less than 20%",2907,3063
7,"Thats not fair and its not good for our economy placing burdens on middle class families and holding back investments that would help us grow."" The IRS data was released the same week that axa0 pulled back the curtain on the cottage industry of tax lawyers and personal accountants who help the ultra-wealthy shelter their income and avoid U.S",3242,3585
8,taxes,3849,3854
9,Clinton has pledged that as President she would seek to close many of the tax loopholes that contribute to this tax avoidance,4242,4367
10,"She has also pledged support for the so-calledxa0""Buffett rule"" a concept proposed annually as part of President Obamas budget that would guarantee that the wealthiest Americans pay an effective tax rate no less than 30 percent",4652,4879
11,Today however Clinton said she would go further promising that later this month she will announce additional proposals to ensure that the wealthiest US households actually pay a fair effective tax rate on their income,5127,5344
12,"""As President Ill do what it takes to make surexa0the super-wealthy are truly paying their fair share",5645,5746
13,"The Buffett rule is one idea that would help achieve greater fairness in our tax system and in the coming weeks I will be laying out additional proposals that go beyond the Buffett rule"" Clinton said",6146,6345
