,sentence,start,end
0,Today Donald J,0,14
1,Trump announced the expansion of his campaign team making several appointments as he continues to build his operations in advance of the general elections,492,646
2,Jason Miller will serve as Senior Communications Advisor where he will work with the existing team to build out a full Communications Department to deliver victory this November,1103,1280
3,Mr,1666,1668
4,Miller will work with several areas of the campaign to ensure messaging coordination and implementation,2105,2208
5,Mr,2642,2644
6,Miller has managed campaigns and shaped messages for successful House Senate and gubernatorial races in addition to serving on the senior staffs of two presidential campaigns,3067,3241
7,"""Michael Abboud is joining the Trump Campaign as a Communications Coordinator",3630,3707
8,Formerly with the RNC Communications Department Mr,4153,4203
9,"Abboud will work to execute the campaigns rapid response and daily messaging as well as providing candidate briefings on daily news and breaking stories."" Alan Cobb will serve as the Director of Coalitions for the campaign organizing and managing the numerous coalition groups that currently support and will support Mr",4506,4825
10,Trump for president,5132,5151
11,Previously Mr,5602,5615
12,Cobb served in several roles for the Trump Campaign including as a Senior Advisor,6026,6107
13,Mr,6529,6531
14,Cobb managed statewide political and issue campaigns served as the Deputy State Director for U.S,6946,7042
15,Senators Bob Dole and U.S,7435,7460
16,Senator Sheila Frahm and served as a Campaign Advisor to the 2014 campaigns of Congressman Mike Pompeo and Senator Pat Roberts,7831,7957
17,On the appointments Mr,8330,8352
18,"Trump stated ""As we continue to work to defeat Hillary Clinton this November I am constantly building a superior political team",8718,8845
19,"After winning the most votes in the history of a Republican primary contest we are taking our messages to the people so that we can Make American Great Again."" ",9270,9429
