,sentence,start,end
0,""" You know were getting near closing time and closing arguments in the big fight in Iowa and then in New Hampshire coming on quickly",0,132
1,Donald Trump is not going to debate on Fox tomorrow night,518,575
2,"Will you debate on our debate? Will you show up?"" "" Look Chris what Ive said through my campaign is that I would look forward to another debate",890,1033
3,I am you know anxious if we can get something set up to be able to be there,1273,1348
4,"And so lets try to make it happen."" "" Well someone has to lead from the front",1613,1690
5,"Will you be there no matter what? Will you show up and wait and see? Will you be there waiting for Bernie Sanders and Martin OMalley? Would you in other words lead the pack in showing up and committing to doing that?"" "" Look Im ready for the debate and I hope Senator Sanders will change his mind and join us",1873,2181
6,And I think the DNC and the campaign should be able to work this out,2360,2428
7,"Ive said for — you know for a long time that Id be happy to have more debates and I hope we can get this done."" "" Well if he doesnt show up will you?"" "" Well lets hope that we can get it worked out",2619,2816
8,"I dont want to — you know I dont want to jump the gun and create more problems for everybody trying to get this worked out so we can all come to agreement that the voters of New Hampshire and America deserve to see us you know debating before the New Hampshire primary."" "" So you wont be there — just a last question on this",2889,3213
9,"You wont be there unless Bernies there."" "" Well Im not committing to that either Chris",3383,3469
10,I think we should have another debate,3789,3826
11,I think people want it,4164,4186
12,They have called for it,4533,4556
13,Folks have moved forward trying to get it set up,4890,4938
14,"Weve got you know — look 24 hours in a political campaign is an eternity.""  Right",5247,5327
15,""" Weve got a little time to try to get everybody on board which would certainly be my preference.""  OK you believe candidates should have the courage to face each other before the — before the caucuses in other words",5569,5784
16,You think you should be there and he should be there,6042,6094
17,""" I do",6428,6434
18,I think that — you know I agreed we all agreed to go with the process that the DNC had set up,6715,6808
19,And you know Ive been saying for a while that if they come up with more debates I will be there,7034,7129
20,And now weve got a real live possibility and I — I personally think it would be great for the — you know the primary,7370,7486
21,"Were moving into the caucus as you know so well on Monday.""  OK..",7760,7824
22, And then once we come out of there whatever happens we should agree to debate in New Hampshire,8124,8218
23,""" In other words youre sticking to your commitment I will be there."" "" I will — I will debate",8477,8570
24,Now as I say Id want — I want all the campaigns and the DNC to agree,8836,8904
25,"That is my preference.""  OK",9197,9223
26,""" Thats what weve tried to you know do in our side of the ledger here.""  OK",9504,9578
27,""" And Im pushing people to come to agreement so we can all get out there and debate before the New Hampshire primary.""  Well this is getting very sharply worded as we get closer to the caucuses",9823,10015
28,"The word in ""The New York Times"" this morning Madam Secretary is that Senator Sanders is readying an attack ad against you",10266,10388
29,We dont know whether hes going to use it but the language is basically that youre in hock to Wall Street because of the speaking fees youve taken from Goldman Sachs,10646,10810
30,"How do you respond or how will you respond to an eleventh-hour attack like that? "" Well first its really disappointing Chris",11076,11200
31,You know Senator Sanders has started to get increasingly personal with his attacks,11524,11606
32,He even compared me to Dick Cheney last week which you know is kind of a low blow,11933,12014
33,So it would be another escalation and a breaking of his pledge not to go negative,12309,12390
34,One of the things that I think has been great about the Democratic side is we really have focused on issues while the Republicans have been hurling insults,12660,12815
35,And I think the people in Iowa want to go to the caucuses thinking about which one of us as president can actually make a difference in their lives and thats the case Ive been focused on making,13041,13234
36,So you know it would be a sharp departure by Senator Sanders,13487,13547
37,And you know the other part of this is anybody who knows me knows you cant buy me,13856,13937
38,I mean honestly Ive been standing up and fighting and getting knocked around for years trying to get things done that I think would improve peoples lives,14215,14368
39,"And Im not going to stop and that includes anybody trying to you know mess with our financial system."" "" Well when he uses phrases like — dark phrases like You can draw your own conclusions as to whether youre in hock to Goldman Sachs or anyone — is that — is that a low blow You can draw your own conclusions?"" "" Well I think hes trying to go to the line without going over it",14488,14865
40,And you know clearly some of the journalists covering us are starting to notice and call him out on it,14986,15088
41,But I feel very — you know very positive and energized by what Im seeing happening here in Iowa,15357,15452
42,And I know that I have the best plan to rein in Wall Street abuses to make sure it doesnt ever happen again,15713,15820
43,Lots of folks from Barney Frank to Paul Krugman have said thats the case because I dont just go after the big banks,16070,16185
44,You know we already have the authority to do that under Dodd-Frank and I have said I would use that authority if they were posing a systemic risk to our economy,16429,16589
45,But equally importantly weve got to go after the shadow banking sector,16887,16957
46,You know lets not forget Lehman Brothers AIG Countrywide Rapovia,17323,17387
47,And lets also remind people Chris that clearly the billionaires as Bernie likes to say — the billionaires have chosen sides,17735,17858
48,Theyre running ads against me and trying to you know kind of hoodwink Democrats into voting against me because they know exactly what I will do because theyve seen me in action,18135,18311
49,So whether its you know Karl Rove or the hedge fund guys with their own super-PAC or Joe Ricketts jumping in now with a kind of ham-handed effort to look like he was you know going against Bernie when the real point was to you know stir opposition to me,18482,18735
50,"I take that as perversely flattering and as the single best refutation of what Senator Sanders is trying to imply."" "" Well youre giving us a real rogues gallery here of Dick Cheney and Karl Rove",18902,19096
51,"""  ""Anyway let me ask you about the slogans",19378,19420
52,You used a phrase the other day these shouting slogans,19739,19793
53,Now I know what you mean — Im going to build a wall across the Rio Grande — across — along the Rio Grande River,20067,20178
54,Im going to make the Mexicans pay for it,20481,20521
55,But on the Democratic side Senator Sanders says things like free health care or rather government-paid health care for life as a right,20825,20959
56,He talks about free tuition when you go to a great school like Berkeley or Madison Wisconsin,21258,21350
57,Free! Free! Is that what you mean this — we had a young guy on yesterday from South Carolina who switched from you to Senator Sanders and he — I went through this list of free things and I said Wheres the money come from? And he says Well we put a man on the moon,21547,21810
58,We can do this,22011,22025
59,And that kind of fantastic — what do you call it — appeal,22333,22390
