,sentence,start,end
0,Thank you,0,9
1,In 22 days we are going to win the state of Wisconsin and we are going to win the White House,423,516
2,Early voting is underway so make sure to send in your absentee ballots,930,1000
3,Together we are going to deliver real change that puts America First,1393,1461
4,We are going to renegotiate our terrible trade deals end illegal immigration stop the massive inflow of refugees reduce surging crime cut taxes and regulations lift the restrictions on American energy end common core and repeal and replace the disaster known as Obamacare,1757,2028
5,"""Your jobs will come back under a Trump Administration",2331,2385
6,Your incomes will go up under a Trump Administration,2793,2845
7,Your taxes will go way down under a Trump Administration,3245,3301
8,"Your companies wont be leaving Wisconsin under a Trump Administration."" We are also going to end government corruption",3675,3793
9,Hillary Clinton is the most corrupt person ever to run for President,4174,4242
10,"""Newly-released FBI documents made public today reveal just how deep the corruption goes",4658,4746
11,The under-Secretary of State Patrick Kennedy pressured the FBI to un-classify emails from Hillarys illegal server,5144,5257
12,"In other words the State Department was trying to cover-up Hillarys crime of sending classified information on a server our enemies could easily access by trying to reverse the classification."" ""This is a criminal conspiracy – a conspiracy that included Hillarys deleting and bleaching of 33000 emails the disappearance of 13 phones 2 boxes of email evidence gone missing and the destruction of laptops in a secret deal with the FBI."" Remember also that Hillary lied under oath to Congress saying she had never sent or received classified information on her insecure sever and pretended not to know that the letter ""C"" meant confidential information that was classified",5324,5993
13,Hillary then told the FBI she couldnt remember 39 times and then in written testimony last week under oath said she couldnt remember another 21 times,6041,6190
14,"""We are witnessing a criminal enterprise that has turned our government into a vehicle for the Clintons personal profit at your expense."" But it gets even worse",6473,6633
15,"The FBI documents show that Under-Secretary of State Patrick Kennedy made the request for altering classification as part of a ""quid pro quo."" This is felony corruption",6924,7092
16,Under-Secretary Kennedy needs to resign,7465,7504
17,"""Clinton cronies have sacrificed your security your familys safety and your countrys safety as though it meant nothing at all."" ""This is magnitudes worse than Watergate",7865,8033
18,"And were going to put an end to it on November 8th."" But theres still more",8342,8416
19,Another series of emails shows top officials in the Clinton campaign scheming to take massive sums of money from foreign lobbyists,8727,8857
20,"One of the emails from a top Hillary official said quote ""take the money!!"" with two exclamation points",9189,9292
21,This is money bundled by people registered as lobbyists on behalf of foreign governments,9637,9725
22,Remember we are competing in a rigged election – the media is trying to rig the election by giving credence to false stories that have no validity and making it front page news only to poison the minds of the American voters,9995,10219
23,The media is an extension of the Clinton Campaign as WikiLeaks proved – Hillary even got the questions and answers in advance of a major debate,10442,10585
24,A new report from the Center for Public Integrity shows that 96% of so-called journalists and reporters who donated this cycle gave their money to Hillary Clinton,10864,11026
25,They even want to try and rig the election at the polling booths where so many cities are corrupt and voter fraud is all too common,11298,11429
26,The following comes straight from Pew Research,11772,11818
27,"QUOTE: ""Approximately 24 million—one of every eight—voter registrations in the United States are no longer valid or are significantly inaccurate."" QUOTE: ""More than 1.8 million deceased individuals are listed as voters."" QUOTE: ""Approximately 2.75 million people have registrations in more than one state."" Then there is the issue of illegal immigrants voting",12132,12491
28,The following comes from a 2014 report from the Washington Post,12769,12832
29,"The article was entitled: ""could non-citizens decide the November election?"" Here are some excerpts",13218,13317
