,sentence,start,end
0,"""Thank you! Boy! Wow! Thank you! Wow! Did anybody see that debate last night? Oh yes",0,84
1,One down two to go,451,469
2,I am so excited to be back here at Wake Tech,836,880
3,I was here 8 years ago and I was so impressed then with the kinds of programs and opportunities that are offered here to people like Christine that I wanted to come back of course to Raleigh but I wanted to come back here to Wake Tech,1153,1387
4,When Christine was talking I was backstage watching her on a screen we had there,1620,1700
5,And she kept saying about how she was about to cry,1997,2047
6,I was about to cry,2378,2396
7,Her story says so much not just about her but about our country,2725,2788
8,We are a country of second chances and third and fourth chances for people willing to work for them get up every day do their best,3055,3185
9,Thats the basic bargain of America,3477,3511
10,And I was really proud of Christine,3845,3880
11,""" Were proud of you!"" "" Thank you",4212,4245
12,Thank you,4583,4592
13,And I think her – I think her patients at Duke Regional are in for a treat because not only the skills that she learned here at Wake Tech but that personality that get-up-and-go personality is going to mean a lot to the people shes taking care of,4849,5095
14,"So Christine thank you and Godspeed."" ""Now I have to thank – I have to thank Dr",5319,5398
15,Stephen Scott the president of Wake Tech Community College all the administrators the faculty and the students of Wake Tech,5696,5819
16,Now Dr,6163,6169
17,Scott told me that the enrollments about 73000,6541,6587
18,And what a tribute to what this institution represents,6950,7004
19,And I am a huge huge supporter,7376,7406
20,I just see America differently,7800,7830
21,I think theres nothing we cant do if we make our minds up roll up our sleeves get working together support institutions like Wake Tech support people like Christine,8152,8316
22,"And thats what I intend to do."" ""Now I want to thank your mayor Mayor McFarlane",8595,8674
23,Thank you so much for being here,9035,9067
24,State Senator Dan Blue Jr,9456,9481
25,I also want to recognize Linda Coleman candidate for lieutenant governor of North Carolina,9828,9918
26,Linda came so close last time,10265,10294
27,And this time are you going to bring her over the finish line? And Ill tell you somebody else Im really excited about,10641,10758
28,That is the Democratic candidate for the Senate former State Representative Deborah Ross,11073,11161
29,I have watched – I have watched the campaign shes run and the intensity and the incredible passion that she brings to it,11480,11600
30,Ill tell you what we sure could use her in Washington representative North Carolina,11917,12000
31,I want to thank all the elected officials who are here and I want to do a special shout-out to a long-time friend of my husbands and mine somebody who we admire so much who did really transform this state during his governorship,12242,12470
32,"Thats former Governor Jim Hunt."" ""Now theres a lot that I want to talk about today",12717,12799
33,But let me start with this because you may or may not know,13123,13181
34,Today is National Voter Registration Day,13525,13565
35,And you see some signs people are holding,13907,13948
36,I Will Vote,14294,14305
37,Now thats not only a great sign that shows youre committed to vote but its a website,14633,14717
38,And you can go to iwillvote.com to make sure you are registered,15020,15083
39,"And I hope you all will and I hope youll tell everybody that you know to do the same because we want to make sure people are registered."" ""And there is still time to get registered here in North Carolina and I hope that you will because think about everything thats at stake in this election right here in North Carolina",15282,15602
40,The very mean-spirited wrong-headed decision by your legislature and governor to pass and sign House Bill 2 has hurt this state,15811,15938
41,But more than that its hurt people,16279,16313
42,It has sent a message to so many people that well youre not really wanted,16668,16741
43,Youre not really part of us,17080,17107
44,"I think the American dream is big enough for everybody."" ""The other thing your governor and legislature did was everything they could to make voting harder for people",17424,17590
45,Now they were pretty blatant about it,17902,17939
46,Make it harder for people of color,18316,18350
