,sentence,start,end
0,"""Thank you",0,10
1,Thats so nice,378,391
2,Thank you,759,768
3,"""Well thats so nice",1136,1155
4,And Bishop Jackson I want to thank you and Dr,1523,1568
5,Jackson and you have some voice I have to say,1936,1981
6,Incredible,2349,2359
7,And some spirit some spirit,2727,2754
8,Talent,3122,3128
9,"""Thank you",3485,3495
10,Well I just wrote this the other day knowing Id be here,3818,3873
11,And I mean it from the heart and Id like to just read it and I think youll understand it maybe better than I do in certain ways,4141,4268
12,"""For centuries the African-American church has been the conscience of our country",4552,4633
13,So true,4999,5006
14,Its from the pews and pulpits and Christian teachings of black churches all across this land that the Civil Rights movement lifted up its soul and lifted up the soul of our nation,5325,5504
15,Its from these pews that our nation has been inspired toward a better moral character a deeper concern for mankind and spirit of charity and unity that binds us all together,5741,5914
16,And were bound together and I see that today,6223,6267
17,This has been an amazing day for me,6633,6668
18,"""The African-American faith community has been one of Gods greatest gifts to America and to its people",6999,7101
19,There is perhaps no action our leaders can take that would do more to heal our country and support our people than to provide a greater platform to the Black churches and church-goers,7376,7559
20,You do right everyday by your community and your families,7850,7907
21,You raise children in the Light of God; I will always support your church always,8253,8333
22,And defend your right to worship ,8682,8714
23,so important,9094,9106
24,"""I am here today to listen to your message and I hope that my presence here will also help your voice to reach new audiences in our country and many of these audiences desperately need your spirit and your thought",9392,9605
25,I can tell you that,9884,9903
26,"""Christian faith is not the past but the present and the future",10265,10328
27,Make it stronger,10699,10715
28,And well open it up to great great leaders like Pastor Jackson Bishop Jackson Dr,11081,11161
29,Jackson and so many others,11500,11526
30,And so many others actually sitting here,11876,11916
31,Darrell Scott who is phenomenal who has been with me for so long,12255,12319
32,So long,12670,12677
33,Omrosea who is a very nice person and I dont want to say that,13013,13074
34,Because Ill destroy her image by saying that,13395,13439
35,Shes actually a very very fine person and pastor,13764,13812
36,And I want to thank all the folks and there is somebody thats been very special to me Dr,14111,14199
37,Ben Carson whos been ,14506,14526
38,Stand up Ben,14874,14886
39,Come here come here,15235,15254
40,Come here Ben,15600,15613
41,This is a great man and great guy,15952,15985
42,"""So as I prepare to campaign all across the nation and in every community I will have an opportunity to lay out my plans for economic change",16261,16401
43,Which will be so good for Detroit and so good for this community because were going to bring jobs back,16660,16762
44,I will have a chance ,17095,17115
45,Thank you,17499,17508
46,Were bringing them back,17886,17909
47,Were taking them from Mexico and everywhere else because theyre gone,18267,18335
48,"""I will have a chance to discuss school choice",18685,18731
49,Its very important,19085,19103
50,And how to put every American on the ladder of success,19448,19502
51,A great education a great job,19831,19860
52,But today I just want to let you know that I am here to listen to you and I have been doing that,20156,20252
53,And we had a fantastic interview with Bishop Jackson,20548,20600
54,It was really an amazing interview,20931,20965
55,He is better than the people who do that professionally,21293,21348
56,I will tell you,21682,21697
57,Its true,22047,22055
58,Its true,22417,22425
59,Its true,22787,22795
60,Hes better,23156,23166
61,"""And I didnt really know what I was getting into",23506,23554
62,I didnt know,23883,23895
63,Is this going to be nice? Is this going to be wild? Hes a great gentleman and a very smart guy,24208,24302
64,I just hope you dont lose him to Hollywood,24604,24646
65,Thats the only problem,25004,25026
66,And especially and especially Dr,25388,25420
67,Jackson she may be gone,25784,25807
68,Hollywood is calling,26186,26206
69,Look at all those television cameras back there,26579,26626
70,Look at all the television cameras,26987,27021
71,Im sorry to do that to you Bishop,27385,27418
72,"Because its just one of those things right? ""Our nation is too divided",27748,27818
73,We talk past each other not to each other and those who seek office do not do enough to step into the community and learn what is going on,28092,28230
74,They dont know,28524,28538
75,They have no clue,28915,28932
76,Im here today to learn,29307,29329
77,So that we can together remedy injustice in any form,29693,29745
78,And so that we can also remedy economics so that the African-American community can benefit economically through jobs and income and so many other different ways,30063,30224
79,"""Our political system has failed the people and works only to enrich itself",30542,30617
80,I want to reform that system so that it works for you everyone in this room,30962,31037
81,I believe true reform can only come from outside the system,31378,31437
82,I really mean that,31809,31827
83,Being a businessman is much different than being a politician because I understand what is happening,32182,32282
84,And we are going outside the establishment,32643,32685
85,"""Becoming the nominee of the Party of Abraham Lincoln — a lot of people dont realize that Abraham Lincoln the great Abraham Lincoln was a Republican — has been the greatest honor of my life",32995,33184
86,It is on his legacy that I hope to build the future of the Party but more important the future of the country and the community,33412,33539
87,"""I believe that we need a Civil Rights agenda for our time",33817,33875
88,One that ensures the rights to a great education — so important — and the right to live in safety and in peace and to have a really really great job,34143,34291
89,A good paying job and one that you love going to every morning,34551,34613
90,That can happen,34949,34964
91,We need to bring our companies back,35316,35351
92,"""It also means the right to have a government that protects our works and fights really fights for our jobs",35663,35770
93,I want to help you build and rebuild Detroit,36086,36130
94,And we can do that especially with people like Bishop Jackson and Dr,36483,36551
95,Jackson,36945,36952
96,I mean that,37374,37385
97,Its been an amazing experience,37795,37825
98,Its been an amazing experience,38233,38263
99,Really,38686,38692
100,"""Nothing is more sad than when we sideline young black men with unfulfilled potential tremendous potential",39093,39199
101,I met some people this morning that are incredible people and theyre looking for jobs,39560,39645
102,These are incredible people ,40043,40070
103,young people,40489,40501
104,"Our whole country loses out when were unable to harness the brilliance and the energy of these folks ""Were one nation and when anyone hurts we all hurt together",40841,41001
105,That is so true,41314,41329
106,So true,41704,41711
