,sentence,start,end
0,On November 8th we are going to declare our independence from special interests corrupt politicians and from a rigged system that benefits only the insiders,0,156
1,"""We are going to declare our independence from media executives that dont care about us and politicians who dont listen to us."" We are going to declare our independence from rising crime soaring poverty and crushing debt",577,797
2,We are going to declare our independence from failures of the past and create a New American Future,1071,1170
3,Once again we will have a government of by and for the people,1503,1564
4,Americanism not globalism will be our credo,1902,1945
5,"""Its going to be America First from now on."" Let me tell you what this new future looks like",2258,2350
6,We are going to cut taxes and create millions of new jobs,2653,2710
7,We are going to repeal and replace Obamacare,3042,3086
8,We are going to appoint judges who will support defend and uphold the Constitution of the United States,3415,3518
9,We are going to save and cherish the 2nd amendment,3844,3894
10,We will ensure every Veteran in this country has the right to seek medical treatment at a VA facility or with the private doctor of their choice,4216,4360
11,"""Were going to eliminate job-killing regulations."" We are going to unleash an American Energy Revolution",4681,4785
12,"""Lets talk about another issue that is important to our future and the future of our children."" ""Thats the issue of crime",5118,5239
13,Violent crime is rising across the country,5602,5644
14,"More than 2700 have been shot in Chicago alone this year."" No American should consider this level of crime acceptable",5997,6114
15,Every American has the right to live in safety and peace,6448,6504
16,A Trump Administration is going to restore law and order,6887,6943
17,Let me take this opportunity to thank our wonderful police and law enforcement officers,7310,7397
18,This state has known unbelievable heartache in recent days after the murder of 5 police officers and the wounding of another 7 in the assault on Dallas,7707,7858
19,We pray for the families and hope for the speedy recovery of the wounded,8160,8232
20,To all law enforcement in America: we are with you we support you and we will always stand with you,8536,8635
21,Together we will create a safe community for every citizen in the land – but especially those who have not known safety in a very very long time,8891,9035
22,That includes appointing an Attorney General and a Secretary of Homeland Security who are completely committed to upholding the law,9319,9450
23,I will appoint federal officials and investigators who will work hand-in-hand with police and citizens to dismantle gangs cartels and criminal syndicates terrorizing our people,9789,9965
24,I will appoint prosecutors who will go into the most dangerous communities in America and work to liberate our citizens from violence and fear,10290,10432
25,All citizens deserve to be protected,10798,10834
26,No American left behind,11233,11256
27,I want every African-American parent in this country – and all parents in this country – to be able to raise their kids in safety,11601,11730
28,And I want to ensure every African-American child in this country – and all children in this country – are put on the American ladder of success: a good education and a good-paying job,11958,12142
29,We are going to have school choice charter schools and merit-pay for teachers,12462,12539
30,My opponent Hillary Clinton discriminates against African-American students by opposing school choice because she is owned and paid for by the education bureaucracy,12889,13053
31,No one owns me,13434,13448
32,I answer only to the American people,13913,13949
33,"""In a New York Post column Deroy Murdock published data confirming what Ive been saying about the devastating economic conditions in the African-American communities",14329,14494
34,"Murdock confirms these facts:"" ""The overall labor force participation rate for black Americans has slipped from 63.2 percent to 61.2 percent — down 3.2 percent",14828,14987
35,This metric also slumped for black teenagers from 29.6 percent to 27.7 percent — down 6.4 percent,15331,15428
36,The percentage of black Americans in poverty has grown under Obama the Census Bureau reports from 25.8 percent in 2009 to 26.2 percent in 2014 — up 1.6 percent,15719,15878
37,The number of blacks on Food Stamps soared under Obama — from 7.4 million in 2009 to 11.7 million in 2014 — up 58.2 percent,16126,16249
