,sentence,start,end
0,Today Donald J,0,14
1,Trump for President Inc,498,521
2,announced its Louisiana State Leadership Team,1005,1050
3,"The Trump Campaigns Louisiana operation is being led by State Director Ryan Lambert and today announced Public Service Commissioner Eric Skrmetta and former State Representative Woody Jenkins as the State Chairman and Jeff Crouere and Brian Trascher as state Co-Chairs."" Mr",1534,1807
4,"Trump says ""I am proud to announce our Leadership Team in Louisiana where we have tremendous grassroots support and a great team in place",2102,2239
5,"I look forward to visiting soon and working with these individuals whose support is so important to share my vision to Make America Great Again!"" Skrmetta was elected Public Service Commissioner for District 1 in 2008",2501,2718
6,His district includes 11 parishes and a million consumers in the southeastern part of Louisiana,3029,3124
7,Skrmetta served as Chairman of the Commission and earned high praise for leading Louisiana to the lowest utility rates in the nation,3469,3601
8,He also serves as President on the Entergy Regional State Committee,3955,4022
9,A lifelong Republican Skrmetta began his dedication to public service on the staff of the former Louisiana Governor Dave Treen the first Republican Governor of Louisiana since Reconstruction,4380,4570
10,Also a lifelong Republican Jenkins was elected to the Louisiana House of Representatives in 1972 and served for 28 years until 2000,4886,5017
11,He represented District 66 located in East Baton Rouge parish,5371,5432
12,As a legislator over three hundred of the bills he authored became law,5805,5875
13,While in the legislature Jenkins formed and served as chairman of the Conservative Caucus in the state house,6216,6324
14,He also served as chairman of the House Committee on Labor and Industrial Relations and was the 1996 Republican Nominee for Senate,6638,6768
15,A journalist by trade and an inductee into the LSU Journalism Hall of Fame Jenkins is the editor of   an award-winning community weekly newspaper,7071,7214
16,Jenkins is the Chairman of the East Baton Rouge Parish Republican Party the largest in the state,7536,7632
17,"Said Skrmetta ""I look forward to sharing the policies of businessman Donald Trump and promoting his candidacy",7991,8100
18,His confidence and strong convictions have a place in todays politics,8486,8555
19,His business-savvy and negotiation skills will be valuable assets to our country,8977,9057
20,I support Mr,9515,9527
21,"Trumps economic policies favoring free enterprise and fewer government regulations."" Republicans Jeff Crouere and Brian Trascher both natives of New Orleans will add political expertise as State Co-Chairs of the campaign",9911,10131
22,"Jeff Crouere is host of the Louisiana based radio and TV program ""Ringside Politics"" and is previous Executive Director & Deputy Chairman for the LAGOP",10441,10592
23,Brian Trascher is a Senior Partner with New Orleans-based Gulf South Strategies the firm best known for recruiting the Uber Car Service to Louisiana,10903,11051
24,Trascher is a veteran political operative with strong bipartisan relationships throughout Louisiana,11527,11626
25,Crouere and Trascher join Tim Breaux of Lafayette and Wayne Ryan of Alexandria as Co-Chairs,12115,12206
