,sentence,start,end
0,Today the Reverend Dr,0,21
1,Otis Moss,479,488
2,"Jr one of Americas most influential theologians and civil rights leaders endorsed Hillary Clinton for President calling her a leader with ""… wisdom sound judgement spiritual strength and moral courage."" Rev",946,1152
3,Dr,1610,1612
4,Moss Jr,2060,2067
5,served as the Pastor of Olivet Institutional Baptist Church in Cleveland Ohio before retiring after 33 years of service,2460,2579
6,He was also the co-pastor of Ebenezer Baptist Church with Rev,2935,2996
7,Dr,3377,3379
8,Martin Luther King Jr,3788,3809
9,in Atlanta Georgia,4224,4242
10,The Reverend Dr,4670,4685
11,Otis Moss,5114,5123
12,Jr,5557,5559
13,Mrs,5989,5992
14,Hillary Clinton is our best hope for moving the U.S,6390,6441
15,Supreme Court out of the hands of right wing anti-civil rights anti-voting rights anti-human rights judges,6788,6894
16,The next president will shape the U.S,7257,7294
17,Supreme Court for perhaps the next 50 years! By that time the millennials will be nearing (80) years old,7659,7763
18,Their children and grandchildren will be the living with the results of the 2016 election,8108,8197
19,The next president will nominate three or four U.S,8564,8614
20,Supreme Court justices plus score of federal district and appeals court judges,8992,9070
21,We need Hillary Clinton to be our next president because she is qualified,9419,9492
22,She is prepared,9862,9877
23,She is dedicated,10273,10289
24,She is an activist in the struggles of the common life for the common good and has the record to prove it,10621,10726
25,"She did not wait 70 years to ""think"" about civil rights and human rights",11024,11096
26,She is committed activist nationally and globally,11470,11519
27,She is the epitome of excellence,11916,11948
28,Let me repeat Hillary Clinton will save the U.S,12346,12393
29,Supreme Court from political arsonists obstructionists and destroyers of the civil rights human rights and voting rights,12782,12902
30,All the right wing extremists know this,13278,13317
31,This is why they are endorsing and supporting Trump – including some who tend to despise him,13700,13792
32,Mrs,14218,14221
33,Clinton will fight for voting rights protection health care for all and education for all without crippling debts,14638,14751
34,Hillary Clinton will give extraordinary national and global leadership,15148,15218
35,Leadership anchored in reason wisdom sound judgement spiritual strength and moral courage,15631,15720
36,"""She has been and remains active in her faith commitment from her youth",16105,16176
37,She has embraced The Holy Scriptures from her youth and knows the names of the books of her Bible and the unsearchable riches contained therein,16513,16656
38,She knows the songs and hymns and music of her faith and does not scorn and demean other faith traditions,16943,17048
39,"She believes in the total Constitution - not just one or two amendments such as states rights and gun rights."" She does not bully her way through life",17326,17476
40,She has the courage of kindness the endurance of long-suffering and the joys of Amazing Grace,17772,17865
41,She loves children of all races colors and ethnicities rich and poor rural urban and suburban healthy and ill victorious and vulnerable immigrant and Native American and those whose ancestors came in chains,18169,18375
42,This includes the well housed and the homeless,18699,18745
43,She does not seek votes from one group by hating and insulting other groups,19141,19216
44,Mrs,19659,19662
45,Clinton deserves and needs our support and votes,20105,20153
46,If her opponent should win we all lose; children youth and adults,20596,20661
47,We can all win with Hillary Clinton,21104,21139
