,sentence,start,end
0,"""I would like to extend my warmest congratulations to Antonio Guterres on his appointment as the next Secretary-General of the United Nations",0,141
1,Throughout his career Mr,570,594
2,Guterres has proven himself to be an advocate for human rights and a champion for the most vulnerable,1023,1124
3,As UN High Commissioner for Refugees he provided help and hope to millions of men women and children who have been forced to flee from their homes,1426,1572
4,And he is a consensus-builder who can bring people together to advance common interests and address common challenges,1882,1999
5,I was heartened that Mr,2381,2404
6,Guterres indicated that gender equality will be a top priority when filling senior positions,2801,2893
7,I strongly support efforts that increase diversity in UN leadership,3270,3337
8,And if Im elected President of the United States I look forward to working with Mr,3775,3857
9,"Guterres and all of our partners to help shape a more peaceful and prosperous future for every global citizen."" ",4318,4429
