,sentence,start,end
0,"""The United States faces new threats to public health from pandemic diseases like those caused by the Ebola and the Zika viruses to the risk of biological weapons and bioterrorism to long-term challenges like more extreme weather and expanding ranges for Lyme disease and water-borne illnesses as a result of climate change",0,323
1,And in a global economy diseases like SARS MERS and avian influenza cannot be contained in their countries of origin,643,759
2,"""But despite these threats we are not investing in public health preparedness and emergency response the way we should to keep our families and communities safe",1065,1225
3,A 2015 study found that spending on public health had fallenxa0 xa0since 2008,1572,1649
4,And uncertain long-term budgets leave our public health agencies dependent on emergency appropriations—meaning that when Congress fails to step up communities are left without the resources they need vaccines languish in development and more people get sick,1988,2245
5,"""That is why as President I will create a Public Health Rapid Response Fund with consistent year-to-year budgets to better enable the CDC HHS FEMA state and local public health departments hospital systems and other federal agencies to quickly and aggressively respond to major public health crises and pandemics",2444,2756
6,I will also ensure that our government has strong leadership and is organized to better support and work with people on the ground facing public health challenges,3001,3163
7,Doctors and public health experts have been warning for months that the Zika virus was likely to reach the continental United States but Congress has failed to pass the Presidents emergency funding request,3445,3650
8,As a result the Zika virus has gained a foothold in Miami and 196 people have already been infected in the city—infections that may have been preventable,3908,4061
9,"""In addition we need to do more to boost our preparedness for biological threats and bioweapons; to support research for new diagnostic tests therapeutic treatments and vaccines for emerging diseases; to build capacity in public health departments; to train the next cadre of public health professionals and ensure that public health and environmental health practices are standard to the educations of medical students; and to provide resources for states and local governments to plan for complex multi-faceted public health threats like the impacts of climate change and build more resilient communities."" ",4181,4789
