,sentence,start,end
0,Thank you,0,9
1,It is so great to be in my second home Florida and in the city of Miami where I have so many wonderful friends and employees,391,515
2,"""New polls have just come in and were leading in battleground states all over this country – including four points here in Florida",887,1017
3,"LA Times has us up 6 points nationwide."" Come November 8th we are going to win Florida and we are going to win the White House",1286,1412
4,"""Its going to be a victory for the people – its going to be a victory for the workers the families the Veterans the everyday citizens."" ""And its going to be a victory for those who havent had reason for hope in a long time."" ""Im campaigning in every community and every part of this country for every last vote",1562,1872
5,"I am running to be a President for all Americans."" ""I just had the most amazing afternoon in Little Haiti and Im going to be campaigning hard for their votes",2023,2180
6,"What incredible people."" Our support comes from all regions all backgrounds and all walks of life",2472,2569
7,You are cops and soldiers carpenters and welders accountants and lawyers young and old rich and poor black white and Hispanic – but above all else you are American,2871,3034
8,Just today I was honored to get the endorsement of recipients of the Medal of Honor and many of our amazing military leaders,3311,3435
9,We now have the endorsements of more than 160 top generals and Admirals,3738,3809
10,We also have the support of 16500 Border Patrol Officers – as well as law enforcement officers across the country,4131,4244
11,And we have the support of millions of patriotic Moms and Dads who go to work every day and make this country run,4535,4648
12,While my opponent slanders you as deplorable and irredeemable I call you hardworking American patriots who love your family and love your country,4954,5099
13,"""Clintons campaign relies on the tired tactic of smearing opponents who question her policies as racists",5431,5535
14,"Its the oldest play in the Democratic play book – and Americans have had enough."" They want solutions and they want better lives – not more petty attacks from failed and discredited politicians",5829,6022
15,People who want their immigration laws enforced and their borders secured are not racists,6340,6429
16,They are patriotic Americans of all backgrounds who want their jobs and families protected,6820,6910
17,People who warn about Radical Islamic Terrorism are not Islamophobes,7314,7382
18,They are decent American citizens who want to uphold our tolerant values and keep our country safe,7759,7857
19,People who support the police and who want crime reduced are not prejudiced,8225,8300
20,They are concerned and loving citizens whose hearts break every time an innocent child is lost to preventable violence,8651,8769
21,Yet while she lives behind gates and walls and guards and raises millions from hedge fund managers and Wall Street donors she slanders and smears working people who just want a fraction of the security enjoyed by our politicians,9049,9277
22,Her comments displayed the same sense of arrogance and entitlement that led her to violate federal law as Secretary of State hide and delete her emails destroy her phones with a hammer put classified information in the reach of our enemies lie to Congress and sell government favors and access through the Clinton Foundation,9443,9767
23,"""Its the same attitude of arrogance and entitlement that explains why she has never taken accountability for the disasters she created in Libya Syria Iraq Iran and all over the world",9974,10156
24,"Its the same reason why she wont take responsibility for her central role in unleashing ISIS."" Her policies have created disaster overseas and poverty at home",10439,10597
25,I am running to reverse these failures and create a New American future,10918,10989
26,That future begins with prosperity at home,11362,11404
27,My economic agenda can be summed up in three words: jobs jobs jobs,11791,11857
28,One of my highest priorities is to bring jobs into our inner cities,12239,12306
29,African-Americans communities have suffered horribly as a result of failed Democratic leadership,12682,12778
30,"""Democrats have run these inner cities for half a century",13150,13207
31,"They control the mayors offices the school boards the city councils and the seats in Congress – and all they have delivered is more poverty more crime and more failing schools."" 45% of African-American children under the age of 6 now live in poverty",13487,13736
32,More than 3000 have been shot in Chicago this year alone,14002,14058
33,58% of African-American youth are not working,14443,14488
34,"""These are the results of the policies embraced by Hillary Clinton and everyone knows that if shes elected the inner cities will get nothing but more pain and more suffering."" Hillary Clinton has been there in Washington for 30 years – her disastrous record speaks for itself",14773,15048
35,The only people she delivers for is her donors,15308,15354
36,I am going to deliver for you the American people,15734,15783
37,If we lower our taxes remove destructive regulations unleash the vast treasure of American energy and negotiate trade deals that put America First then there is no limit to the number of jobs we can create and the amount of prosperity we can unleash,16048,16297
38,My first day in office I am going to order a review of every single regulation issued over the last eight years,16498,16609
39,All needless job-killing regulations will be cancelled,16941,16995
40,Millions of new jobs will come pouring in,17366,17407
41,We are going to lift the restrictions on American energy – which means at least another half a million new jobs a year,17742,17860
42,"""Thats just the beginning."" Also on my first day I am going to ask Congress to send me a bill to immediately repeal and replace disastrous Obamacare – this will instantly save another 2 million jobs",18103,18301
43,"""I am also going to completely reform our trade deals",18573,18626
44,We are going to renegotiate NAFTA stand up to China and keep America out of the TPP,18964,19047
45,"We dont need another massive multinational deal that ties us up and binds us down."" ""Another major reform is going to be school choice",19338,19472
46,"Ive outlined a plan to provide every disadvantaged child in America the freedom to choose the private public magnet or religious school of his or her choice."" This will help lift millions of poor African-American and Hispanic children out of poverty",19706,19955
47,Since President Obama came into office another 2 million Hispanic-Americans have fallen into poverty,20260,20360
48,This is unacceptable,20750,20770
49,To the Hispanic community I say: we are going to protect your jobs we are going to build up your schools and we are going to deliver safety and opportunity for your children,21109,21282
50,Earlier this week I also rolled out a plan to help our mothers and our families get affordable quality childcare for their children,21538,21669
51,On policy after policy we are going to provide opportunity prosperity and security for all Americans,21993,22093
52,We are also going to stand with the Cuban people in their fight against communist oppression,22454,22546
53,"""The Presidents one-sided deal for Cuba benefits only the Castro Regime",22922,22993
54,But all of the concessions that Barack Obama has granted the Castro Regime were done through executive order which means the next President can reverse them – and that is what I will do unless the Castro Regime meets our demands,23288,23516
55,"Those demands will include religious and political freedom for the Cuban people."" ""Lets also talk about Venezuela."" Venezuela is a beautiful vibrant and resource-rich country filled with amazing and hardworking people",23747,23964
56,But Venezuela has been run into the ground by socialists,24318,24374
57,The next President of the United States must stand in solidarity with all people oppressed in our hemisphere and I will stand with the oppressed people of Venezuela yearning to be free,24704,24888
58,Here in America I will push to expand freedom for all of our people,25165,25232
59,"""I am going to lower you taxes; I am going to get rid of massive amounts of unnecessary regulations on business and in your life; Im going to repeal and replace Obamacare; Im going to appoint Justices to the Supreme Court who will follow the Constitution; Im going to rebuild our depleted military and take care of our vets; Im going to save your 2nd amendment; Im going to stop illegal immigration and drugs coming into our country and yes we will build the wall and Im going to renegotiate our disastrous trade deals especially NAFTA – and we will make great trade deals that put the American worker first."" We will rebuild our roads bridges tunnels highways airports schools and hospitals",25262,25953
60,American cars will travel the roads American planes will soar in the skies and American ships will patrol the seas,25966,26080
61,American steel will send new skyscrapers into the clouds,26456,26512
62,American hands will rebuild this nation – and American energy mined from American sources will power this nation,26865,26977
63,American workers will be hired to do the job,27329,27373
64,We will put new American steel into the spine of this country,27722,27783
65,I will fight for every neglected part of this nation – and I will fight to bring us all together as One American People,28079,28198
66,Imagine what our country could accomplish if we started working together as One People under One God saluting One American Flag,28477,28604
67,It is time to break with the bitter failures of the past and to embrace a new inclusive and prosperous American future,28914,29032
68,Jobs will return incomes will rise and new factories will come rushing back to our shores,29329,29418
69,Once more we will have a government of by and for the people,29788,29848
70,We Will Make America Prosperous Again,30255,30292
71,We Will Make America Strong Again,30699,30732
72,And Will Make America Great Again,31139,31172
73,Thank you and God Bless! ,31579,31603
