,sentence,start,end
0,Donald J,0,8
1,Trump for President Inc,424,447
2,announced four new hires in the state of Texas where Mr,863,918
3,Trump has visited several times and continues to lead in almost all state polls,1334,1413
4,Mr,1829,1831
5,"Trump stated ""I love the people of Texas and I am proud to have such a strong team in place in this important state as we work together to Make America Great Again!"" Joshua Jones Deputy Director oversees the statewide grassroots operation and administration",2158,2415
6,He has an MBA is an engineer by trade and a veteran of campaigns at the highest levels including U.S,2664,2764
7,Senate Governor and U.S,3159,3182
8,Congress races,3656,3670
9,Eric Mahroum Field Director oversees Dallas/Fort Worth and north Texas,4122,4192
10,A former candidate for State Board of Education Eric along with his extensive business background brings strong grassroots organization skills and keen political knowledge having worked on several campaigns for President U.S,4561,4785
11,Senate Governor and Congress,5155,5183
12,Kayla Hensley Field Director oversees the Houston area and east Texas,5630,5699
13,She is a social media expert and helped organize grassroots volunteers across the state via one of the first pro-Trump Facebook groups which led to the campaign tapping her to join the campaign full time,6020,6223
14,Paul Janiczek Field Director oversees central south and west Texas,6532,6598
15,A veteran of the U.S,6981,7001
16,Navy and graduate of U.S,7411,7435
17,Naval War College Paul is a former State Director for Concerned Veterans of America served in several roles in the U.S,7797,7915
18,State Department and mobilized veterans for McCain for President in 2008,8319,8391
19,"""The Trump Campaigns Texas operation is headquartered in Austin (815-A Brazos Street PMB 403 Austin TX 78701) and led by State Director Corbin Casteel."" ",8845,8997
