,sentence,start,end
0,Today Donald J,0,14
1,Trump received the endorsement of several prominent community leaders in Florida prior to his rally in Pensacola where more than 10000 were in attendance,493,646
2,Businessman George Scarborough Pastor Carl Gallups 2nd Amendment activist Clover Lawson and Veterans Terry Busbee Sr,1125,1241
3,Gary ONeal and Capt,1671,1690
4,Allen Brady each spoke prior to Mr,2123,2157
5,Trumps speech in addition to Kathryn ‘Kat Gates-Skipper the first female Marine in Combat Operations who endorsed Mr,2549,2665
6,"Trumps candidacy in November at his Sarasota rally."" Mr",3033,3088
7,"Trump stated ""It is my great honor to receive endorsements from each of these incredible people",3466,3561
8,"Their support for my message and endorsement of my candidacy for President of the United States means so much to me and with their help and the help of so many great people in Florida and all over the country we will Make America Great Again!"" George Scarborough Pensacola resident and brother of former Congressman and TV personality Joe Scarborough is the owner of Scarborough Consulting and regional Director of The Studer Group",3721,4152
9,Pastor Gallups (Minister for Prayer) is an author radio and television talk show host and senior pastor of Hickory Hammock Baptist Church in Milton FL,4329,4479
10,Clover Lawson is a founding partner of Lawson & Palmer LLC,4814,4872
11,Clover is one of the foremost women in the firearms industry and represents world class competitive shooters as well as some of the best manufacturers in tactical gear,5195,5362
12,"""Capt",5684,5689
13,"Allen Brady served 32 years in the US Navy including 4 years at the US Naval Academy and 6 years as a P.O.W in Vietnams infamous Hanoi Hilton."" ""Terry Busbee Sr",6029,6189
14,served multiple tours in Vietnam before moving into politics,6507,6567
15,Seeking real and positive change for America Busbee is leaving the Democratic Party to endorse Donald J,6937,7040
16,"Trump for President because ‘hes the smartest man for the job."" ""Chief Warrant Officer (Ret) Gary ONeal is a US Army Ranger and President of Worldwide Army Rangers Association",7382,7557
17,"A biography titled ‘American Warrior: The True Story of A Legendary Ranger detailing ONeals extraordinary service was released in 2013."" ",8036,8172
