,sentence,start,end
0,Sadly with this endorsement of Hillary Clinton - who is totally owned by Wall Street - the leadership of the AFL-CIO has made clear that it no longer represents American workers,0,177
1,Instead they have become part of the rigged system in Washington D.C,605,673
2,that benefits only the insiders,1049,1080
3,I believe their members will be voting for me in much larger numbers than for her,1451,1532
4,Hillary Clinton and her husband have made hundreds of millions of dollars doing favors and selling access to Wall Street special interests and oppressive foreign regimes,1853,2022
5,"As Bernie Sanders said ""Why over her political career has Wall Street been the major campaign contributor to Hillary Clinton?"" They own Hillary Clinton and she will do whatever they tell her to",2313,2506
6,"Bernie Sanders is also 100% correct when he says that Hillary Clinton ""voted for virtually every trade agreement that has cost the workers of this country millions of jobs."" Hillary supported NAFTA and she supported the trade deal with China Vietnam South Korea – and if elected will implement the TPP she loves so much – guaranteed",2676,3008
7,"""While Secretary of StateHillary Clinton racked up a $1 trillion trade deficit with China – all while China was funneling a small fortune to Hillary via speaking fees paid to Bill."" On immigration Hillary Clinton sides with Wall Street too",3156,3395
8,"Bernie Sanders correctly warned that open borders ""would substantially lower wages in this country"" and yet Hillary has put forward a plan that would completely open Americas borders in her first 100 days in office",3630,3844
9,On energy Hillary Clinton wants to shut down the coal mines block the Keystone pipeline and destroy millions of good union jobs through executive action,4100,4252
10,Her massive proposed increase in taxes and regulations will also send millions of jobs overseas,4616,4711
11,Hillary Clinton will economically destroy poor communities African-American and Hispanic workers on trade immigration crime energy taxes regulation and everything else,5113,5280
12,Finally union workers have long believed in having an open and free society,5665,5740
13,Yet Hillary takes money from regimes that support the murder of gays and the enslavement of women while pushing to bring people into America who want to do the exact same thing to our people,6038,6228
14,I only want to bring people into our country who will love and support everyone,6500,6579
15,Hillary Clinton is the enemy of working people and is the best friend Wall Street ever had,6889,6979
16,I will fight harder for American workers than anyone ever has and I will fight for their right to elect leaders who will do the same,7335,7467
17,I will be a president for ALL Americans,7853,7892
