,sentence,start,end
0,"""Its so great to be here tonight",0,32
1,"I am honored to also be joined this evening by Governor Scott Walker Chairman Reince Priebus and Mayor Rudy Giuliani."" We are at a decisive moment in this election",430,593
2,Last week I laid out my plan to bring jobs back to our country,966,1028
3,Yesterday I laid out my plan to defeat Radical Islamic Terrorism,1368,1432
4,Tonight I am going to talk about how to make our communities safe again from crime and lawlessness,1753,1851
5,Let me begin by thanking the law enforcement officers here in this city and across this country for their service and sacrifice in difficult times,2161,2307
6,The violence riots and destruction that have taken place in Milwaukee is an assault on the right of all citizens to live in security and peace,2588,2730
7,Law and order must be restored,3044,3074
8,It must be restored for the sake of all but most especially the sake of those living in the affected communities,3417,3529
9,The main victims of these riots are law-abiding African-American citizens living in these neighborhoods,3874,3977
10,It is their jobs their homes their schools and communities which will suffer as a result,4341,4429
11,There is no compassion in tolerating lawless conduct,4817,4869
12,Crime and violence is an attack on the poor and will never be accepted in a Trump Administration,5235,5331
13,The narrative that has been pushed aggressively for years now by our current Administration and pushed by my opponent Hillary Clinton is a false one,5640,5788
14,The problem in our poorest communities is not that there are too many police the problem is that there are not enough police,6087,6211
15,More law enforcement more community engagement more effective policing is what our country needs,6541,6637
16,Just like Hillary Clinton is against the miners she is against the police,6976,7049
17,You know it and I know it,7405,7430
18,Those peddling the narrative of cops as a racist force in our society – a narrative supported with a nod by my opponent – share directly in the responsibility for the unrest in Milwaukee and many other places within our country,7700,7927
19,They have fostered the dangerous anti-police atmosphere in America,8228,8294
20,Everytime we rush to judgment with false facts and narratives – whether in Ferguson or in Baltimore – and foment further unrest we do a direct disservice to poor African-American residents who are hurt by the high crime in their communities,8610,8850
21,"""During the last 72 hours while protestors have raged against the police here in Milwaukee another 9 were killed in Chicago and another 46 were wounded",9093,9244
22,"More than 2600 people have been shot in Chicago since the beginning of the year and almost 4000 killed in President Obamas hometown area since his presidency began."" How are we serving these American victims by attacking law enforcement officers? The war on our police must end",9461,9738
23,It must end now,10003,10018
24,The war on our police is a war on all peaceful citizens who want to be able to work and live and send their kids to school in safety,10303,10435
25,Our job is not to make life more comfortable for the rioter the looter the violent disruptor,10686,10778
26,Our job is to make life more comfortable for the African-American parent who wants their kids to be able to safely walk the streets,11074,11205
27,Or the senior citizen waiting for a bus,11534,11573
28,Or the young child walking home from school,11924,11967
29,For every one violent protestor there are a hundred moms and dads and kids on that same city block who just want to be able to sleep safely at night,12251,12399
30,My opponent would rather protect the offender than the victim,12708,12769
31,Hillary Clinton-backed policies are responsible for the problems in the inner cities today and a vote for her is a vote for another generation of poverty high crime and lost opportunities,13078,13265
32,I care too much about my country to let that happen,13564,13615
33,We all care too much about our country to let that happen,13945,14002
34,Good policing saves lives,14359,14384
35,My dear friend Rudy Giuliani knows a thing or two about this,14734,14794
36,The policies put into place by Rudy ultimately brought down crime by 76 percent and murder by 84 percent,15116,15220
37,Think of how many families were saved how much heartache was prevented when police were put into communities and criminals were removed,15529,15664
38,"""Imagine how many lives could have been saved all across this country if Democratic politicians hadnt blocked in their cities what Rudy did in New York City? Ill make sure we deliver safe neighborhoods here in Milwaukee and all across this country."" ""Its easy for Hillary Clinton to turn a blind eye to crime when she has her own private security force",15861,16213
39,"I believe all Americans not just the powerful are entitled to security."" ""Hillary Clinton has had her chance",16398,16506
40,She failed,16873,16883
41,"Now its time for new leadership."" The Hillary Clinton agenda hurts poor people the most",17260,17347
42,There is no compassion in allowing drug dealers gang members and felons to prey on innocent people,17687,17785
43,It is the first duty of government to keep the innocent safe and when I am President I will fight for the safety of every American – and especially those Americans who have not known safety for a very very long time,18027,18242
44,I am asking for the vote of every African-American citizen struggling in our country today who wants a different future,18482,18601
45,It is time for our society to address some honest and very difficult truths,18948,19023
46,The Democratic Party has failed and betrayed the African-American community,19428,19503
47,Democratic crime policies education policies and economic policies have produced only more crime more broken homes and more poverty,19878,20009
48,"""Let us look at the situation right here in Milwaukee a city run by Democrats for decade after decade",20364,20465
49,Last year killings in this city increased by 69 percent plus another 634 victims of non-fatal shootings,20810,20913
50,18-29-year-olds accounted for nearly half of the homicide victims,21294,21359
51,The poverty rate here is nearly double the national average,21745,21804
52,Almost 4 in 10 African-American men in Milwaukee between the ages of 25-54 do not have a job,22166,22258
53,Nearly four in 10 single mother households are living in poverty,22601,22665
54,55 public schools in this city have been rated as failing to meet expectations despite ten thousand dollars in funding per-pupil,22995,23123
55,"There is only a 60% graduation rate and its one of the worst public school systems in the country."" 1 in 5 manufacturing jobs has disappeared in Milwaukee since we fully opened our markets to China and many African-American neighborhoods have borne the brunt of this hit",23362,23632
56,To every voter in Milwaukee to every voter living in every inner city or every forgotten stretch of our society I am running to offer you a better future,23851,24004
57,"""The Democratic Party has taken the votes of African-Americans for granted",24317,24391
58,Theyve just assumed theyll get your support and done nothing in return for it,24744,24821
59,"Its time to give the Democrats some competition for these votes and its time to rebuild the inner cities of America – and to reject the failed leadership of a rigged political system."" ""Im not part of the corrupt system",25089,25308
60,In fact the corrupt system is trying to stop me,25560,25607
61,Ive been paying my own way,25969,25995
62,"The voters in the Republican Party this year defied the donors the consultants the power brokers and choose a nominee from outside our failed and corrupt and broken system."" The other party – the Democratic Party – nominated the personification of special interest corruption",26264,26539
63,The Democratic Party rigged the nomination to give it to Hillary Clinton thus giving the soul of their party this year to the special interests,26795,26938
64,I am running to listen to your voice to hear your cries for help,27262,27326
65,The quiet voices in our society not the loudest demonstrators need to have their demands heard,27670,27764
66,Jobs,28140,28144
67,Safety,28563,28569
68,Opportunity,28990,29001
69,Fair and equal representation,29417,29446
70,"""We reject the bigotry of Hillary Clinton which panders to and talks down to communities of color and sees them only as votes not as individual human beings worthy of a better future",29780,29962
71,"She doesnt care at all about the hurting people of this country or the suffering she has caused them."" ""The African-American community has been taken for granted for decades by the Democratic Party",30202,30399
72,"Its time to break with the failures of the past – I want to offer Americans a new future."" It is time for rule by the people not rule by special interests",30631,30785
73,Every insider getting rich off of our broken system is throwing money at Hillary Clinton,31054,31142
74,The hedge fund managers the Wall Street investors the professional political class,31505,31587
75,"""Its the powerful protecting the powerful."" Insiders fighting for insiders",31985,32059
76,I am fighting for you,32472,32493
77,"""When we talk about the insider who are we talking about? Its the comfortable politicians looking out for their own interests",32879,33004
78,Its the lobbyists who know how to insert that perfect loophole into every bill,33342,33420
79,Its the financial industry that knows how to regulate their competition out of existence,33796,33884
80,"The insiders also include the media executives anchors and journalists in Washington Los Angeles and New York City who are part of the same failed status quo and want nothing to change."" Every day you pick up a newspaper or turn on the nightly news and you hear about some self-interest banker or some discredited Washington insider says they oppose our campaign",34104,34466
81,Or some encrusted old politician says they oppose our campaign,34693,34755
82,Or some big time lobbyist says they oppose our campaign,35131,35186
83,"""I wear their opposition as a badge of honor",35563,35607
84,Because it means I am fighting for REAL change not just partisan change,35955,36026
85,I am fighting – all of us across the country are fighting – for peaceful regime change in our own country,36349,36454
86,"The media-donor-political complex thats bled this country dry has to be replaced with a new government of by and for the people."" The leadership class in Washington D.C",36742,36910
87,of which Hillary Clinton has been a member for thirty years has abandoned the people of this country,37200,37300
88,I am going to give the people their voice back,37628,37674
89,Think about it,38053,38067
90,The people opposing our campaign are the same people who have left our border open and let innocent people suffer as a result,38397,38522
91,The people opposing our campaign are the same people who have led us into one disastrous foreign war after another,38821,38935
92,The people opposing our campaign are the same people who lied to us about one trade deal after another,39236,39338
93,"""Arent you tired of a system that gets rich at your expense?"" ""Arent you tired of big media big businesses and big donors rigging the system to keep your voice from being heard?"" Are you ready for change? Are you ready for leadership that puts you the American people first? That puts your country first? That puts your family first? ""Lets talk about what this means for the inner cities of America",39496,39894
94,Its time to break through the television noise the entrenched interests,40085,40156
95,"I understand that a lot of powerful people in our political system – a lot of people whove created our problems – will lose a lot of their contracts and their special gigs if African-American voters and all minority voters support my campaign."" ""Its time to stop making the special interests rich",40396,40692
96,"Its time to make the American people rich."" I am going to Make America Wealthy again",40926,41010
