,sentence,start,end
0,Today Donald J,0,14
1,Trump received the support of former U.S,439,479
2,Senator Bob Dole,904,920
3,Senator Dole is also a former Republican Presidential nominee and a former Republican National Committee chairman,1345,1458
4,Mr,1883,1885
5,"Trump stated ""I want to thank Senator Bob Dole for his endorsement",2310,2376
6,"He is a wonderful man and it is a great honor to have his support."" Senator Dole said ""The voters of our country have turned out in record numbers to support Mr",2674,2834
7,Trump,3144,3149
8,It is important that their votes be honored and it is time that we support the partys presumptive nominee Donald J,3488,3602
9,Trump,3937,3942
10,I plan to attend the RNC convention in Cleveland to show my support for our party and our ticket as I have done my entire life,4258,4384
11,We must unite as a party to defeat Hillary Clinton,4760,4810
12,"Donald Trump is our partys presumptive nominee and our best chance at taking back the White House this November."" ",5218,5331
