,sentence,start,end
0,Let me be clear—I am pro-life,0,29
1,I support that position with exceptions allowed for rape incest or the life of the mother being at risk,435,538
2,I did not always hold this position but I had a significant personal experience that brought the precious gift of life into perspective for me,944,1086
3,My story is well documented so I will not retell it here,1386,1442
4,However what I will do with the remaining space is express my feelings about life and the culture of life as we approach the 43nd anniversary of the Roe v,1718,1872
5,Wade,2180,2184
6,I build things,2576,2590
7,There is a process involved in building things,2960,3006
8,We tap into a lot of disciplines with engineering being one of the most important,3350,3431
9,The rules for putting structures together are as strict as are the rules of physics,3751,3834
10,These rules have stood the test of time and have become the path to putting together structures that endure and are beautiful,4152,4277
11,America when it is at its best follows a set of rules that have worked since our founding,4555,4644
12,"One of those rules is that we as Americans revere life and have done so since our Founders made it the first and most important of our ""unalienable"" rights",4914,5069
13,Over time our culture of life in this country has started sliding toward a culture of death,5356,5447
14,Perhaps the most significant piece of evidence to support this assertion is that since Roe v,5774,5866
15,Wade was decided by the Supreme Count 43 years ago over 50 million Americans never had the chance to enjoy the opportunities offered by this country,6170,6318
16,They never had the chance to become doctors musicians farmers teachers husbands fathers sons or daughters,6626,6731
17,They never had the chance to enrich the culture of this nation or to bring their skills lives loves or passions into the fabric of country,7045,7183
18,They are missing and they are missed,7528,7564
19,The Supreme Court in 1973 based their decision on imagining rights and liberties in the Constitution that are nowhere to be found,7890,8019
20,Even if we take the court at its word that abortion is a matter of privacy we should then extend the argument to the logical conclusion that private funds then should subsidize this choice rather than the half billion dollars given to abortion providers every year by Congress,8236,8512
21,Public funding of abortion providers is an insult to people of conscience at the least and an affront to good governance at best,8757,8885
22,If using taxpayer money to facilitate our slide to a culture of death was not enough the 1973 decision became a landmark decision demonstrating the utter contempt the court had for federalism and the 10th Amendment,9142,9356
23,Roe v,9674,9679
24,Wade gave the court an excuse to dismantle the decisions of state legislatures and the votes of the people,10049,10155
25,This is a pattern that the court has repeated over and over again since that decision,10477,10562
26,Perhaps Roe v,10930,10943
27,Wade became yet another incidence of disconnect between the people and their government,11325,11412
28,We are in the middle of a presidential political cycle and votes will be cast in just days,11746,11836
29,The citizens of this nation will have the chance to vote for candidates that are aligned with their individual worldviews,12150,12271
30,It is my hope that they will choose the builder the man who has the ability to imagine the greatness of this nation,12560,12675
31,The next President must follow those principles that work best and that reinforce the reverence Americans hold for life,12988,13107
32,A culture of life is too important to let slip away for convenience or political correctness,13517,13609
33,It is by preserving our culture of life that we will Make America Great Again,14039,14116
