,sentence,start,end
0,The Donald J,0,12
1,Trump for President Inc,469,492
2,campaign officially filed its first report with the FEC revealing Q2 donations and spending,949,1040
3,The FEC Statistics capture financial data from the campaign between April 2 2015 and June 30 2015,1497,1594
4,In total the campaign had spent approximately $1.5 million dollars as of June 30th,2005,2087
5,Mr,2497,2499
6,Trump is self-funding his campaign; however there were 1052 donations during this time period amounting to a total of $92249.33 in unsolicited donations,2878,3030
7,94% of the donors donated under $250.00,3391,3430
8,The average donation to the Trump campaign for those that donated less than $250 was $40.14,3829,3920
9,98% of the donations received were received on-line to the DonaldJTrump.com website,4276,4359
10,Mr,4774,4776
11,Trump loaned the committee $1.8 million and the campaign has a cash on hand balance of $487736,5171,5265
12,Mr,5664,5666
13,Trumps Campaign Manager Corey R,6106,6137
14,"Lewandowski stated ""Mr",6573,6595
15,Trump has surged in the most recent national polls which show him leading the crowded GOP field including the recently released USA Today/ Suffolk University poll one of several showing Mr,6937,7125
16,"Trump as a definitive top tier choice for the 2016 Republican Presidential primary."" ""Mr",7440,7528
17,"Trump will be in Laconia New Hampshire on Thursday for a rally; he will then travel to Arkansas on Friday to meet with voters at the Republican Party of Arkansass 2015 Reagan Rockefeller Dinner and will visit Iowa on Saturday where he will attend the Family Leadership Summit in Ames."" Press Contact: emailxa0protected 203-273-0226 ",7823,8154
