,sentence,start,end
0,Yesterday Donald J,0,18
1,Trump filed his Personal Financial Disclosure (PFD) forms with the Federal Election Commission (FEC) his second annual filing since announcing his candidacy for President of the United States in June of last year,436,648
2,Mr,1066,1068
3,"Trump stated ""I filed my PFD which I am proud to say is the largest in the history of the FEC",1415,1508
4,Despite the fact that I am allowed extensions I have again filed my report which is 104 pages on time,1771,1872
5,Bernie Sanders has requested on the other hand an extension for his small report,2173,2253
6,This is the difference between a businessman and the all talk no action politicians that have failed the American people for far too long,2562,2699
7,I have built an incredible company and have accumulated one of the greatest portfolios of real estate assets many of which are considered to be among the finest and most iconic properties in the world,2959,3159
8,"This is the kind of thinking the country needs."" The newly filed PFD shows a tremendous cash flow and a revenue increase of approximately $190 million dollars (which does not include dividends interest capital gains rents and royalties)",3363,3599
9,This income was utilized among other things for the funding of construction projects at various multi-million dollar developments reduction of debt and the funding of the campaign,3892,4071
10,"""Mr",4466,4469
11,Trumps income as reported in the PFD statement is in excess of $557 million (which does not include dividends interest capital gains rents and royalties),4861,5014
12,Mr,5425,5427
13,Trumps net worth has increased since the last statement was filed in July of 2015,5873,5954
14,As of this date Mr,6400,6418
15,"Trumps net worth is in excess of $10 billion dollars."" ",6864,6918
