,sentence,start,end
0,Donald J,0,8
1,Trump issued the following statement today on a new report from the Center for Immigration Studies based on U.S,492,603
2,"Census Bureau Data showing record immigration growth in the United States: ""Record rates of immigration have produced lower wages and higher unemployment for U.S",1087,1248
3,workers,1680,1687
4,Pew polling shows 83 percent of all voters - Democrats Republicans and Independents - think immigration should be frozen or reduced,2110,2241
5,The biggest beneficiaries of allowing fewer foreign workers into our country would be minority workers including all immigrants now living here who are competing for jobs benefits and community resources against record waves of foreign workers,2542,2785
6,Limiting job competition would reopen pathways to middle-class stability and shrink welfare rolls,3132,3229
7,In addition it would relieve overcrowding in our schools and hospitals that afflict our poorest communities,3625,3732
8,Yet Senators Cruz and Rubio have led the charge for even higher immigration rates - a policy supported by only 7 percent of the Republican electorate,4061,4210
9,"When I am President we will listen to the people - not the special interests - and get immigration numbers under control as the voters have demanded."" The report can be viewed here:  ",4597,4778
