,sentence,start,end
0,Thanks Maria for that introduction and for the work you and your organization do to honor these stolen American lives – and to advocate for justice on behalf of all American victims,0,181
1,I am honored to be here today and to shine a national spotlight on a group of victims who have been forced into the shadows,543,666
2,Your stories are not featured in the news you have no demonstrators taking to the streets on your behalf you have no special interests taking up your cause and politicians ignore your cries for help,914,1112
3,But I never will,1421,1437
4,"""I have met many incredible people during the course of this campaign",1816,1885
5,"But nothing has moved me more deeply than the time Ive spent with the families of the Remembrance Project and the incredible strength and courage youve shown in your often lonely fight for justice."" You are heroes",2167,2380
6,And your actions will help us to save the next thousand American citizens from losing their brothers sisters sons daughters or parents,2654,2788
7,The most fundamental duty of government is to protect American lives,3129,3197
8,Anyone who fails to understand this is not fit to hold public office,3587,3655
9,"""Every day our border remains open innocent Americans are needlessly victimized",4036,4115
10,Every day Sanctuary Cities are left in place innocent Americans are put in harms way,4464,4548
11,"Every day we fail to enforce our laws is a day when a loving parent is at risk of losing their child."" ""Its happening every single day."" All across this country dining room tables have an empty seat at the family dinner table because our government abandoned its duty and failed to enforce the laws",4756,5054
12,There are a lot of numbers in the immigration debate,5299,5351
13,But let me give you the most important number of all,5690,5742
14,That most important number of all is the number of American lives it is acceptable to lose in the name of illegal immigration,6044,6169
15,Let me tell you what that number is: ZERO,6486,6527
16,Our nation should not accept one lost American life because our country failed to enforce its laws,6864,6962
17,What do you tell to the mother who just buried her daughter because someone was released at the border who should have been sent home? What do you tell to the young boy who will grow up without a dad because a criminal was deported five times but was allowed to keep coming back into the country? What do you tell the wife who has lost her husband because a Sanctuary City released an illegal immigrant from behind bars? This must end,7098,7532
18,And it must end right now,7701,7726
19,Not one more American life should be given up in the name of open borders,8067,8140
20,"""Just look at whats happened in the last few days."" Last week it was reported that authorities detained an illegal immigrant in the Austin area who is responsible for nearly a dozen sexual assaults and had been previously deported five times within a three-year period",8389,8657
21,"""Earlier this week in Kansas a Sheriffs Department Master Deputy was killed apparently by an illegal immigrant",8937,9047
22,The driver was previously arrested for a DUI in California in 2001 and for a traffic violation in Kansas in 2013,9386,9498
23,"Deputy Collins was killed only hours after his daughters fourth birthday."" A few days ago two correctional officers in California were critically wounded after being shot by an illegal immigrant who overstayed his visa",9782,10000
24,This individual had been convicted for child rape and was slated to be deported – but his home country refused to take him back so he was simply released,10256,10409
25,One of the victims has six children is an Air Force Veteran and a high school football coach – the other victim is a mother and a grandmother,10640,10781
26,"""When Hillary Clinton was Secretary of State the matter of this country refusing to take back their deported citizens came before Hillary Clintons desk",11060,11211
27,"But she failed to take forceful action and ignored the federal law requiring her to suspend visas to countries that dont take back their citizens."" ""According to a report from the Boston Globe from the year 2008 through 2014 nearly 13000 criminal aliens were released back into U.S",11448,11729
28,communities because their home countries would not take them back,12000,12065
29,"Most of these 13000 releases occurred on Hillary Clintons watch – she had the power and the duty to stop it cold and she didnt do it."" Now my opponent will never meet with you",12356,12531
30,She will never hear your stories,12805,12837
31,She will never share in your pain,13186,13219
32,She will only meet with the donors and the special interests and the open border advocates,13560,13650
33,Her plan calls for total amnesty in the first 100 days which means Obamacare Social Security and Medicare for illegal immigrants,13980,14108
34,Her plan calls for catch-and-release on the border,14494,14544
35,Sanctuary Cities,14989,15005
36,Ignoring visa overstays,15467,15490
37,Closing detention centers,15957,15982
38,And a virtual end to immigration enforcement in the United States of America,16420,16496
39,Hillary Clinton has even announced that she plans to go around Congress and implement amnesty by executive order – violating our Constitution and putting the entire nation in grave peril,16843,17029
40,Hillary Clinton is the first person to ever run for the Presidency of a country effectively proposing to abolish the borders around that country,17314,17458
41,"""But the media doesnt want you to know any of that",17775,17825
42,So theyll never ask her any questions about her plan,18191,18243
43,Like how shell afford to give lifetime welfare and entitlements to illegal immigrants or how many people will be victimized because of the illegal immigrants that will be released from federal custody – or at the border,18540,18759
44,"Shes not asked to explain what shell say to the American workers who lose their jobs when she prints out millions of work permits for those here against the law."" Your cause and your stories are ignored by our political establishment because they are determined to keep our border open at any cost",18918,19215
45,To them your presence is just too inconvenient,19468,19514
46,But help is coming,19896,19914
47,On November 8th we are going to win the White House and we are going to deliver justice for every American family and every American victim,20236,20375
48,Together we will save American lives – and prevent the next thousand American parents from suffering the same fate as the people in the room today,20640,20786
49,Since 2013 alone the Obama Administration has allowed 300000 criminal aliens to return back into U.S,21119,21219
50,communities – these are individuals encountered or identified by ICE but who were not detained or processed for deportation,21568,21691
51,"""According to the federal governments own data there are more than 2 million convicted criminal illegal immigrants inside the United States right now",22035,22184
52,However this figure does not even include the many individuals who have committed crimes but escaped justice fled the jurisdiction or were otherwise never caught,22518,22679
53,"Many crimes committed by people here illegally remain open cases."" At the same time hundreds of individuals who have been given visas and refugee admissions into this country have subsequently been charged with terrorism",22970,23190
54,We are admitting people here with no idea who they are or what they believe,23495,23570
55,"""Whether its drugs terrorism or violent crime our government is utterly failing in its core mission to defend and protect the people of this country",23900,24048
56,"The Border Patrol Agents who endorsed me warned that Hillary Clintons plan would put the entire country in grave danger – they called it radical deeply dangerous and warned it would trigger an unprecedented national crisis."" ""Lets just remember our goal – to prevent the next family from suffering the same terrible fate."" That is what is at stake in this election",24229,24593
57,So I am now going to invite some of the bravest people I know to come up to the stage and speak,24755,24850
58,INVITE FAMILIES TO SPEAK These wounded American families have been alone,25146,25218
59,But they are alone no longer,25612,25640
60,I am here standing with you,26034,26061
61,The American people are here standing with you,26455,26501
62,And come November your long awaited day of justice will finally arrive,26895,26965
