,sentence,start,end
0,Today Donald J,0,14
1,Trump was endorsed by Brian France Chairman & CEO of NASCAR popular retired driver Bill Elliott and active drivers Chase Elliott Ryan Newman and David Lee Regan,442,602
2,France Elliott and the drivers endorsed Mr,1030,1072
3,Trump at a rally attended by thousands in Valdosta Georgia just one day before the Super Tuesday primary,1450,1554
4,Mr,1921,1923
5,"Trump said ""I am proud to receive the endorsement of such an iconic brand and a quality person such as Brian",2288,2396
6,Brian has a wonderful family and is an incredibly successful business person,2714,2790
7,"I have great respect for Brian and I am grateful for his support and that of Bill Elliott one of the best drivers in history and active stock car racers including his son Chase Elliott Ryan Newman and David Lee Regan."" Brian France added ""Mr",3045,3286
8,Trump is changing American politics forever and his leadership and strength are desperately needed,3557,3655
9,He has had an incredible career and achieved tremendous success,4024,4087
10,"This is what we need for our country."" Bill Elliott said ""It is my great honor to endorse Mr",4445,4537
11,Trump for President of the United States,4924,4964
12,"He is a leader representing strength and common sense solutions."" These influential endorsements come just days after former Presidential candidate and New Jersey   and   recognized by many as the conservative soul of the U.S",5296,5517
13,Senate offered their endorsements of the republican frontrunner,5939,6002
14,Mr,6474,6476
15,Trump continues to dominate in state and national polls with the most recent survey from CNN showing Mr,6948,7051
16,Trump with  ,7523,7533
