,sentence,start,end
0,"""Hello",0,6
1,Its so great to be back here with all of you tonight,426,478
2,I want to thank my friend Congressman Jim Clyburn; Don Peebles; Representative Butterfield; members of the Congressional Black Caucus; and congratulate all of the honorees,898,1069
3,On a personal note I want to recognize a dear friend who is retiring after 46 years Congressman Charles Rangel,1441,1551
4,He is one of a kind and we are grateful for your years of service,1856,1921
5,"""And what can I say about one of the best Presidents this country has ever had Barack Obama? All through this campaign I have made the point over and over again Presi-dent Obama saved our country from a second Great Depression",2158,2384
6,He brought Osama bin Laden to justice,2661,2698
7,And so much more,3061,3077
8,I for one dont think he gets the credit he deserves for doing what hes done on behalf of our country and the world,3386,3500
9,And its not just the President hes been but the man he is,3781,3838
10,Even when hateful nonsense is thrown their way Barack Michelle their two beautiful daughters have represented our country with class grace and integrity,4152,4304
11,As Michelle says When others go low we go high,4616,4662
12,I know I speak for not just everyone in this room but so many tens of millions of Americans: Mr,4980,5075
13,"President not only do we know you are an American youre a great American! And you make us all proud to be Americans too."" Let me thank the leadership of the CBC Foundation for this great honor and to thank all of my friends in the Congressional Black Caucus for it as well",5267,5539
14,I dedicate it to all the trailblazers who came before me who blazed trails that I could follow in their footsteps – Barbara Jordan,5731,5861
15,Shirley Chisholm,6200,6216
16,I would not be standing here without them,6600,6641
17,Generations of women and men who struggled and sacrificed and cleared a path for all of us,6998,7088
18,"""This award is also for everyone out there helping to break down the barriers holding Americans back to leaders like all of you and to a rising generation of young activists",7368,7541
19,To all those on the front lines dedicated to the proposition that in America every single child deserves the chance to fulfill his or her God-given potential,7806,7963
20,This has been the cause of my life ever since I went to work for the Childrens Defense Fund all those years ago,8235,8346
21,"And Im going to close my campaign the way I began my career and the way that I will serve as your president focused on opportunities for our children and fairness for our families."" ""We have so much work to do together",8562,8780
22,Ive heard many heartbreaking stories over this campaign,9065,9120
23,One was from Tianna Gaines-Turner a working mother to three children from Northeast Philadelphia,9499,9595
24,She testified at the DNC platform meeting in June and told us how her husband had been laid off and she worked in a part-time job,9910,10039
25,She said shed been hungry more times than she could count and that life felt like a maze because she faced barriers no matter which way she turned,10279,10425
26,But despite all of this Tianna has hope,10730,10769
27,She still believes that her 8-year-old daughter will be president one day,11115,11188
28,And she believes that this election can make all the difference in the world to her and her family,11512,11610
29,"Lets prove her right."" ""As a country we have a moral obligation to give her family and every family a chance to rise up and reach their dreams",11874,12016
30,That is whats at stake in this election,12307,12346
31,Its not about golf course promotions or birth certificate,12694,12751
32,"It comes down to"" who will fight for the forgotten who will invest in our children and who will really have your back in the White House",13053,13189
33,"""We need ideas not insults real plans to help struggling Americans in communities that have been left out and left behind not prejudice and paranoia",13458,13606
34,We cant let Barack Obamas legacy fall into the hands of someone who doesnt understand that whose dangerous and divisive vision for our country will drag us backwards,13895,14060
35,"Instead we need to come together to get incomes rising with a higher minimum wage to invest in neglected communities with efforts like Jim Clyburns 10-20-30 plan to get guns out of the hands of dangerous people to fight for a criminal justice system that actually delivers justice and to make sure that all kids have good schools and good teachers no matter what zip codes they live in."" ""When you really think about it the choice this November is about so much more than Democrats and Republicans",14160,14657
36,As Michelle Obama said at the Democratic convention its about who will have the power to shape our children for the next four years of their lives,14749,14895
37,Its also about the kind of country we want to be what we want to leave behind for future generations,15166,15266
38,I thank everyone here who has been fighting for this vision over so many years,15552,15630
39,I thank all who have supported me,15953,15986
40,I want you to know Im not taking your vote or anyones vote for granted,16310,16380
41,Im working every single day to earn your support,16706,16754
42,"And I need your help over the next 52 days to bring our campaign across the finish line together."" Barbara Jordan famously said that a government is invigorated when each of us is willing to participate in shaping the future of this nation",17022,17261
43,So to everyone here tonight please keep doing what youre doing but also help to register voters,17526,17621
44,Tell others about the clear choice in this election,17956,18007
45,In some states early voting is nearly here so we need to keep the pressure on,18334,18411
46,Lets send a loud and clear message once and for all: We are stronger together,18815,18892
47,And no matter what remember this: Love trumps hate,19296,19346
48,"Thank you all very much!"" ",19750,19775
