,sentence,start,end
0,Today Donald J,0,14
1,Trump announced that Paul J,493,520
2,Manafort will serve as his campaigns Convention Manager,999,1054
3,Mr,1533,1535
4,Manafort is volunteering his considerable insight and expertise because of his belief that Mr,2014,2107
5,Trump is the right person for these difficult times,2586,2637
6,He will be responsible for transitioning the Trump campaigns activities as they relate to Mr,3059,3151
7,"Trumps nomination at the convention in Cleveland Ohio."" ""Mr",3556,3615
8,Manaforts experience spans over three decades of working on U.S,4039,4102
9,presidential campaigns and includes work on conventions for Presidents Gerald Ford Ronald Reagan and George H.W,4499,4610
10,Bush as well as Republican Presidential nominee Bob Dole,4996,5052
11,Mr,5490,5492
12,Trump will use Mr,5942,5959
13,"Manaforts years of experience to support his efforts in all aspects of the convention as he closes in on the Republican nomination for President."" Currently Mr",6318,6477
14,Manafort is an attorney and founding partner of DMP International LLC where he has been active in business and international affairs for the last 20 years,6768,6922
15,Previously he was a partner at BMS&K for 15 years and worked on dozens of international political campaigns in an effort to bring democratic expertise to foreign countries,7204,7375
16,He served as a director of OPIC following his appointment by President Reagan and was on the Investment Policy Advisory Committee at the Office of the US Trade Representative,7657,7831
17,Mr,8195,8197
18,"Trump stated ""Paul is a great asset and an important addition as we consolidate the tremendous support we have received in the primaries and caucuses garnering millions more votes than any other candidate",8557,8761
19,Paul Manafort and the team I am building bring the needed skill sets to ensure that the will of the Republican voters not the Washington political establishment determines who will be the nominee for the Republican Party,8998,9218
20,"I look forward to winning the nomination and ultimately the presidency in order to Make America Great Again."" On his appointment Mr",9495,9626
21,"Manafort said ""I am honored to serve Mr",9988,10027
22,Trumps campaign and look forward to helping secure his nomination as the Republican nominee for President,10422,10527
23,Mr,10929,10931
24,Trump has tapped into the growing disillusionment with the Washington political establishment,11346,11439
25,What he has achieved so far is historic,11824,11863
26,My role is to work with the professionals that Mr,12245,12294
27,Trump has assembled to protect the victories that he has won in states across the country,12647,12736
28,"I am confident that he will be the Republican nominee and the next President of the United States."" ""In addition Mr",13051,13166
29,Trump is announcing that his campaign is opening a Washington DC based office to coordinate his campaigns work with the Republican National Committee Congress and his convention and delegate operations,13506,13707
30,The office will serve as a conduit for outreach for Mr,14168,14222
31,"Trumps campaign organization nationally."" ",14683,14724
