,sentence,start,end
0,"""One hundred and fifty-three years ago Abraham Lincoln signed the Emancipation Proclamation",0,91
1,It took two more years for the men women and children who lived their lives in bondage in Galveston Texas to learn that the Civil War was over—and they were free at last,535,704
2,Today we celebrate and honor those who fought to end the grotesque institution of slavery and we recommit ourselves to the work that remains,1021,1161
3,"""Our countrys long struggle with racism is far from over",1475,1531
4,More than half a century after Rosa Parks sat and Dr,1901,1953
5,King marched and John Lewis bled—more than a century and a half after slavery was outlawed—race still plays a significant role in determining who gets ahead in America and who gets left behind,2250,2442
6,We need to face that reality and fix it,2747,2786
7,"""America is stronger together",3153,3182
8,When all people can share in the promise of our country,3540,3595
9,When every child has the chance to live up to his or her God-given potential,3991,4067
10,When we lift each other up,4471,4497
11,"And when we all come together to build a more perfect union."" ",4901,4962
