,sentence,start,end
0,So its been 235 days since crooked Hillary Clinton has had a press conference,2,79
1,And you as reporters who give her all of these glowing reports should ask yourselves why,497,585
2,And Ill tell you why,1003,1023
3,"Because despite the nice platitudes shes been a mess."" ""You look at whats happened with ISIS which isnt even mentioned",1396,1514
4,You look at whats happening with law and order they dont even mention our police,1840,1920
5,They mention everybody but our police,2278,2315
6,"They dont have an American flag on the dais until we started complaining and then they ran up with two very small little flags one that we saw."" ""So you know I put myself through your news conferences often not that its fun",2578,2801
7,235 days no news conference for Hillary Clinton,3065,3112
8,"You oughta check it out because theres a lot going on."" Her great disloyalty to the person that rigged the system for her Debbie Wasserman Schultz she totally rigged it",3426,3594
9,Bernie Sanders never had a chance,3916,3949
10,"""And total disloyalty its like youre fired get out fast",4312,4367
11,The e-mail situation I call it the double e-mail situation both very serious,4729,4805
12,"What was said in the last ones to the DNC was horrible absolutely horrible."" ""If I wouldve used language like they used about religion about race about everything else that they discuss in those e-mails I wouldve had to run and hide and probably drop out of the race."" ""With her everythings just fine",5040,5340
13,So just ask yourself why she doesnt have news conferences,5580,5637
14,"And honestly the reason is because theres no way she can answer questions because the job she has done is so bad."" ""When they talk about change I noticed they have change",5931,6101
15,Shes been there for 30 years,6390,6418
16,Thirty years,6768,6780
17,Theres no change,7146,7162
18,Its going to be the same its going to be an extension of Obama,7490,7552
19,"In my opinion worse."" ""She lied about TPP",7867,7908
20,"She was for TPP she saw me on television knocking the hell out of it because its a horror show its going to kill all our jobs its going to be almost as bad as NAFTA maybe worse which her husband signed by the way which destroyed this country destroyed manufacturing in the United States."" ""And Ill do something about it thatll be so renegotiated",8089,8434
21,And by the way yesterday for the first time she said she wants to renegotiate trade agreements,8641,8735
22,First time yesterday,9124,9144
23,"Well because of me."" ""She also saw me talking about TPP and currency manipulation and currency devaluation",9505,9611
24,"And she heard it and she said wow she cant win that subject in a debate."" ""So all of a sudden she goes and she goes against TPP her vice president is one of the biggest proponents of TPP and now hes going against it",9838,10053
25,"And Bernie Sanders was right he was against it."" ""They will go for TPP and vote it in very shortly after the election if she wins which for the sake of our country we all hope and I hope that she doesnt",10213,10415
26,"They will vote it in—just mark my words hopefully we dont have to worry about it—but she will vote."" ""Shell change a comma shell change a paragraph of the 6000 page document that nobodys even read on our side",10583,10791
27,"Just so you understand the other countries know every word every paragraph every sentence every single comma and period."" ""We dont even read it our country",11036,11191
28,Because were led by stupid people,11524,11557
29,"so she saw me talking about TPP she realized that she couldnt defend it her special interests are pushing her hard because shes bought and sold by the special interests."" ""Theyre pushing her very hard and so she said shes against it",11841,12073
30,The day she gets in—which hopefully will never happen—she will approve or shortly thereafter TPP,12346,12442
