,sentence,start,end
0,"""I am honored to have earned the endorsement of the Congressional Asian Pacific American Caucus (CAPAC) Leadership PAC which has been fighting for the AAPI community for decades",0,177
1,"""As both First Lady and Senator from New York I was proud to work with the AAPI community to build a fairer freer more tolerant and more inclusive America",619,773
2,During the 90s the Clinton Administration launched the first-ever White House Initiative on Asian Americans and Pacific Islanders so the federal government would be more deliberate about helping all parts of the AAPI community succeed,1045,1279
3,In the Senate I fought to reduce the backlog for family visas and reunite immigrant families,1587,1679
4,"""As President I will fight alongside the AAPI community to at last pass comprehensive immigration reform with a path to full and equal citizenship",2006,2152
5,Still today applicants from the Asia-Pacific region make up about 40 percent of the family visa backlog and too many have waited decades to have the chance to be back with their families,2429,2615
6,Millions of people are eligible to become citizens and deserve the opportunity but face real barriers to taking those last steps to naturalization,2880,3026
7,We can and we must address these challenges,3376,3419
8,"""We will defend the Affordable Care Act and continue to improve it by capping out-of-pocket costs taking on runaway prescription drug prices and continuing to expand enrollment",3786,3962
9,Well invest in education with universal pre-K and debt-free college tuition so every child has the chance to live up to his or her God-given potential,4255,4405
10,I will always stand with the CAPAC Leadership PAC in the fight to show the world what we know to be true: we are stronger together,4783,4913
11,"And when families are strong–America is strong."" ",5358,5406
