,sentence,start,end
0,Today Donald J,0,14
1,Trump debuted the campaigns most recent radio ad to begin airing in Iowa and South Carolina featuring Jerry Falwell Jr,438,556
2,Mr,980,982
3,Trump was a guest at Liberty University on Monday and was introduced by Falwell who spoke glowingly of Mr,1406,1511
4,"Trumps success leadership and character which he stated reminded him of his late father."" Mr",1862,1954
5,"Trump said ""It was a great honor to be introduced by the legendary Jerry Falwell Jr",2294,2377
6,He has built a tremendous institution and is a really terrific person with a beautiful family,2702,2795
7,"We have always had a wonderful relationship and I am proud to share his kind words with the people of Iowa and South Carolina."" ""The ad features statements from Falwells introduction of Mr",3082,3270
8,Trump at the Liberty University convocation this week which was attended by a record crowd of students and supporters,3568,3685
9,"Falwell is a highly respected and influential figure in Evangelical communities."" In the ad Mr",4045,4139
10,"Falwell says ""I see a lot of parallels between my father and Donald Trump",4502,4575
11,Like Mr,4959,4966
12,Trump Dad would speak his mind,5374,5404
13,He would make statements that were politically incorrect,5788,5844
14,He speaks the truth publicly even if it is uncomfortable for people to hear it,6195,6273
15,Dad explained that when he walked into the voting booth he wasnt electing a Sunday school teacher or a pastor or even a President who shared his theological beliefs,6578,6742
16,"He was electing a President of the United States to lead a nation."" Mr",7035,7105
17,Trump continues to lead all national and state polls with the latest polls from Iowa and New Hampshire showing him with substantial double digit leads over his nearest rival,7410,7583
18,The   from Iowa shows Mr,7896,7918
19,Trump with 36% support and an 11 point lead over Senator Ted Cruz and a 20 point lead over Cruz in the   out of New Hampshire,8228,8351
20,Mr,8743,8745
21,Trump will return to Iowa this weekend and campaign in all three primary states throughout the week,9143,9242
22,You can listen to the ad here:  ,9640,9670
