,sentence,start,end
0,Today Donald J,0,14
1,Trump released the second major advertisement to begin airing in Iowa and New Hampshire,420,507
2,The buy is a total of $2 million dollars with $1.1 million spent in Iowa and nearly $1 million allocated to New Hampshire,913,1034
3,Mr,1425,1427
4,"Trump stated ""I have tremendous crowds we are leading all the polls and there are so many people that want to see our country be greater than ever before",1743,1896
5,My life has been about winning and Iowa and New Hampshire are so important to me,2163,2243
6,"This is where we will begin to Make America Great Again!"" ""The footage is from a recent event in Lowell Massachusetts where Mr",2537,2663
7,Trump hosted a rally attended by a record crowd of over 10000 people,2982,3050
8,The thirty-second spot outlines Mr,3432,3466
9,Trumps vision for the country,3871,3900
10,Mr,4318,4320
11,"Trumps first ad which focused on illegal immigration and national security has been running in these early states for the last ten days."" Mr",4677,4817
12,Trump continues to lead in all national and state polls including the just out NBC News/Wall Street Journal poll showing Mr,5143,5266
13,Trump as the definitive front-runner with 33% support more than doubling his lead over his nearest rival,5699,5803
14,You can view the ad here:  ,6236,6261
